Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1061515,-,-,-,35.69,-80.14,-5,229,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2000,1,1,0,30,0,0,0,4,5,990,95.39,128.20000000000002,1,0.137
2000,1,1,1,30,0,0,0,4,4,990,100,129.1,1,0.137
2000,1,1,2,30,0,0,0,4,4,990,100,131.4,1,0.137
2000,1,1,3,30,0,0,0,4,4,990,100,135.4,0.9,0.137
2000,1,1,4,30,0,0,0,4,3,990,100,135.9,0.9,0.137
2000,1,1,5,30,0,0,0,2,3,990,100,136.6,0.8,0.137
2000,1,1,6,30,0,0,0,2,3,990,100,135,0.6000000000000001,0.137
2000,1,1,7,30,0,0,0,4,4,990,100,145.70000000000002,0.6000000000000001,0.137
2000,1,1,8,30,46,59,67,5,6,990,95.98,162.5,0.8,0.137
2000,1,1,9,30,109,129,164,6,8,990,88.33,169.4,0.9,0.137
2000,1,1,10,30,699,107,407,7,10,990,82.47,175,1,0.137
2000,1,1,11,30,53,211,238,8,12,990,72.34,184.3,1,0.137
2000,1,1,12,30,69,228,264,9,14,990,73.48,197.20000000000002,1.2000000000000002,0.137
2000,1,1,13,30,7,169,173,10,15,990,73.73,203.70000000000002,1.2000000000000002,0.137
2000,1,1,14,30,0,116,116,10,15,990,76.77,205.4,1.1,0.137
2000,1,1,15,30,8,104,106,11,14,990,85.05,204.4,0.7000000000000001,0.137
2000,1,1,16,30,376,42,91,11,11,990,100,194.10000000000002,0.5,0.137
2000,1,1,17,30,0,0,0,9,10,990,100,183.60000000000002,0.5,0.137
2000,1,1,18,30,0,0,0,9,9,990,100,182,0.5,0.137
2000,1,1,19,30,0,0,0,8,8,990,100,183.5,0.5,0.137
2000,1,1,20,30,0,0,0,7,7,990,100,188.5,0.6000000000000001,0.137
2000,1,1,21,30,0,0,0,7,7,990,100,194.9,0.6000000000000001,0.137
2000,1,1,22,30,0,0,0,7,7,990,100,201.3,0.6000000000000001,0.137
2000,1,1,23,30,0,0,0,7,7,990,100,207.20000000000002,0.6000000000000001,0.137
2000,1,2,0,30,0,0,0,8,8,990,100,210.70000000000002,0.6000000000000001,0.137
2000,1,2,1,30,0,0,0,8,8,990,100,213.4,0.7000000000000001,0.137
2000,1,2,2,30,0,0,0,8,8,990,100,214.20000000000002,0.7000000000000001,0.137
2000,1,2,3,30,0,0,0,9,8,990,100,211.70000000000002,0.7000000000000001,0.137
2000,1,2,4,30,0,0,0,9,9,990,100,209.4,0.7000000000000001,0.137
2000,1,2,5,30,0,0,0,9,9,990,100,210.3,0.7000000000000001,0.137
2000,1,2,6,30,0,0,0,9,9,990,100,211,0.7000000000000001,0.137
2000,1,2,7,30,0,0,0,9,9,990,100,209.60000000000002,0.9,0.137
2000,1,2,8,30,14,57,60,10,10,990,94.46000000000001,208.4,1.2000000000000002,0.137
2000,1,2,9,30,0,102,102,11,12,990,87.79,208.10000000000002,1.4000000000000001,0.137
2000,1,2,10,30,1,145,146,12,15,990,83.7,209.4,1.6,0.137
2000,1,2,11,30,45,208,231,13,17,990,77.60000000000001,210.9,1.8,0.137
2000,1,2,12,30,351,215,398,13,18,990,75.51,212.10000000000002,1.9000000000000001,0.137
