SiteID,2296536,Site Timezone,-5,Data Timezone,-5,Longitude,-75.7076416016,Latitude,36.0953674316
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2011,1,1,0,30,6.890000000000001,7.3,234.3,235.28,9.48,9.59,102430,101190,99990
2011,1,1,1,30,6.95,7.43,229.26,231.58,9.44,9.56,102420,101180,99980
2011,1,1,2,30,6.78,7.32,230.04,232.88,9.44,9.64,102410,101170,99970
2011,1,1,3,30,6.33,7.19,228.34,233.05,8.32,8.53,102430,101180,99980
2011,1,1,4,30,5.55,5.99,235.83,236.34,8.19,8.07,102440,101190,99990
2011,1,1,5,30,5.87,6.38,231.1,231.93,7.78,7.74,102440,101190,99990
2011,1,1,6,30,4.82,5.21,225.86,225,7.95,7.86,102430,101180,99980
2011,1,1,7,30,5.1000000000000005,5.95,223.27,225.88,8.81,8.82,102440,101200,99990
2011,1,1,8,30,5.16,5.64,221.68,220.68,9.53,9.49,102450,101210,100010
2011,1,1,9,30,5.61,6.0200000000000005,209.82,209.38,10.42,10.370000000000001,102460,101220,100020
2011,1,1,10,30,5.48,5.86,203.36,203.53,10.71,10.620000000000001,102410,101170,99980
2011,1,1,11,30,5.43,6.23,191.45000000000002,192.99,11.32,11.23,102330,101100,99910
2011,1,1,12,30,3.7800000000000002,3.97,176.39000000000001,179.48,13.66,13.57,102260,101040,99860
2011,1,1,13,30,4.75,4.93,175.3,177.44,15.540000000000001,15.44,102230,101010,99840
2011,1,1,14,30,5.5600000000000005,5.91,177.29,179.62,16.12,16.1,102190,100990,99820
2011,1,1,15,30,7.95,8.42,180.78,182.17000000000002,16.2,16.12,102180,100970,99800
2011,1,1,16,30,6.92,7.2700000000000005,184.85,187.32,16.16,16.21,102170,100960,99790
2011,1,1,17,30,10.67,11.1,181.55,183.92000000000002,16.32,16.39,102170,100960,99790
2011,1,1,18,30,10.44,11.05,174.98,176.65,16.1,16.17,102180,100970,99800
2011,1,1,19,30,10.69,11.39,173.08,176.69,16.080000000000002,16.17,102150,100940,99770
2011,1,1,20,30,10.06,10.73,180.36,183.88,15.94,16.06,102140,100930,99760
2011,1,1,21,30,9.66,10.200000000000001,181.75,184.94,15.99,16.09,102100,100890,99730
2011,1,1,22,30,8.64,9.1,194.06,195.41,14.8,14.71,102050,100840,99670
2011,1,1,23,30,8.91,9.52,200.26,201.9,15.18,15.32,101990,100780,99620
2011,1,2,0,30,9.46,10.14,194.99,196.68,15.68,15.83,101930,100730,99560
2011,1,2,1,30,9.450000000000001,10.07,193.75,195.18,15.9,15.99,101890,100690,99520
2011,1,2,2,30,10.58,11.17,203.87,204.92000000000002,16.68,16.68,101860,100660,99500
2011,1,2,3,30,11.6,12.35,196.52,197.66,17.07,17.05,101790,100590,99430
2011,1,2,4,30,10.27,10.94,198.99,199.76,16.98,16.91,101790,100590,99430
2011,1,2,5,30,10.52,11.22,213.36,214.29,17.13,17.06,101830,100640,99480
2011,1,2,6,30,11.620000000000001,12.43,213.47,214.92000000000002,17.37,17.34,101840,100650,99490
2011,1,2,7,30,11.47,12.05,233.4,234.94,17.3,17.25,101820,100620,99460
2011,1,2,8,30,10.57,11.33,228.46,229.87,17.13,17.080000000000002,101790,100590,99430
2011,1,2,9,30,9.450000000000001,10,229.28,229.91,16.81,16.71,101760,100560,99400
2011,1,2,10,30,8.56,8.91,238.28,237.99,16.75,16.580000000000002,101660,100460,99300
2011,1,2,11,30,8.23,8.61,233.34,232.62,16.98,16.84,101560,100360,99210
2011,1,2,12,30,8.78,9.49,215.95000000000002,217.52,16.65,16.52,101460,100260,99100
2011,1,2,13,30,9.5,10.040000000000001,211.22,211.8,17.09,16.95,101350,100160,99010
2011,1,2,14,30,9.33,9.84,217.82,218.71,17.14,17.03,101330,100130,98980
2011,1,2,15,30,9.44,10.040000000000001,221.38,221.70000000000002,17.22,17.12,101240,100060,98900
2011,1,2,16,30,8.51,9.46,264.08,263.89,16.76,16.77,101230,100040,98890
2011,1,2,17,30,11.76,12.09,342.16,341.94,8.77,8.61,101420,100190,98990
2011,1,2,18,30,11.64,11.870000000000001,350.49,350.5,8.16,7.98,101510,100280,99080
2011,1,2,19,30,10.98,11.26,348.11,348.17,8.06,7.88,101590,100350,99150
2011,1,2,20,30,10.67,10.97,345.38,345.42,8.05,7.86,101670,100430,99230
2011,1,2,21,30,10.74,11.02,340.82,340.8,7.8,7.61,101760,100520,99320
2011,1,2,22,30,11.88,12.19,343.82,343.92,7.6000000000000005,7.42,101790,100550,99340
2011,1,2,23,30,13.16,13.51,344.98,345.2,6.6000000000000005,6.42,101880,100630,99420
2011,1,3,0,30,14.07,14.370000000000001,350.88,350.91,5.58,5.39,101950,100690,99480
2011,1,3,1,30,13.89,14.19,351.49,351.41,4.7700000000000005,4.58,102000,100740,99520
2011,1,3,2,30,13.77,14.09,348.57,348.61,4.19,4,102060,100800,99570
2011,1,3,3,30,13.67,13.97,351.45,351.41,3.75,3.56,102110,100850,99620
2011,1,3,4,30,13.69,14,349.40000000000003,349.44,3.34,3.14,102190,100930,99700
2011,1,3,5,30,13.07,13.34,351.64,351.65000000000003,3.09,2.9,102250,100990,99750
2011,1,3,6,30,12.69,12.93,353.72,353.74,2.85,2.65,102340,101070,99840
2011,1,3,7,30,12.19,12.42,354.34000000000003,354.41,2.6,2.41,102390,101120,99880
2011,1,3,8,30,11.5,11.66,355.53000000000003,355.56,2.5100000000000002,2.31,102450,101170,99940
2011,1,3,9,30,11.08,11.22,353.88,353.97,2.44,2.23,102500,101230,99990
2011,1,3,10,30,10.67,10.8,352.86,352.92,2.29,2.08,102510,101230,100000
2011,1,3,11,30,9.97,10.09,350.26,350.28000000000003,2.27,2.06,102500,101230,99990
2011,1,3,12,30,9.950000000000001,10.08,346.92,346.90000000000003,2.32,2.11,102510,101230,99990
2011,1,3,13,30,9.23,9.34,347.06,346.98,2.36,2.15,102510,101230,99990
2011,1,3,14,30,8.49,8.58,348.56,348.41,2.38,2.18,102500,101230,99990
2011,1,3,15,30,7.2700000000000005,7.3500000000000005,344.99,344.78000000000003,2.48,2.2800000000000002,102490,101210,99970
2011,1,3,16,30,6.23,6.36,336,336.26,2.59,2.4,102500,101230,99990
2011,1,3,17,30,6.2700000000000005,6.3500000000000005,337.92,337.88,2.65,2.46,102530,101250,100010
2011,1,3,18,30,6.13,6.22,333.82,334.11,2.65,2.47,102540,101270,100030
2011,1,3,19,30,5.49,5.51,318.07,319.1,2.32,2.15,102560,101280,100040
2011,1,3,20,30,5.24,5.24,319.18,320.09000000000003,2.2800000000000002,2.1,102560,101280,100040
2011,1,3,21,30,4.89,4.88,317.78000000000003,318.51,2.31,2.13,102540,101270,100030
2011,1,3,22,30,4.3500000000000005,4.34,316.27,316.54,2.41,2.23,102510,101230,99990
2011,1,3,23,30,3.95,3.92,312.21,312.59000000000003,2.56,2.38,102470,101190,99950
2011,1,4,0,30,3.72,3.69,314.39,314.44,2.64,2.46,102430,101160,99920
2011,1,4,1,30,2.7,2.7,314.29,313.87,2.81,2.62,102430,101160,99920
2011,1,4,2,30,1.57,1.6,322.90000000000003,320.05,2.95,2.79,102410,101140,99900
2011,1,4,3,30,1.1300000000000001,1.27,318.7,314.06,3.04,2.91,102380,101100,99870
2011,1,4,4,30,1.1500000000000001,1.42,277.09000000000003,272.19,3.4,3.2600000000000002,102340,101070,99840
2011,1,4,5,30,2.42,2.64,216,217.97,3.56,3.44,102320,101050,99820
2011,1,4,6,30,4.57,4.5200000000000005,216.18,216.78,3.7600000000000002,3.59,102290,101020,99790
2011,1,4,7,30,4.33,4.33,218.32,219.28,3.7800000000000002,3.6,102230,100960,99730
2011,1,4,8,30,5.2,5.3500000000000005,220.70000000000002,221.67000000000002,4.23,4.0600000000000005,102180,100920,99690
2011,1,4,9,30,6.45,6.55,231.1,231.18,5,4.8100000000000005,102140,100880,99660
2011,1,4,10,30,7.0600000000000005,7.18,234.37,234.25,5.36,5.17,102050,100790,99570
2011,1,4,11,30,7.4,7.51,239.70000000000002,239.57,5.71,5.5200000000000005,101950,100690,99470
2011,1,4,12,30,7.2700000000000005,7.390000000000001,244.6,244.45000000000002,6.33,6.140000000000001,101860,100610,99390
2011,1,4,13,30,7.3500000000000005,7.5,241.5,241.4,7.18,6.99,101760,100520,99310
2011,1,4,14,30,8.07,8.22,243.52,243.43,7.97,7.78,101670,100430,99230
2011,1,4,15,30,8.42,8.65,244.18,244.01,8.36,8.17,101600,100360,99160
