SiteID,2266387,Site Timezone,-5,Data Timezone,-5,Longitude,-76.6270141602,Latitude,35.5449752808
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2012,1,1,0,30,2.3000000000000003,2.5,340.76,349.77,11.57,12.18,102120,100880,99690
2012,1,1,1,30,1.8800000000000001,2.16,355.24,1.6300000000000001,10.81,11.18,102170,100930,99740
2012,1,1,2,30,1.1400000000000001,1.43,324.13,331.75,11.450000000000001,11.64,102200,100960,99760
2012,1,1,3,30,0.9,0.98,308,319.73,11.56,11.69,102180,100940,99750
2012,1,1,4,30,0.49,0.44,216.79,217.49,11.59,11.72,102220,100980,99790
2012,1,1,5,30,1.6500000000000001,1.83,168.71,166.01,11.39,11.66,102250,101010,99820
2012,1,1,6,30,2.0300000000000002,2.42,152.73,158.57,11.07,11.33,102270,101020,99830
2012,1,1,7,30,3.27,3.71,155.31,159.16,11.26,11.49,102250,101010,99820
2012,1,1,8,30,4.1,4.57,170.46,171.8,11.96,12.09,102220,100990,99800
2012,1,1,9,30,4.08,4.72,172.9,172.54,12.55,12.66,102190,100960,99780
2012,1,1,10,30,5.53,5.64,187.32,187.38,14.65,14.48,102080,100870,99690
2012,1,1,11,30,7.43,7.58,198.63,198.77,15.72,15.530000000000001,101960,100750,99580
2012,1,1,12,30,7.84,7.99,203.28,203.37,16.78,16.59,101850,100650,99490
2012,1,1,13,30,8.620000000000001,8.790000000000001,207.08,207.07,17.76,17.56,101750,100560,99390
2012,1,1,14,30,8.91,9.1,210.63,210.59,18.34,18.14,101650,100460,99300
2012,1,1,15,30,8.59,8.89,212.07,212.01,18.29,18.1,101560,100370,99210
2012,1,1,16,30,9.57,10.16,203.41,204,17.61,17.490000000000002,101520,100320,99160
2012,1,1,17,30,12.02,12.84,199.77,200.62,16.71,16.63,101530,100330,99160
2012,1,1,18,30,13.290000000000001,14.21,206.19,206.88,16.13,16.06,101510,100310,99140
2012,1,1,19,30,12.700000000000001,13.71,216.76,217.22,15.99,15.94,101470,100270,99100
2012,1,1,20,30,11.53,12.39,231.03,231.24,16.45,16.34,101480,100280,99120
2012,1,1,21,30,10.99,11.77,241.24,241.27,16.22,16.09,101480,100280,99120
2012,1,1,22,30,10.5,11.38,252.17000000000002,252.73000000000002,15.09,14.96,101450,100240,99080
2012,1,1,23,30,11.85,12.94,248.96,250.71,14.040000000000001,13.97,101410,100200,99030
2012,1,2,0,30,11.96,12.370000000000001,292.45,293.89,11.82,11.65,101430,100210,99030
2012,1,2,1,30,9.06,10.15,328.39,331.76,9.51,9.290000000000001,101490,100260,99070
2012,1,2,2,30,7.7,8.2,323.34000000000003,321.43,8.02,7.95,101540,100300,99100
2012,1,2,3,30,11.31,12.780000000000001,313.72,316.73,6.65,6.5,101580,100330,99130
2012,1,2,4,30,11.33,12.370000000000001,319.93,320.34000000000003,5.17,5.0600000000000005,101630,100380,99160
2012,1,2,5,30,14.3,15.33,314.34000000000003,315.52,3.98,3.86,101670,100410,99190
2012,1,2,6,30,13.07,14.19,311.43,312.26,2.7,2.62,101710,100450,99220
2012,1,2,7,30,12.700000000000001,13.9,310.46,311.28000000000003,1.97,1.9100000000000001,101730,100460,99230
2012,1,2,8,30,11.4,12.3,309.51,309.83,1.87,1.72,101740,100470,99240
2012,1,2,9,30,9.13,9.32,307.73,307.94,2.7800000000000002,2.59,101740,100480,99250
2012,1,2,10,30,8.93,9.09,306.24,306.37,3.73,3.54,101700,100440,99210
2012,1,2,11,30,8.42,8.57,305.27,305.41,4.53,4.33,101620,100360,99140
2012,1,2,12,30,8.07,8.21,303.39,303.49,4.95,4.74,101580,100330,99110
2012,1,2,13,30,7.4,7.53,300.05,300.02,5.13,4.93,101540,100290,99080
2012,1,2,14,30,6.96,7.08,295.33,295.31,5.29,5.09,101510,100260,99050
2012,1,2,15,30,7.140000000000001,7.28,289.67,289.84000000000003,5.2700000000000005,5.07,101500,100250,99040
2012,1,2,16,30,7.930000000000001,8.26,297.07,297.34000000000003,5.03,4.86,101520,100260,99050
2012,1,2,17,30,6.55,6.67,312.93,313.93,4.89,4.71,101550,100290,99080
2012,1,2,18,30,8.59,9.540000000000001,312.1,313.72,4.23,4.14,101590,100340,99120
2012,1,2,19,30,8.52,9.05,308.83,311.99,3.58,3.42,101590,100330,99110
2012,1,2,20,30,8.31,8.540000000000001,310.49,311.59000000000003,3.47,3.4,101590,100330,99100
2012,1,2,21,30,11.200000000000001,12.09,325.02,327.08,2.41,2.42,101590,100320,99090
2012,1,2,22,30,11.16,12.46,323.74,326.13,1.44,1.25,101560,100290,99050
2012,1,2,23,30,9.68,10.8,317.86,320.38,0,-0.03,101510,100230,99000
2012,1,3,0,30,11.68,12.81,321.75,322.83,-0.8300000000000001,-0.87,101490,100210,98970
2012,1,3,1,30,10.27,11.02,319.03000000000003,319.92,-1.26,-1.3800000000000001,101500,100220,98980
2012,1,3,2,30,10.17,10.85,317.03000000000003,317.87,-1.58,-1.72,101510,100230,98990
2012,1,3,3,30,10.200000000000001,10.99,313.37,314.37,-1.96,-2.07,101550,100260,99020
2012,1,3,4,30,10.75,11.66,311.89,313.11,-2.29,-2.36,101600,100310,99060
2012,1,3,5,30,11.17,12.08,312.84000000000003,313.87,-2.38,-2.46,101660,100380,99130
2012,1,3,6,30,11.31,12.19,312,312.90000000000003,-2.5100000000000002,-2.61,101740,100450,99200
2012,1,3,7,30,11.18,12.06,309.19,310.19,-2.63,-2.72,101770,100480,99230
2012,1,3,8,30,11.64,12.16,313.44,313.82,-2.1,-2.2800000000000002,101820,100530,99280
2012,1,3,9,30,12.43,12.71,315.5,315.73,-1.42,-1.6300000000000001,101850,100570,99320
2012,1,3,10,30,12.22,12.49,318.61,318.76,-0.8200000000000001,-1.03,101840,100560,99310
2012,1,3,11,30,12.21,12.48,316.2,316.32,-0.41000000000000003,-0.62,101830,100550,99310
2012,1,3,12,30,12.11,12.36,311.75,311.88,-0.12,-0.34,101850,100580,99330
2012,1,3,13,30,12.75,13.030000000000001,313.13,313.22,-0.07,-0.29,101880,100600,99360
2012,1,3,14,30,13.91,14.22,315.49,315.58,-0.26,-0.47000000000000003,101910,100630,99390
2012,1,3,15,30,11.9,12.18,315.88,315.85,-0.4,-0.61,101950,100670,99430
2012,1,3,16,30,12.200000000000001,12.77,308.27,308.46,-0.73,-0.9,102080,100790,99540
