SiteID,2208376,Site Timezone,-5,Data Timezone,-5,Longitude,-77.9873657227,Latitude,35.2429504395
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2013,1,1,0,30,10.290000000000001,11.790000000000001,245.49,248.66,5.65,6.08,101480,100220,99020
2013,1,1,1,30,9.53,11.03,250.67000000000002,253.61,5.46,5.88,101460,100210,99000
2013,1,1,2,30,10.23,11.55,257.95,260.77,5.59,6,101430,100180,98970
2013,1,1,3,30,9.8,11.03,258.53000000000003,262.36,5.19,5.69,101410,100160,98950
2013,1,1,4,30,8,9.32,256.05,260.87,4.43,5.05,101410,100160,98950
2013,1,1,5,30,8.75,10.1,263.34000000000003,266.18,5.24,5.89,101410,100160,98950
2013,1,1,6,30,7.1000000000000005,8.22,255.37,260.83,4.44,4.98,101410,100150,98940
2013,1,1,7,30,6.99,7.99,253.28,257.53000000000003,4.18,4.64,101400,100140,98940
2013,1,1,8,30,6.2,7.1000000000000005,258.74,261.08,4.48,4.86,101400,100150,98940
2013,1,1,9,30,5.63,6.5600000000000005,266.85,269.07,5.12,5.45,101390,100140,98940
2013,1,1,10,30,6.1000000000000005,6.78,263.57,265.41,5.92,6.08,101350,100110,98900
2013,1,1,11,30,6.23,6.76,256.77,259.06,6.24,6.29,101290,100040,98840
2013,1,1,12,30,6.63,7.16,237.95000000000002,240.79,6.15,6.17,101230,99990,98780
2013,1,1,13,30,7.930000000000001,8.58,229.04,231.61,6.3100000000000005,6.4,101160,99920,98720
2013,1,1,14,30,8.2,8.65,229.70000000000002,230.67000000000002,7.03,6.95,101110,99870,98680
2013,1,1,15,30,9.1,9.74,229.51,230.57,7.29,7.2700000000000005,101070,99830,98640
2013,1,1,16,30,9.370000000000001,10.23,235.29,236.45000000000002,7.84,7.88,101050,99820,98620
2013,1,1,17,30,8.15,9.06,236.96,237.76,8.13,8.13,101070,99840,98640
2013,1,1,18,30,8.75,9.8,238.26,239.89000000000001,8.65,8.71,101060,99830,98640
2013,1,1,19,30,8.78,9.76,239.4,240.87,8.91,8.98,101040,99810,98630
