Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1114861,-,-,-,35.25,-77.98,-5,49,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2014,1,1,0,30,0,0,0,0,0,1020,97.28,357.90000000000003,1.2000000000000002,0.11800000000000001
2014,1,1,1,30,0,0,0,0,0,1020,94.77,5.6000000000000005,1.1,0.11800000000000001
2014,1,1,2,30,0,0,0,-1,0,1020,92.53,10.5,1,0.11800000000000001
2014,1,1,3,30,0,0,0,-1,0,1020,90.95,16.1,0.9,0.11800000000000001
2014,1,1,4,30,0,0,0,-1,0,1020,89.55,24.6,0.9,0.11800000000000001
2014,1,1,5,30,0,0,0,-1,0,1020,88.51,35.800000000000004,0.8,0.11800000000000001
2014,1,1,6,30,0,0,0,-1,0,1020,88.16,44.800000000000004,0.8,0.11800000000000001
2014,1,1,7,30,0,0,0,-1,0,1020,88.77,47.300000000000004,1.2000000000000002,0.11800000000000001
2014,1,1,8,30,179,70,105,-1,0,1020,88.78,46.900000000000006,1.7000000000000002,0.11800000000000001
2014,1,1,9,30,458,106,261,-1,1,1020,83.91,50.400000000000006,1.7000000000000002,0.11800000000000001
2014,1,1,10,30,889,68,467,0,2,1020,77.52,60.5,1.3,0.11800000000000001
2014,1,1,11,30,400,198,403,0,4,1020,77.65,76.80000000000001,1.1,0.11800000000000001
2014,1,1,12,30,263,231,370,1,5,1020,75.69,97.80000000000001,1.1,0.11800000000000001
2014,1,1,13,30,197,217,313,1,6,1020,73.10000000000001,112.5,1,0.11800000000000001
2014,1,1,14,30,186,171,246,1,6,1020,75.33,111.30000000000001,0.7000000000000001,0.11800000000000001
2014,1,1,15,30,75,108,129,3,5,1010,91.88,92.5,0.6000000000000001,0.11800000000000001
2014,1,1,16,30,0,27,27,3,4,1010,94.53,95.5,0.8,0.11800000000000001
2014,1,1,17,30,0,0,0,2,4,1010,91.60000000000001,108.2,0.9,0.11800000000000001
2014,1,1,18,30,0,0,0,2,4,1010,93.19,121.30000000000001,1,0.11800000000000001
2014,1,1,19,30,0,0,0,3,4,1010,95.7,132,1,0.11800000000000001
2014,1,1,20,30,0,0,0,3,4,1010,99.01,145.9,1,0.11800000000000001
2014,1,1,21,30,0,0,0,4,4,1010,100,160.8,0.9,0.11800000000000001
2014,1,1,22,30,0,0,0,4,4,1010,100,179.9,0.8,0.11800000000000001
2014,1,1,23,30,0,0,0,4,4,1010,100,197.60000000000002,0.8,0.11800000000000001
2014,1,2,0,30,0,0,0,4,4,1010,100,213.5,0.9,0.11800000000000001
2014,1,2,1,30,0,0,0,4,4,1010,100,235.4,1.2000000000000002,0.11800000000000001
2014,1,2,2,30,0,0,0,4,4,1010,100,254.10000000000002,1.3,0.11800000000000001
2014,1,2,3,30,0,0,0,4,4,1010,100,265.40000000000003,1.2000000000000002,0.11800000000000001
2014,1,2,4,30,0,0,0,4,4,1010,100,266.7,0.9,0.11800000000000001
2014,1,2,5,30,0,0,0,4,4,1010,100,258.3,0.7000000000000001,0.11800000000000001
2014,1,2,6,30,0,0,0,4,4,1010,100,249,0.6000000000000001,0.11800000000000001
2014,1,2,7,30,0,0,0,4,4,1010,100,231.70000000000002,0.7000000000000001,0.11800000000000001
2014,1,2,8,30,0,13,13,4,5,1000,98.64,201,1,0.11800000000000001
2014,1,2,9,30,0,42,42,4,5,1000,100,197,1.1,0.11800000000000001
2014,1,2,10,30,0,136,136,6,6,1000,100,210.10000000000002,1.1,0.11800000000000001
2014,1,2,11,30,0,150,150,7,7,1000,94.28,212.8,1.3,0.11800000000000001
2014,1,2,12,30,0,140,140,8,8,1000,93.64,206.60000000000002,1.8,0.11800000000000001
2014,1,2,13,30,0,41,41,8,9,1000,96.79,196.10000000000002,2.3000000000000003,0.11800000000000001
2014,1,2,14,30,0,127,127,8,9,1000,99.2,184.10000000000002,2.5,0.11800000000000001
2014,1,2,15,30,0,37,37,9,9,1000,100,182.4,2.5,0.11800000000000001
2014,1,2,16,30,0,3,3,8,8,990,100,182,2.2,0.11800000000000001
2014,1,2,17,30,0,0,0,8,8,990,100,182.60000000000002,2.2,0.11800000000000001
2014,1,2,18,30,0,0,0,9,9,990,100,182.60000000000002,2.3000000000000003,0.11800000000000001
2014,1,2,19,30,0,0,0,9,9,990,100,190.60000000000002,2.3000000000000003,0.11800000000000001
2014,1,2,20,30,0,0,0,9,9,990,100,223.5,2.7,0.11800000000000001
2014,1,2,21,30,0,0,0,9,9,990,100,274.7,4.4,0.11800000000000001
2014,1,2,22,30,0,0,0,7,7,990,100,304.40000000000003,5.4,0.11800000000000001
2014,1,2,23,30,0,0,0,4,5,990,100,309.1,5.4,0.11800000000000001
2014,1,3,0,30,0,0,0,3,4,990,99.75,304.3,5.5,0.11800000000000001
2014,1,3,1,30,0,0,0,2,3,1000,94.06,304.90000000000003,5.7,0.11800000000000001
2014,1,3,2,30,0,0,0,0,1,1000,94.3,306.40000000000003,6.2,0.11800000000000001
2014,1,3,3,30,0,0,0,-2,0,1000,84.71000000000001,311.20000000000005,6.6000000000000005,0.11800000000000001
2014,1,3,4,30,0,0,0,-5,0,1000,67.81,315.20000000000005,6.7,0.11800000000000001
2014,1,3,5,30,0,0,0,-7,-2,1000,64.12,318.20000000000005,6.7,0.11800000000000001
2014,1,3,6,30,0,0,0,-9,-3,1010,59.97,321.90000000000003,6.6000000000000005,0.11800000000000001
