SiteID,2296536,Site Timezone,-5,Data Timezone,-5,Longitude,-75.7076416016,Latitude,36.0953674316
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2009,1,1,0,30,13.9,14.31,321.87,322.34000000000003,-1.01,-1.21,102210,100920,99670
2009,1,1,1,30,14.72,15.16,325.11,325.49,-1.16,-1.37,102280,100990,99740
2009,1,1,2,30,14.15,14.58,324.47,324.93,-1.44,-1.6400000000000001,102360,101070,99810
2009,1,1,3,30,13.74,14.15,323.56,324.08,-1.71,-1.9100000000000001,102440,101150,99890
2009,1,1,4,30,13.6,14.030000000000001,326.75,327.18,-1.71,-1.9100000000000001,102530,101240,99980
2009,1,1,5,30,14.44,14.85,332.65000000000003,332.8,-1.68,-1.8900000000000001,102600,101300,100050
2009,1,1,6,30,14.33,14.73,333.78000000000003,333.89,-1.73,-1.94,102680,101390,100130
2009,1,1,7,30,13.69,14.06,333.62,333.75,-1.72,-1.93,102720,101420,100160
2009,1,1,8,30,13.15,13.39,334.93,335.04,-1.6,-1.81,102780,101490,100230
2009,1,1,9,30,12.38,12.59,334.36,334.64,-1.27,-1.48,102810,101520,100260
2009,1,1,10,30,12.09,12.3,337.04,337.33,-0.56,-0.78,102790,101490,100240
2009,1,1,11,30,11.370000000000001,11.55,339.97,340.11,-0.04,-0.26,102770,101480,100230
2009,1,1,12,30,11.24,11.42,341.69,341.94,0.52,0.3,102750,101470,100220
2009,1,1,13,30,10.69,10.85,344.94,345.1,0.97,0.75,102750,101470,100220
2009,1,1,14,30,9.870000000000001,10.01,349.83,349.82,1.33,1.12,102740,101460,100210
2009,1,1,15,30,8.620000000000001,8.73,350.1,350.08,1.57,1.37,102710,101430,100190
2009,1,1,16,30,7.8500000000000005,8.01,345.21,345.54,1.8,1.6,102710,101430,100190
2009,1,1,17,30,7.17,7.24,333.23,334.15000000000003,1.75,1.58,102730,101450,100210
2009,1,1,18,30,5.84,5.86,325.87,326.92,1.85,1.67,102740,101460,100220
2009,1,1,19,30,5.2700000000000005,5.22,317.83,319.55,1.71,1.54,102730,101450,100200
2009,1,1,20,30,4.91,4.86,319.3,320.44,1.69,1.53,102710,101420,100180
2009,1,1,21,30,3.67,3.63,317.45,318.27,1.95,1.79,102680,101400,100160
2009,1,1,22,30,2.09,2.07,301.61,300.68,2.24,2.08,102630,101350,100110
2009,1,1,23,30,1.23,1.1500000000000001,244.19,241.23000000000002,2.69,2.52,102570,101290,100050
2009,1,2,0,30,1.7,1.79,162.47,161.51,3.36,3.16,102510,101240,100000
2009,1,2,1,30,4.11,4.4,211.3,211.52,4.0200000000000005,3.92,102470,101200,99970
2009,1,2,2,30,4.44,4.44,216.74,217.38,4.3500000000000005,4.16,102420,101150,99920
2009,1,2,3,30,4.2,4.23,242.03,241.88,4.74,4.55,102360,101100,99870
2009,1,2,4,30,6.1000000000000005,6.15,226.75,226.96,5.0600000000000005,4.87,102340,101070,99850
2009,1,2,5,30,7.04,7.1000000000000005,223.62,223.82,5.58,5.39,102290,101030,99800
2009,1,2,6,30,6.5200000000000005,6.5600000000000005,225.42000000000002,225.72,5.92,5.73,102250,100990,99780
2009,1,2,7,30,7.47,7.53,225.28,225.29,6.33,6.13,102200,100940,99720
2009,1,2,8,30,7.0200000000000005,7.2700000000000005,226.26,226.05,6.41,6.23,102150,100900,99680
2009,1,2,9,30,6.8,6.92,223.22,223.20000000000002,6.97,6.79,102080,100840,99620
2009,1,2,10,30,7.3500000000000005,7.51,225.73000000000002,225.81,8.120000000000001,7.930000000000001,101950,100710,99510
2009,1,2,11,30,9.59,9.81,228.20000000000002,228,9.75,9.55,101850,100620,99420
2009,1,2,12,30,8.96,9.16,236.25,235.96,10.28,10.08,101760,100530,99330
2009,1,2,13,30,9.56,9.81,237,236.67000000000002,11.16,10.97,101640,100410,99220
2009,1,2,14,30,8.92,9.200000000000001,254.32,253.68,10.72,10.55,101590,100360,99170
2009,1,2,15,30,9.97,10.34,256.91,256.63,9.57,9.39,101530,100300,99110
2009,1,2,16,30,9.96,10.36,260.94,260.75,9.28,9.11,101540,100310,99110
2009,1,2,17,30,10.43,10.82,256.69,256.6,9.4,9.23,101530,100300,99110
2009,1,2,18,30,9.700000000000001,10.05,260.8,260.72,9.35,9.19,101540,100310,99110
2009,1,2,19,30,9.52,9.86,261.07,261.34000000000003,9.33,9.18,101550,100320,99130
2009,1,2,20,30,11.22,11.620000000000001,272.11,271.79,9.33,9.18,101560,100330,99130
2009,1,2,21,30,11.55,12.02,271.6,271.52,8.72,8.58,101570,100330,99140
2009,1,2,22,30,10.94,11.38,277.13,276.95,8.370000000000001,8.22,101570,100330,99130
2009,1,2,23,30,9.91,10.31,278.90000000000003,278.79,7.98,7.84,101570,100330,99130
2009,1,3,0,30,9.36,9.72,286.02,286.11,7.78,7.65,101600,100360,99150
2009,1,3,1,30,9.53,9.94,288.49,288.49,7.65,7.54,101630,100390,99190
2009,1,3,2,30,8.77,9.06,290.32,290.64,7.33,7.21,101670,100430,99230
2009,1,3,3,30,8.23,8.59,297.84000000000003,298.1,7.3,7.19,101730,100480,99280
2009,1,3,4,30,9.73,10.41,303.40000000000003,303.91,7.12,7.140000000000001,101760,100510,99310
2009,1,3,5,30,9.450000000000001,10.06,309.41,309.92,6.83,6.83,101820,100570,99370
2009,1,3,6,30,10.14,10.77,314.87,315.48,6.9,6.95,101860,100610,99410
2009,1,3,7,30,8.97,9.18,341.99,342.28000000000003,6.87,6.72,101930,100690,99470
2009,1,3,8,30,7.45,7.5600000000000005,359.29,359.41,7.5600000000000005,7.37,101990,100740,99530
2009,1,3,9,30,7.140000000000001,7.18,16.84,16.94,7.88,7.68,102040,100800,99590
2009,1,3,10,30,6.84,6.86,21.13,21.14,7.55,7.3500000000000005,102030,100780,99580
2009,1,3,11,30,6.44,6.46,21.650000000000002,21.63,7.37,7.18,102030,100780,99570
2009,1,3,12,30,5.66,5.68,19.240000000000002,19.17,7.2700000000000005,7.08,102030,100780,99570
2009,1,3,13,30,4.68,4.69,22.61,22.53,7.38,7.19,102040,100790,99580
2009,1,3,14,30,4,4.01,27.89,27.94,7.3500000000000005,7.16,102040,100790,99580
2009,1,3,15,30,3.99,3.99,21.650000000000002,21.68,7.41,7.23,102030,100780,99570
2009,1,3,16,30,3.5,3.48,24.830000000000002,24.93,7.54,7.3500000000000005,102070,100820,99610
2009,1,3,17,30,3.23,3.22,26.98,26.87,7.72,7.53,102090,100850,99640
2009,1,3,18,30,3.13,3.12,28.19,28.11,7.890000000000001,7.7,102110,100870,99660
2009,1,3,19,30,3.41,3.39,33.59,33.51,7.98,7.79,102140,100900,99690
