SiteID,2234849,Site Timezone,-5,Data Timezone,-5,Longitude,-77.6930541992,Latitude,34.4165763855
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2012,1,1,0,30,3.7600000000000002,3.87,298.47,295.79,12.52,13.05,102070,100840,99660
2012,1,1,1,30,3.68,3.87,302.25,302.07,13.290000000000001,13.64,102100,100860,99680
2012,1,1,2,30,3.2800000000000002,3.23,295.85,297.19,13.81,14.06,102110,100880,99700
2012,1,1,3,30,2.52,2.42,285.83,285.76,13.66,14.02,102110,100880,99700
2012,1,1,4,30,2.2600000000000002,2.2800000000000002,264.33,259.14,13.69,14.040000000000001,102140,100910,99730
2012,1,1,5,30,2.2800000000000002,2.42,243.89000000000001,234.76,13.18,13.72,102180,100940,99760
2012,1,1,6,30,3.13,3.35,215.94,209.09,13.18,13.69,102190,100950,99770
2012,1,1,7,30,3.9,4.24,207.42000000000002,203.13,13.26,13.67,102200,100960,99780
2012,1,1,8,30,4.89,5.24,197.71,194.71,13.22,13.5,102180,100950,99770
2012,1,1,9,30,5.39,5.97,190.59,189.24,13.46,13.66,102150,100930,99750
2012,1,1,10,30,4.18,4.36,201.23000000000002,201.13,14.65,14.49,102040,100830,99650
2012,1,1,11,30,6.12,6.21,195.96,196.39000000000001,15.97,15.780000000000001,101940,100730,99560
2012,1,1,12,30,6.4,6.55,204.03,204.49,17.19,16.990000000000002,101830,100630,99470
2012,1,1,13,30,7.65,7.83,208.49,208.77,17.95,17.75,101760,100560,99400
2012,1,1,14,30,8.75,8.97,210.77,210.85,18.1,17.900000000000002,101670,100470,99310
2012,1,1,15,30,8.72,9.05,210.96,211.14000000000001,17.830000000000002,17.64,101600,100400,99240
2012,1,1,16,30,9.15,9.99,206.96,208.02,17.19,17.07,101560,100370,99210
2012,1,1,17,30,11.86,12.94,207.81,209.3,16.86,16.830000000000002,101550,100350,99190
2012,1,1,18,30,12.21,13.1,211.54,212.46,16.66,16.6,101550,100350,99190
2012,1,1,19,30,10.63,11.67,219.20000000000002,220.05,16.62,16.63,101530,100340,99180
2012,1,1,20,30,11.28,12.24,230.45000000000002,231.38,16.830000000000002,16.73,101540,100340,99180
2012,1,1,21,30,11.73,12.77,245.51,246.71,15.06,14.97,101570,100360,99200
2012,1,1,22,30,11.09,12.27,246.27,247.75,13.77,13.700000000000001,101540,100330,99150
2012,1,1,23,30,11.82,12.86,256.93,258.3,12.99,12.92,101500,100280,99110
2012,1,2,0,30,11.75,12.8,274.06,276.37,12.38,12.32,101490,100270,99090
2012,1,2,1,30,12.43,13.56,303.51,306.28000000000003,10.66,10.55,101520,100300,99110
