SiteID,2266387,Site Timezone,-5,Data Timezone,-5,Longitude,-76.6270141602,Latitude,35.5449752808
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2011,1,1,0,30,6.88,7.34,231.71,233.16,10.75,11.21,102460,101210,100020
2011,1,1,1,30,6.6000000000000005,7.01,228.11,228.15,10.74,11.46,102440,101200,100000
2011,1,1,2,30,6.71,7.42,222.67000000000002,223.56,10.06,12.040000000000001,102440,101190,100000
2011,1,1,3,30,5.79,6.91,212.17000000000002,214.26,8.61,9.450000000000001,102430,101190,99990
2011,1,1,4,30,4.9,5.94,205.08,207.03,8.67,8.82,102450,101210,100010
2011,1,1,5,30,4.76,5.92,202.01,201.28,9.47,9.6,102440,101200,100000
2011,1,1,6,30,4.2700000000000005,4.71,197.4,198.94,10.14,10.07,102430,101190,100000
2011,1,1,7,30,4.75,5.15,192.91,192.27,10.53,10.38,102440,101200,100000
2011,1,1,8,30,4.2,4.46,183.70000000000002,185.15,10.98,10.8,102430,101200,100010
2011,1,1,9,30,4.59,4.99,181.32,184.12,10.73,10.65,102430,101200,100010
2011,1,1,10,30,4.04,4.5600000000000005,172.99,174.25,11.02,10.66,102380,101150,99960
2011,1,1,11,30,3.74,4.04,162.13,165.14000000000001,11.96,11.68,102310,101080,99900
2011,1,1,12,30,3.85,4.14,172.12,177.85,14.06,14.13,102240,101030,99850
2011,1,1,13,30,5.8100000000000005,6.46,177.51,180.1,14.85,15.16,102220,101010,99840
2011,1,1,14,30,6.67,7.08,164.33,167.99,15.56,15.66,102180,100970,99800
2011,1,1,15,30,6.49,6.71,163.4,167.71,15.97,16.04,102140,100930,99760
2011,1,1,16,30,6.5200000000000005,6.53,160.16,164.32,16.88,16.91,102130,100930,99760
2011,1,1,17,30,8.53,8.76,170.8,174.66,17.490000000000002,17.63,102140,100930,99770
2011,1,1,18,30,10.19,10.64,192.37,194.73000000000002,17.650000000000002,17.72,102150,100940,99780
2011,1,1,19,30,9.61,10.02,192.79,195.43,17.44,17.55,102150,100950,99780
2011,1,1,20,30,9.78,10.35,194.14000000000001,196.4,17.44,17.64,102130,100920,99760
2011,1,1,21,30,9.22,9.92,194.02,197.20000000000002,17.14,17.32,102110,100910,99740
2011,1,1,22,30,10.47,11.33,197.05,198.41,17.52,17.79,102050,100840,99680
2011,1,1,23,30,10.47,11.61,192.39000000000001,194.68,17.25,17.56,101980,100770,99610
2011,1,2,0,30,9.52,10.3,196.16,197.34,17.400000000000002,17.55,101930,100730,99570
2011,1,2,1,30,9.39,10.35,200.51,202.91,17.400000000000002,17.52,101920,100720,99560
2011,1,2,2,30,9.41,10.25,190.12,193.01,16.9,16.91,101860,100650,99490
2011,1,2,3,30,9.77,10.55,188.51,189.88,17.07,17.080000000000002,101790,100590,99430
2011,1,2,4,30,8.82,9.94,201.96,204.48000000000002,17.01,17.1,101840,100640,99480
2011,1,2,5,30,9.28,10.33,210.9,212.92000000000002,17.22,17.31,101860,100660,99500
2011,1,2,6,30,8.39,9.08,215.34,216.67000000000002,16.72,16.77,101850,100650,99490
2011,1,2,7,30,8.43,9.18,227.13,228.02,16.21,16.19,101840,100640,99480
2011,1,2,8,30,7.75,8.97,226.65,228.92000000000002,16.2,16.15,101820,100620,99460
2011,1,2,9,30,8.290000000000001,8.74,237.22,237.58,16.330000000000002,16.16,101780,100580,99420
2011,1,2,10,30,8.5,9.07,228.26,228.20000000000002,16.44,16.29,101690,100490,99330
2011,1,2,11,30,8.09,8.73,215.29,216.51,16.67,16.56,101580,100390,99230
2011,1,2,12,30,7.46,7.8500000000000005,209.63,210.81,17.35,17.2,101480,100290,99130
2011,1,2,13,30,9.21,9.46,205.70000000000002,206.1,17.900000000000002,17.73,101410,100220,99070
2011,1,2,14,30,8.39,9.13,218.05,219.11,17.75,17.62,101350,100160,99010
2011,1,2,15,30,7.68,8.36,235.65,236.12,17.79,17.71,101300,100120,98970
2011,1,2,16,30,10.27,10.64,308.54,309.48,15.6,15.290000000000001,101370,100170,99010
2011,1,2,17,30,8.540000000000001,9.16,320.89,322.24,12.5,12.32,101480,100260,99080
2011,1,2,18,30,7.61,7.92,334.77,335.09000000000003,11.42,11.23,101570,100350,99170
2011,1,2,19,30,7.67,7.92,329.78000000000003,330.68,9.76,9.58,101690,100460,99270
2011,1,2,20,30,7.32,7.73,339.23,339.23,9.120000000000001,8.950000000000001,101730,100500,99300
2011,1,2,21,30,8.91,9.31,341.25,341.56,8.74,8.57,101850,100620,99420
2011,1,2,22,30,8.700000000000001,9.05,346.16,346.22,7.99,7.8100000000000005,101910,100670,99460
2011,1,2,23,30,10.33,10.950000000000001,350.71,351.18,7.03,6.8500000000000005,101950,100700,99490
2011,1,3,0,30,11.57,12.49,356.04,357.43,4.87,4.73,102050,100790,99570
2011,1,3,1,30,9.290000000000001,10.200000000000001,0.07,0.93,3.17,3.08,102130,100860,99630
2011,1,3,2,30,10.68,11.82,359.76,0.73,2.0300000000000002,1.96,102200,100920,99690
2011,1,3,3,30,11.48,12.6,359.82,0.58,1.3,1.23,102250,100970,99730
2011,1,3,4,30,9.85,11.290000000000001,359.57,1.8,0.52,0.59,102340,101050,99810
2011,1,3,5,30,10.9,12.19,4.43,5.63,0.08,0.09,102420,101130,99880
2011,1,3,6,30,10.34,11.55,2.81,3.92,-0.16,-0.16,102490,101200,99950
2011,1,3,7,30,11.1,12.27,0.9,2.33,-0.52,-0.56,102540,101240,99990
2011,1,3,8,30,8.66,9.17,358.90000000000003,359.65000000000003,-0.8300000000000001,-1,102600,101310,100050
2011,1,3,9,30,8.5,8.67,1.69,1.97,-0.23,-0.42,102640,101350,100100
2011,1,3,10,30,7.8500000000000005,7.99,0.6900000000000001,1.02,0.65,0.45,102630,101350,100100
2011,1,3,11,30,7.57,7.69,356.43,356.81,1.37,1.18,102610,101330,100080
2011,1,3,12,30,7.19,7.3,355.03000000000003,355.37,1.99,1.79,102600,101320,100080
2011,1,3,13,30,6.67,6.7700000000000005,352.78000000000003,353.03000000000003,2.46,2.27,102590,101310,100070
2011,1,3,14,30,5.95,6.03,350.43,350.57,2.72,2.52,102570,101300,100060
2011,1,3,15,30,4.91,4.99,348.75,348.84000000000003,2.7600000000000002,2.57,102550,101280,100040
