,latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
9509,35.097,-75.473,50.7303,269.6125638,0.437661618,8.98350811,78.76517529,-20.12885284,19.07862695
9575,35.066,-75.859,0.1701,0.904017857,0.432814419,8.899998665,78.76517529,-20.8571434,8.668083984
9878,34.711,-75.962,112.7844,599.4068878,0.43525812,8.927646637,69.39238308,-33.48340988,33.28367578
10103,34.482,-76.277,112.7844,599.4068878,0.431896955,8.880616188,69.39238308,-31.39722824,25.75637891
9877,34.73,-76.081,104.5062,555.411352,0.433421016,8.897917747,69.39238308,-31.07991028,24.71480664
10027,34.571,-76.251,112.7844,599.4068878,0.432364702,8.886864662,69.39238308,-31.69304848,23.11459375
9951,34.66,-76.226,112.7844,599.4068878,0.431910843,8.874746323,69.39238308,-28.31815529,20.12481836
9876,34.749,-76.201,103.6314,550.7621173,0.430113733,8.844761848,69.39238308,-23.30021858,15.48366016
10026,34.59,-76.371,112.7844,599.4068878,0.42952472,8.848351479,69.39238308,-21.52441788,12.85428711
9950,34.679,-76.346,103.8663,552.010523,0.427823544,8.816278458,69.39238308,-20.68868446,10.38824609
9875,34.767,-76.32,59.94,318.5586735,0.426384836,8.785966873,69.39238308,-19.70121574,8.923243164
9949,34.697,-76.465,2.8107,14.93781888,0.425726295,8.786109924,69.39238308,-16.04034615,5.523623047
9804,34.78,-75.817,112.7844,599.4068878,0.43588832,8.948720932,39.16078569,-33.27046967,37.42457422
9726,34.869,-75.791,112.7844,599.4068878,0.435395747,8.945468903,39.16078569,-26.95734024,30.95978906
9803,34.8,-75.936,112.7844,599.4068878,0.434690952,8.919927597,39.16078569,-29.00653458,28.299
9650,34.958,-75.765,33.8985,180.1578444,0.43522796,8.9444561,39.16078569,-25.89749146,26.42295508
9725,34.888,-75.91,112.7844,599.4068878,0.434141099,8.91756916,39.16078569,-25.72529411,22.68858789
9802,34.819,-76.056,95.2479,506.2069515,0.432847559,8.887103081,39.16078569,-28.33829498,19.23193945
9649,34.977,-75.885,72.4464,385.0255102,0.433937967,8.915968895,39.16078569,-23.85643959,16.35148438
9724,34.907,-76.03,112.7844,599.4068878,0.432417631,8.879339218,39.16078569,-23.21423531,14.04881543
9648,34.996,-76.005,74.3337,395.0558036,0.432252824,8.883872986,39.16078569,-20.0664711,9.616576172
9801,34.838,-76.175,25.2963,134.4403699,0.428949535,8.822462082,39.16078569,-21.00768471,9.330660156
9723,34.926,-76.15,42.4197,225.4448342,0.430576414,8.843430519,39.16078569,-18.70918465,8.059635742
9574,35.085,-75.979,2.7297,14.50733418,0.432052553,8.89246273,39.16078569,-19.14243317,7.391695801
9647,35.015,-76.125,0.1782,0.947066327,0.431072325,8.859999657,39.16078569,-17.90909004,6.433196777
9800,34.856,-76.295,7.8408,41.67091837,0.425820976,8.771860123,39.16078569,-18.55888367,6.234911133
8827,36.148,-75.665,24.7617,131.5991709,0.411588311,8.585534096,21.96438959,-20.21393585,6.485391602
