Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1124127,-,-,-,34.41,-77.7,-5,14,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2003,1,1,0,30,0,0,0,17,18,1010,96.33,154.3,5.1000000000000005,0.13
2003,1,1,1,30,0,0,0,17,18,1010,96.8,155.3,6.1000000000000005,0.13
2003,1,1,2,30,0,0,0,17,18,1010,96.67,154.4,6.5,0.13
2003,1,1,3,30,0,0,0,17,18,1000,96.97,148.8,6.5,0.13
2003,1,1,4,30,0,0,0,17,18,1000,97.66,148.70000000000002,7.2,0.13
2003,1,1,5,30,0,0,0,17,18,1000,99.05,153.4,8.4,0.13
2003,1,1,6,30,0,0,0,18,18,1000,100,158.8,8.6,0.13
2003,1,1,7,30,0,4,4,18,18,1000,100,155,8.5,0.13
2003,1,1,8,30,55,77,88,18,18,1000,97.59,151.8,9.3,0.13
2003,1,1,9,30,0,40,40,18,19,1000,99.05,151,10.200000000000001,0.13
2003,1,1,10,30,319,188,336,19,19,1000,100,148.5,9.1,0.13
2003,1,1,11,30,299,226,383,18,18,1000,100,193.4,8,0.13
2003,1,1,12,30,829,97,542,13,18,1000,74.18,254.5,7.300000000000001,0.13
2003,1,1,13,30,10,178,183,11,18,1000,64.48,257.90000000000003,6.6000000000000005,0.13
2003,1,1,14,30,0,82,82,11,17,1000,71.32000000000001,244,6.7,0.13
2003,1,1,15,30,0,16,16,12,16,1000,81.2,243.10000000000002,5.800000000000001,0.13
