SiteID,2296536,Site Timezone,-5,Data Timezone,-5,Longitude,-75.7076416016,Latitude,36.0953674316
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2008,1,1,0,30,7.5600000000000005,7.63,130.43,130.69,11.46,11.290000000000001,102000,100770,99580
2008,1,1,1,30,8.1,8.2,130.92000000000002,131.23,12.1,11.93,101950,100720,99530
2008,1,1,2,30,8.36,8.6,131.75,132.5,12.94,12.81,101880,100660,99480
2008,1,1,3,30,8.09,8.47,135.22,137.59,13.91,13.88,101770,100550,99380
2008,1,1,4,30,8.55,9.13,148.77,151.09,14.94,14.99,101700,100490,99320
2008,1,1,5,30,8.93,9.23,166.56,167.77,16.05,16.05,101620,100420,99250
2008,1,1,6,30,7.73,7.82,200.74,204.48000000000002,16.25,16.22,101550,100350,99190
2008,1,1,7,30,5.98,6.5600000000000005,237.73000000000002,235.97,14.85,15.290000000000001,101500,100290,99120
2008,1,1,8,30,7.32,8.08,248.59,248.52,13.82,14.18,101450,100240,99080
2008,1,1,9,30,7.04,7.7700000000000005,249.82,249.59,13.32,13.23,101430,100220,99040
2008,1,1,10,30,7.83,8.08,254.18,254.55,12.91,12.75,101360,100150,98970
2008,1,1,11,30,9.17,9.4,260.47,260.45,13.120000000000001,12.94,101290,100090,98910
2008,1,1,12,30,9.06,9.25,264.32,264.72,12.83,12.64,101250,100040,98860
2008,1,1,13,30,8.370000000000001,8.55,274.22,274.45,12.85,12.65,101210,100000,98820
2008,1,1,14,30,8.85,9.03,280.59000000000003,280.24,12.3,12.1,101210,100000,98820
2008,1,1,15,30,11.31,11.46,281.53000000000003,281.58,11.47,11.27,101240,100020,98840
2008,1,1,16,30,10.08,10.4,285.75,285.67,10.63,10.46,101330,100110,98920
2008,1,1,17,30,11.84,12.19,294.13,294.15000000000003,9.27,9.09,101410,100180,98990
2008,1,1,18,30,12.97,13.38,301.97,301.87,7.8,7.63,101470,100230,99030
2008,1,1,19,30,13.06,13.49,298.71,298.7,7.0200000000000005,6.84,101540,100290,99090
2008,1,1,20,30,13.33,13.77,300.11,300.15000000000003,6.2,6.03,101570,100320,99110
2008,1,1,21,30,14.530000000000001,14.99,301.76,301.89,5.17,4.99,101610,100360,99150
2008,1,1,22,30,14.74,15.22,303.32,303.41,4.01,3.83,101620,100360,99140
2008,1,1,23,30,14.34,14.780000000000001,300.62,300.66,3.12,2.93,101610,100340,99120
2008,1,2,0,30,13.8,14.22,296.7,296.75,2.44,2.24,101570,100310,99080
2008,1,2,1,30,12.780000000000001,13.17,294.93,294.99,1.98,1.8,101590,100320,99090
2008,1,2,2,30,13,13.4,294.04,294.17,1.44,1.25,101580,100310,99080
2008,1,2,3,30,12.83,13.200000000000001,291.94,292.06,1.01,0.8200000000000001,101580,100310,99080
2008,1,2,4,30,12.3,12.67,292.54,292.57,0.66,0.47000000000000003,101620,100350,99110
2008,1,2,5,30,12.57,12.94,288.15000000000003,288.28000000000003,0.33,0.14,101650,100370,99140
2008,1,2,6,30,11.93,12.27,284.66,284.77,0.05,-0.14,101680,100400,99160
2008,1,2,7,30,11.99,12.36,288.25,288.41,-0.29,-0.48,101730,100450,99210
2008,1,2,8,30,11.73,11.98,287.18,287.27,-0.44,-0.64,101750,100470,99230
2008,1,2,9,30,11.82,12.040000000000001,291.7,291.75,-0.53,-0.73,101760,100480,99240
2008,1,2,10,30,11.14,11.34,296.96,296.96,-0.32,-0.53,101740,100460,99220
2008,1,2,11,30,10.74,10.96,299.97,300.11,0.2,-0.02,101740,100460,99220
2008,1,2,12,30,11.44,11.68,301.53000000000003,301.63,0.66,0.44,101770,100490,99250
2008,1,2,13,30,11.92,12.16,301.94,302.06,0.9500000000000001,0.73,101800,100530,99290
2008,1,2,14,30,12.99,13.25,308.41,308.5,0.67,0.46,101870,100590,99350
2008,1,2,15,30,13.44,13.72,307.81,307.96,0.7000000000000001,0.5,101920,100640,99400
