SiteID,2234849,Site Timezone,-5,Data Timezone,-5,Longitude,-77.6930541992,Latitude,34.4165763855
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2008,1,1,0,30,4.75,4.95,171.79,170.28,15.5,15.46,101820,100600,99430
2008,1,1,1,30,4.2,4.42,175.81,173.69,15.68,15.610000000000001,101770,100560,99390
2008,1,1,2,30,3.92,4.2700000000000005,185.32,183.19,15.64,15.65,101720,100510,99340
2008,1,1,3,30,4.3500000000000005,4.79,202.82,200.91,15.68,15.76,101660,100450,99290
2008,1,1,4,30,5.36,5.8,218.55,216.70000000000002,15.42,15.59,101630,100420,99250
2008,1,1,5,30,7.45,7.69,241.6,241.12,14.96,15.14,101610,100400,99230
2008,1,1,6,30,8.68,9.14,267.7,265.22,12.81,13.24,101600,100370,99200
2008,1,1,7,30,10.27,11.22,266.89,265.57,11.55,12.44,101590,100360,99180
2008,1,1,8,30,8.6,9.540000000000001,265.92,265.54,9.59,9.91,101590,100360,99170
2008,1,1,9,30,6.78,7.91,270.62,270.9,10.41,10.370000000000001,101580,100350,99170
2008,1,1,10,30,6.8100000000000005,6.96,273.73,273.63,11.81,11.63,101530,100310,99130
2008,1,1,11,30,7.11,7.24,273.59000000000003,273.58,12.780000000000001,12.59,101460,100240,99060
2008,1,1,12,30,8.620000000000001,8.76,280.06,279.91,13.530000000000001,13.33,101440,100230,99050
2008,1,1,13,30,9.06,9.19,281.54,281.59000000000003,13.18,12.98,101440,100220,99040
2008,1,1,14,30,8.44,8.620000000000001,283.07,283.04,12.870000000000001,12.67,101450,100230,99050
2008,1,1,15,30,9.69,9.870000000000001,283.91,283.95,12.120000000000001,11.93,101470,100250,99070
2008,1,1,16,30,11.36,11.82,286.92,287.3,11.19,11.03,101520,100300,99110
2008,1,1,17,30,10.76,11.92,288.94,289.26,9.85,9.790000000000001,101620,100390,99200
2008,1,1,18,30,9.52,10.23,289.36,290.42,8.76,8.69,101710,100470,99270
