SiteID,2266387,Site Timezone,-5,Data Timezone,-5,Longitude,-76.6270141602,Latitude,35.5449752808
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2007,1,1,0,30,11.040000000000001,11.66,168.38,168.75,18.51,18.39,102110,100920,99760
2007,1,1,1,30,12.11,12.77,172.73,172.83,18.73,18.61,102070,100880,99720
2007,1,1,2,30,13.01,13.8,176.20000000000002,176.52,18.95,18.88,102000,100800,99650
2007,1,1,3,30,13.27,14.02,174.3,174.58,19.13,19.04,101920,100730,99580
2007,1,1,4,30,13.02,13.75,175.19,175.5,19.13,19.03,101900,100710,99560
2007,1,1,5,30,12.290000000000001,12.94,174.68,175.26,19.3,19.19,101840,100660,99500
2007,1,1,6,30,12.25,13.01,177.91,178.67000000000002,19.29,19.21,101800,100620,99460
2007,1,1,7,30,12.47,13.25,180.11,180.52,19.400000000000002,19.29,101760,100570,99420
2007,1,1,8,30,12.71,13.46,183.66,184.02,19.75,19.62,101720,100530,99390
2007,1,1,9,30,12.67,13.32,184.67000000000002,185,20.41,20.25,101660,100480,99340
2007,1,1,10,30,14.57,14.99,188.06,188.16,21.04,20.85,101560,100390,99240
2007,1,1,11,30,13.6,14.3,185.44,185.61,20.990000000000002,20.87,101440,100260,99130
2007,1,1,12,30,9.09,9.49,221.21,219.66,19.62,19.52,101370,100190,99050
2007,1,1,13,30,11.92,12.56,205.69,205.96,19.95,19.81,101350,100180,99030
2007,1,1,14,30,11.15,11.72,211.20000000000002,211.73000000000002,20.27,20.11,101290,100110,98970
2007,1,1,15,30,8.52,9.18,227.26,227.02,19.78,19.650000000000002,101230,100060,98910
2007,1,1,16,30,11.83,12.55,206.9,207.48000000000002,19.93,19.8,101180,100010,98870
2007,1,1,17,30,11.39,11.98,234.27,234.33,18.71,18.57,101210,100020,98880
2007,1,1,18,30,10.33,10.98,253.6,253.58,18.21,18.03,101310,100130,98980
2007,1,1,19,30,11.21,12.11,245.23000000000002,244.84,16.580000000000002,16.48,101330,100140,98980
2007,1,1,20,30,10.72,11.83,248.78,248.81,15.69,15.620000000000001,101380,100180,99020
2007,1,1,21,30,11.69,12.85,253.57,254.51000000000002,14.84,14.81,101440,100240,99070
2007,1,1,22,30,11.74,12.89,265.48,266.6,13.870000000000001,13.8,101500,100290,99110
2007,1,1,23,30,14.61,15.69,326.94,327.22,11.67,11.55,101600,100380,99190
