Data_Status,State,MSN,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2021F,AK,ARICV,1,1.6,1.8,1.4,2.9,3.8,3.4,4.2,4,3.4,7.4,7.8,9.8,9.6,12.5,14.4,11.1,7.2,18.2,5.8,5.6,5.6,4.9,0.8,1.4,1.8,0.6,1.3,1.5,3.1,7.1,38.3,9.2,1.7,8.4,6.2,1.8,6.1,3.7,136.3,171.4,234.9,253.3,216.5,201.4,173.4,131.1,142.5,61.8,170.5,161.4,194
2021F,AK,ARTCV,1,1.6,1.8,1.4,2.9,3.8,3.4,4.2,4,3.4,7.4,7.8,9.8,9.6,12.5,14.4,11.1,7.2,18.2,5.8,5.6,5.6,4.9,0.8,1.4,1.8,0.6,1.3,1.5,3.1,7.1,38.3,9.2,1.7,8.4,6.2,1.8,6.1,3.7,136.3,171.4,234.9,253.3,216.5,201.4,173.4,131.1,142.5,61.8,170.5,161.4,194
2021F,AK,ARTXV,1,1.6,1.8,1.4,2.9,3.8,3.4,4.2,4,3.4,7.4,7.8,9.8,9.6,12.5,14.4,11.1,7.2,18.2,5.8,5.6,5.6,4.9,0.8,1.4,1.8,0.6,1.3,1.5,3.1,7.1,38.3,9.2,1.7,8.4,6.2,1.8,6.1,3.7,136.3,171.4,234.9,253.3,216.5,201.4,173.4,131.1,142.5,61.8,170.5,161.4,194
2021F,AK,AVACV,5.1,4.2,4.3,4.7,7.8,8.1,6.9,8.6,9.5,12.5,22.7,27.6,20.3,19.8,20.3,24.7,26.2,7.9,15.2,20.5,23.1,27.2,19.8,17.1,6.9,16.4,6.6,19.3,6.2,23.5,28.6,13.6,9.7,9.8,13.9,26,28.2,29.6,27.5,22.2,21.5,25.3,25.6,22.9,21.8,32.5,26.8,29.9,34.2,31.8,20.4,29.9
2021F,AK,AVTCV,5.1,4.2,4.3,4.7,7.8,8.1,6.9,8.6,9.5,12.5,22.7,27.6,20.3,19.8,20.3,24.7,26.2,7.9,15.2,20.5,23.1,27.2,19.8,17.1,6.9,16.4,6.6,19.3,6.2,23.5,28.6,13.6,9.7,9.8,13.9,26,28.2,29.6,27.5,22.2,21.5,25.3,25.6,22.9,21.8,32.5,26.8,29.9,34.2,31.8,20.4,29.9
2021F,AK,AVTXV,5.1,4.2,4.3,4.7,7.8,8.1,6.9,8.6,9.5,12.5,22.7,27.6,20.3,19.8,20.3,24.7,26.2,7.9,15.2,20.5,23.1,27.2,19.8,17.1,6.9,16.4,6.6,19.3,6.2,23.5,28.6,13.6,9.7,9.8,13.9,26,28.2,29.6,27.5,22.2,21.5,25.3,25.6,22.9,21.8,32.5,26.8,29.9,34.2,31.8,20.4,29.9
2021F,AK,BTGBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,27,27,27,27,27,43,44,44,45,45,45
2021F,AK,CLACV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021F,AK,CLCCV,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0,0,0,21,23,18.4,16.4,13.2,15,0,0,0,21.6,17.7,18.6,21.7,14.7,14.7,13.5,15.4,15.3,16.1,13.6,12.8,12.6,11.8,13.9,14.5,16.7,15.3,28.3,33.6,31.4,36,37.1,43.7,40.1,42.8,48.8,54.7,54.1,51.3,59.4,60.6
2021F,AK,CLEIV,2.9,3.4,2.9,3.4,3.8,4.3,4.3,4.7,6.1,5.5,8.2,9.6,7,8.9,8.9,8.4,7.8,8.7,11.5,9.2,11.3,9.1,8.7,9.9,9,9.5,7.4,8.1,16.6,16.4,15.5,15.6,17.5,11.3,12.2,12.4,13.4,14.9,15.9,18.6,18.4,23.3,25.8,28.8,48.5,55.3,50.8,50.6,58.3,62.5,66,65.4
