Table 3 south alantic reference case AEO 22,,,,,,,US 2022$- AEO 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power,,,,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Growth (2021-2050)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Coal,Energy Prices: Electric Power: Steam Coal: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_STC_NA_SOATL_Y13DLRPMMBTU.A,2022 $/MMBtu,,,,2.589649,2.447239,2.384869,2.38643,2.310191,2.238824,2.20904,2.205446,2.220501,2.225052,2.218937,2.230854,2.243947,2.240432,2.220953,2.216686,2.212141,2.203706,2.193242,2.191758,2.194301,2.19754,2.187804,2.191054,2.196399,2.186981,2.178619,2.186695,2.187768,
Natural Gas,Energy Prices: Electric Power: Natural Gas: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_NG_NA_SOATL_Y13DLRPMMBTU.A,2022 $/MMBtu,,,,7.958245,6.344121,5.114598,4.456979,3.880473,3.558741,3.407456,3.420762,3.483771,3.569899,3.631186,3.805427,3.900569,4.037017,4.061968,4.130064,4.259203,4.224813,4.356409,4.448615,4.413907,4.357785,4.191014,4.19783,4.179885,4.145279,4.141592,4.068883,4.079675,
Uranium,Energy Prices: Electric Power: Uranium: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_U_NA_SOATL_Y13DLRPMMBTU.A,2022 $/MMBtu,,,,0.710872,0.7108,0.710739,0.710677,0.710606,0.710544,0.710482,0.710411,0.710349,0.710277,0.710216,0.710154,0.710083,0.710021,0.709949,0.709888,0.709826,0.709755,0.709693,0.709631,0.70956,0.709498,0.709426,0.709365,0.709303,0.709232,0.70917,0.709108,0.709037,
Residual Fuel Oil,Energy Prices: Electric Power: Residual Fuel Oil: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_RFO_NA_SOATL_Y13DLRPMMBTU.A,2022 $/MMBtu,,,,18.824186,15.931581,15.887926,14.593412,14.462013,14.343983,14.196053,14.288919,14.378911,14.493037,14.5969,14.691672,14.795862,14.910467,15.001322,15.101528,15.207922,15.273631,15.358699,15.485116,15.501465,15.571078,15.618802,15.677137,15.836001,15.836909,15.958533,16.049847,16.119326,
,,,,,AEO 21- (2020US),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convert ATB data to 2020,,,,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Growth (2021-2050)
2020-22 rate = 0.92,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Coal,Energy Prices: Electric Power: Steam Coal: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_STC_NA_SOATL_Y13DLRPMMBTU.A,2020 $/MMBtu,,2.356,2.403,2.38247708,2.25145988,2.19407948,2.1955156,2.12537572,2.05971808,2.0323168,2.02901032,2.04286092,2.04704784,2.04142204,2.05238568,2.06443124,2.06119744,2.04327676,2.03935112,2.03516972,2.02740952,2.01778264,2.01641736,2.01875692,2.0217368,2.01277968,2.01576968,2.02068708,2.01202252,2.00432948,2.0117594,2.01274656,
Natural Gas,Energy Prices: Electric Power: Natural Gas: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_NG_NA_SOATL_Y13DLRPMMBTU.A,2020 $/MMBtu,,2.919,4.4024,7.3215854,5.83659132,4.70543016,4.10042068,3.57003516,3.27404172,3.13485952,3.14710104,3.20506932,3.28430708,3.34069112,3.50099284,3.58852348,3.71405564,3.73701056,3.79965888,3.91846676,3.88682796,4.00789628,4.0927258,4.06079444,4.0091622,3.85573288,3.8620036,3.8454942,3.81365668,3.81026464,3.74337236,3.753301,
Uranium,Energy Prices: Electric Power: Uranium: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_U_NA_SOATL_Y13DLRPMMBTU.A,2020 $/MMBtu,,0.686,0.687,0.65400224,0.653936,0.65387988,0.65382284,0.65375752,0.65370048,0.65364344,0.65357812,0.65352108,0.65345484,0.65339872,0.65334168,0.65327636,0.65321932,0.65315308,0.65309696,0.65303992,0.6529746,0.65291756,0.65286052,0.6527952,0.65273816,0.65267192,0.6526158,0.65255876,0.65249344,0.6524364,0.65237936,0.65231404,
Residual Fuel Oil,Energy Prices: Electric Power: Residual Fuel Oil: Reference case,AEO.2023.REF2023.PRCE_REAL_ELEP_NA_RFO_NA_SOATL_Y13DLRPMMBTU.A,2020 $/MMBtu,,8.782,7.67,17.31825112,14.65705452,14.61689192,13.42593904,13.30505196,13.19646436,13.06036876,13.14580548,13.22859812,13.33359404,13.429148,13.51633824,13.61219304,13.71762964,13.80121624,13.89340576,13.99128824,14.05174052,14.13000308,14.24630672,14.2613478,14.32539176,14.36929784,14.42296604,14.56912092,14.56995628,14.68185036,14.76585924,14.82977992,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 $/MMBtu to M$/PJ,,0.94781712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Coal,,,M$/PJ (2020),,2.233057135,2.27760454,2.258152565,2.13397222,2.079586094,2.080947274,2.014467495,1.952236059,1.926264657,1.923130719,1.936258554,1.940226989,1.934894759,1.945286285,1.956703273,1.953638222,1.936652695,1.932931906,1.928968703,1.921613453,1.912488931,1.911194895,1.913412371,1.916236752,1.90774704,1.910581013,1.915241809,1.907029391,1.899737796,1.906780001,1.907715648,
Natural Gas,,,M$/PJ (2020),,2.766678174,4.17267009,6.93952399,5.532021177,4.459887264,3.886448921,3.383740445,3.103192795,2.971273523,2.982876245,3.037819573,3.112922479,3.166364237,3.318300952,3.401263991,3.520245521,3.542002588,3.601381738,3.71398988,3.684002084,3.798752711,3.879155582,3.848890492,3.799952571,3.654529635,3.660473131,3.644825239,3.614649092,3.611434059,3.548032411,3.557442945,
Uranium,,,M$/PJ (2020),,0.650202545,0.651150362,0.61987452,0.619811736,0.619758545,0.619704481,0.61964257,0.619588506,0.619534443,0.619472532,0.619418468,0.619355685,0.619302493,0.61924843,0.619186518,0.619132455,0.619069671,0.61901648,0.618962416,0.618900505,0.618846442,0.618792378,0.618730467,0.618676403,0.61861362,0.618560428,0.618506365,0.618444453,0.61839039,0.618336326,0.618274415,
Residual Fuel Oil,,,M$/PJ (2020),,8.323729951,7.269757313,16.41453491,13.89220721,13.85414041,12.72533488,12.61075603,12.50783485,12.37884111,12.45981949,12.53829178,12.63780871,12.72837639,12.81101679,12.90186961,13.00180422,13.08102903,13.16840784,13.26118253,13.31848024,13.39265883,13.50289341,13.5171496,13.57785157,13.6194665,13.67033414,13.80886224,13.809654,13.91570913,13.99533418,14.0559193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 M$/PJ,2023,2025,2030,2035,2040,2045,2050,, $/MMBtu,2023,2025,2030,2035,2040,2045,2050,,,,,,,,,,,,,,,,,,,,
Biomass,4.739336493,4.739336493,4.739336493,4.739336493,4.739336493,4.739336493,4.739336493,,Biomass,5.0003,5.0003,5.0003,5.0003,5.0003,5.0003,5.0003,,,,,,,,,,,,,,,,,,,,
Steam Coal,2.13397222,2.080947274,1.936258554,1.953638222,1.912488931,1.910581013,1.907715648,,Steam Coal,2.2515,2.1955,2.0429,2.0612,2.0178,2.0158,2.0127,,,,,,,,,,,,,,,,,,,,
Natural Gas,5.532021177,3.886448921,3.037819573,3.520245521,3.798752711,3.660473131,3.557442945,,Natural Gas,5.8366,4.1004,3.2051,3.7141,4.0079,3.8620,3.7533,,,,,,,,,,,,,,,,,,,,
Uranium,0.619811736,0.619704481,0.619418468,0.619132455,0.618846442,0.618560428,0.618274415,,Uranium,0.6539,0.6538,0.6535,0.6532,0.6529,0.6526,0.6523,,,,,,,,,,,,,,,,,,,,
Residual Fuel Oil,13.89220721,12.72533488,12.53829178,13.00180422,13.39265883,13.67033414,14.0559193,,Residual Fuel Oil,14.6571,13.4259,13.2286,13.7176,14.1300,14.4230,14.8298,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,$/MMBtu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Waste,2.39,https://www.eia.gov/state/seds/seds-data-fuel-prev.php,,,,,WWEID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landfill gas,4 to 15,https://www.iea.org/reports/outlook-for-biogas-and-biomethane-prospects-for-organic-growth/sustainable-supply-potential-and-costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For biomass end up using ATB 22 at 5$/MMBTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
