"PVWatts Hourly PV Performance Data"
"Requested Location","Wilmingtonm NC"
"Location","Lat, Lng: 34.25, -77.94"
"Latitude (DD)","34.25"
"Longitude (DD)","-77.94"
"Elevation (m)","4.4800000190735"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12","0.1","0.12","0","12","0","0"
"1","1","1","0","0","12","0.1","0.12","0","12","0","0"
"1","1","2","0","0","12","0.1","0.12","0","12","0","0"
"1","1","3","0","0","12","0.1","0.12","0","12","0","0"
"1","1","4","0","0","12","0.1","0.12","0","12","0","0"
"1","1","5","0","0","12","0.1","0.12","0","12","0","0"
"1","1","6","0","0","12","0.1","0.12","0","12","0","0"
"1","1","7","134","12","12","0.1","0.12","19.424","12.649","38.667","21.443"
"1","1","8","625","48","12","0.2","0.12","398.383","27.334","1366.404","1302.132"
"1","1","9","806","63","13","0.3","0.12","635.905","36.784","2135.3","2043.784"
"1","1","10","878","73","14","0.3","0.12","632.319","37.609","2102.371","2012.021"
"1","1","11","897","81","15","0.3","0.12","587.078","36.889","1946.268","1861.45"
"1","1","12","889","86","15","0.3","0.12","571.33","36.293","1895.262","1812.251"
"1","1","13","866","84","15","0.4","0.12","601.109","36.752","1997.91","1911.262"
"1","1","14","818","75","14","0.4","0.12","631.988","36.909","2113.741","2022.988"
"1","1","15","725","59","13","0.3","0.12","588.686","35.018","1989.838","1903.476"
"1","1","16","491","33","12","0.2","0.12","212.879","20.096","706.455","665.568"
"1","1","17","0","0","10","0.2","0.12","0","10","0","0"
"1","1","18","0","0","9","0.2","0.12","0","9","0","0"
"1","1","19","0","0","8","0.3","0.12","0","8","0","0"
"1","1","20","0","0","7","0.2","0.12","0","7","0","0"
"1","1","21","0","0","6","0.2","0.12","0","6","0","0"
"1","1","22","0","0","5","0.2","0.12","0","5","0","0"
"1","1","23","0","0","4","0.2","0.12","0","4","0","0"
"1","2","0","0","0","4","0.2","0.12","0","4","0","0"
"1","2","1","0","0","3","0.2","0.12","0","3","0","0"
"1","2","2","0","0","3","0.2","0.12","0","3","0","0"
"1","2","3","0","0","3","0.2","0.12","0","3","0","0"
"1","2","4","0","0","2","0.3","0.12","0","2","0","0"
"1","2","5","0","0","1","0.3","0.12","0","1","0","0"
"1","2","6","0","0","1","0.3","0.12","0","1","0","0"
"1","2","7","122","13","0","0.3","0.12","19.235","0.602","40.414","23.128"
"1","2","8","642","54","0","0.4","0.12","419.586","15.181","1507.428","1438.16"
"1","2","9","840","68","1","0.4","0.12","665.605","25.149","2337.899","2239.204"
"1","2","10","921","76","1","0.4","0.12","663.745","25.04","2317.22","2219.257"
"1","2","11","953","80","2","0.4","0.12","618.821","24.383","2154.359","2062.167"
"1","2","12","949","83","2","0.5","0.12","601.665","23.122","2101.465","2011.147"
"1","2","13","897","90","3","0.4","0.12","625.881","25.647","2171.816","2079.005"
"1","2","14","820","87","3","0.4","0.12","645.644","26.401","2248.362","2152.839"
"1","2","15","701","71","2","0.3","0.12","590.494","24.082","2080.716","1991.134"
"1","2","16","452","39","2","0.3","0.12","218.286","10.049","754.717","712.12"
"1","2","17","0","0","1","0.3","0.12","0","1","0","0"
"1","2","18","0","0","1","0.3","0.12","0","1","0","0"
"1","2","19","0","0","1","0.3","0.12","0","1","0","0"
"1","2","20","0","0","0","0.3","0.12","0","0","0","0"
"1","2","21","0","0","0","0.3","0.12","0","0","0","0"
"1","2","22","0","0","0","0.2","0.12","0","0","0","0"
"1","2","23","0","0","0","0.2","0.12","0","0","0","0"
"1","3","0","0","0","0","0.2","0.12","0","0","0","0"
"1","3","1","0","0","0","0.2","0.12","0","0","0","0"
"1","3","2","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","3","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","4","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","5","0","0","-2","0.1","0.12","0","-2","0","0"
"1","3","6","0","0","-2","0.1","0.12","0","-2","0","0"
"1","3","7","211","12","-1","0.2","0.12","24.811","-0.197","53.059","35.325"
"1","3","8","704","46","0","0.3","0.12","436.252","16.275","1563.339","1492.089"
"1","3","9","873","60","0","0.3","0.12","680.75","25.463","2389.085","2288.575"
"1","3","10","941","70","1","0.3","0.12","667.662","25.93","2323.825","2225.628"
"1","3","11","980","71","2","0.3","0.12","626.33","25.355","2173.397","2080.531"
"1","3","12","989","71","2","0.3","0.12","612.481","24.832","2127.021","2035.798"
"1","3","13","968","69","3","0.3","0.12","643.932","27.024","2224.898","2130.207"
"1","3","14","919","64","3","0.2","0.12","682.742","29.328","2353.649","2254.396"
"1","3","15","816","53","2","0.1","0.12","646.701","27.783","2250.631","2155.028"
"1","3","16","571","33","1","0.1","0.12","244.338","10.615","849.761","803.796"
"1","3","17","0","0","0","0.1","0.12","0","0","0","0"
"1","3","18","0","0","0","0.1","0.12","0","0","0","0"
"1","3","19","0","0","0","0.1","0.12","0","0","0","0"
"1","3","20","0","0","-1","0.1","0.12","0","-1","0","0"
"1","3","21","0","0","-1","0.3","0.12","0","-1","0","0"
"1","3","22","0","0","-1","0.4","0.12","0","-1","0","0"
"1","3","23","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","0","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","1","0","0","-1","0.5","0.12","0","-1","0","0"
"1","4","2","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","3","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","4","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","5","0","0","-1","0.5","0.12","0","-1","0","0"
"1","4","6","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","7","0","17","0","0.1","0.12","13.367","0.444","27.372","10.548"
"1","4","8","705","44","1","0","0.12","434.711","18.86","1542.999","1472.47"
"1","4","9","862","58","3","0","0.12","666.878","30.471","2296.649","2199.416"
"1","4","10","934","66","4","0.1","0.12","660.859","30.3","2262.293","2166.277"
"1","4","11","966","70","5","0.1","0.12","619.172","29.606","2113.777","2023.023"
"1","4","12","973","71","6","0.1","0.12","605.019","30.036","2059.353","1970.528"
"1","4","13","953","69","6","0.1","0.12","635.956","31.286","2161.252","2068.816"
"1","4","14","905","64","6","0.1","0.12","674.168","32.851","2292.306","2195.227"
"1","4","15","804","53","5","0.4","0.12","639.302","28.2","2221.374","2126.808"
"1","4","16","565","33","3","1","0.12","246.167","10.48","858.9","812.611"
"1","4","17","0","0","3","1.2","0.12","0","3","0","0"
"1","4","18","0","0","3","1.2","0.12","0","3","0","0"
"1","4","19","0","0","3","1.2","0.12","0","3","0","0"
"1","4","20","0","0","3","1.1","0.12","0","3","0","0"
"1","4","21","0","0","3","1.1","0.12","0","3","0","0"
"1","4","22","0","0","3","1.1","0.12","0","3","0","0"
"1","4","23","0","0","3","1.1","0.12","0","3","0","0"
"1","5","0","0","0","3","1","0.12","0","3","0","0"
"1","5","1","0","0","3","1","0.12","0","3","0","0"
"1","5","2","0","0","3","0.9","0.12","0","3","0","0"
"1","5","3","0","0","3","0.8","0.12","0","3","0","0"
"1","5","4","0","0","3","0.8","0.12","0","3","0","0"
"1","5","5","0","0","3","0.8","0.12","0","3","0","0"
"1","5","6","0","0","3","0.7","0.12","0","3","0","0"
"1","5","7","197","12","4","0.3","0.12","23.451","4.736","48.928","31.34"
"1","5","8","658","45","6","0","0.12","411.927","22.923","1438.26","1371.442"
"1","5","9","817","60","8","0","0.12","645.21","34.576","2185.896","2092.587"
"1","5","10","875","73","10","0.1","0.12","637.117","35.351","2137.101","2045.52"
"1","5","11","904","78","11","0.1","0.12","594.238","34.612","1987.806","1901.516"
"1","5","12","501","190","12","0.2","0.12","466.589","29.9","1569.222","1497.764"
"1","5","13","867","83","13","0.1","0.12","603.358","36.983","2002.563","1915.75"
"1","5","14","482","137","12","0.3","0.12","470.774","29.571","1608.696","1535.839"
"1","5","15","96","118","10","0.7","0.12","192.729","16.397","675.903","636.099"
"1","5","16","207","46","9","0.9","0.12","154.55","13.812","522.631","488.258"
