"PVWatts Hourly PV Performance Data"
"Requested Location","Charlotte, NC"
"Location","Lat, Lng: 35.21, -80.82"
"Latitude (DD)","35.21"
"Longitude (DD)","-80.82"
"Elevation (m)","217.16000366211"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-1","1.1","0.11","0","-1","0","0"
"1","1","1","0","0","-1","1","0.11","0","-1","0","0"
"1","1","2","0","0","-2","1","0.11","0","-2","0","0"
"1","1","3","0","0","-2","1","0.11","0","-2","0","0"
"1","1","4","0","0","-2","1","0.11","0","-2","0","0"
"1","1","5","0","0","-2","0.9","0.11","0","-2","0","0"
"1","1","6","0","0","-2","0.9","0.11","0","-2","0","0"
"1","1","7","0","0","-1","0.6","0.11","0","-1","0","0"
"1","1","8","556","41","1","0.3","0.11","255.458","10.346","861.662","815.275"
"1","1","9","753","61","3","0.3","0.11","484.113","21.103","1721.838","1644.972"
"1","1","10","842","71","6","0.6","0.11","661.238","28.603","2279.83","2183.192"
"1","1","11","879","77","8","0.7","0.11","763.771","33.358","2572.469","2465.462"
"1","1","12","888","79","9","0.8","0.11","796.879","34.739","2664.524","2554.255"
"1","1","13","872","76","9","0.9","0.11","751.638","32.659","2539.669","2433.825"
"1","1","14","825","70","10","0.8","0.11","638.158","30.651","2184.213","2090.964"
