"PVWatts Hourly PV Performance Data"
"Requested Location","Wilmington NC"
"Location","Lat, Lng: 34.25, -77.94"
"Latitude (DD)","34.25"
"Longitude (DD)","-77.94"
"Elevation (m)","4.4800000190735"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12","0.1","0.12","0","12","0","0"
"1","1","1","0","0","12","0.1","0.12","0","12","0","0"
"1","1","2","0","0","12","0.1","0.12","0","12","0","0"
"1","1","3","0","0","12","0.1","0.12","0","12","0","0"
"1","1","4","0","0","12","0.1","0.12","0","12","0","0"
"1","1","5","0","0","12","0.1","0.12","0","12","0","0"
"1","1","6","0","0","12","0.1","0.12","0","12","0","0"
"1","1","7","134","12","12","0.1","0.12","21.405","12.662","37.161","19.99"
"1","1","8","625","48","12","0.2","0.12","314.199","23.974","1046.44","993.507"
"1","1","9","806","63","13","0.3","0.12","546.87","33.448","1856.802","1775.154"
"1","1","10","878","73","14","0.3","0.12","714.701","40.683","2347.336","2248.306"
"1","1","11","897","81","15","0.3","0.12","799.782","44.825","2570.806","2463.858"
"1","1","12","889","86","15","0.3","0.12","818.904","45.528","2621.02","2512.293"
"1","1","13","866","84","15","0.4","0.12","758.684","42.456","2466.319","2363.073"
"1","1","14","818","75","14","0.4","0.12","627.163","36.73","2097.587","2007.407"
"1","1","15","725","59","13","0.3","0.12","435.9","29.276","1492.01","1423.288"
"1","1","16","491","33","12","0.2","0.12","194.119","19.181","586.242","549.614"
"1","1","17","0","0","10","0.2","0.12","0","10","0","0"
"1","1","18","0","0","9","0.2","0.12","0","9","0","0"
"1","1","19","0","0","8","0.3","0.12","0","8","0","0"
"1","1","20","0","0","7","0.2","0.12","0","7","0","0"
"1","1","21","0","0","6","0.2","0.12","0","6","0","0"
"1","1","22","0","0","5","0.2","0.12","0","5","0","0"
"1","1","23","0","0","4","0.2","0.12","0","4","0","0"
"1","2","0","0","0","4","0.2","0.12","0","4","0","0"
"1","2","1","0","0","3","0.2","0.12","0","3","0","0"
"1","2","2","0","0","3","0.2","0.12","0","3","0","0"
"1","2","3","0","0","3","0.2","0.12","0","3","0","0"
"1","2","4","0","0","2","0.3","0.12","0","2","0","0"
"1","2","5","0","0","1","0.3","0.12","0","1","0","0"
"1","2","6","0","0","1","0.3","0.12","0","1","0","0"
"1","2","7","122","13","0","0.3","0.12","21.38","0.625","39.705","22.444"
"1","2","8","642","54","0","0.4","0.12","329.457","11.803","1150.202","1093.591"
"1","2","9","840","68","1","0.4","0.12","571.635","21.734","2030.486","1942.684"
"1","2","10","921","76","1","0.4","0.12","748.51","28.109","2581.911","2474.569"
"1","2","11","953","80","2","0.4","0.12","842.797","32.49","2844.284","2727.646"
"1","2","12","949","83","2","0.5","0.12","858.282","32.139","2896.874","2778.372"
"1","2","13","897","90","3","0.4","0.12","790.082","31.59","2679.898","2569.084"
"1","2","14","820","87","3","0.4","0.12","643.158","26.306","2238.764","2143.581"
"1","2","15","701","71","2","0.3","0.12","441.19","18.473","1573.75","1502.131"
"1","2","16","452","39","2","0.3","0.12","192.376","8.918","610.278","572.799"
"1","2","17","0","0","1","0.3","0.12","0","1","0","0"
"1","2","18","0","0","1","0.3","0.12","0","1","0","0"
"1","2","19","0","0","1","0.3","0.12","0","1","0","0"
"1","2","20","0","0","0","0.3","0.12","0","0","0","0"
"1","2","21","0","0","0","0.3","0.12","0","0","0","0"
"1","2","22","0","0","0","0.2","0.12","0","0","0","0"
"1","2","23","0","0","0","0.2","0.12","0","0","0","0"
"1","3","0","0","0","0","0.2","0.12","0","0","0","0"
"1","3","1","0","0","0","0.2","0.12","0","0","0","0"
"1","3","2","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","3","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","4","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","5","0","0","-2","0.1","0.12","0","-2","0","0"
"1","3","6","0","0","-2","0.1","0.12","0","-2","0","0"
"1","3","7","211","12","-1","0.2","0.12","26.791","-0.214","48.18","30.618"
"1","3","8","704","46","0","0.3","0.12","342.548","12.647","1191.768","1133.685"
"1","3","9","873","60","0","0.3","0.12","581.218","21.734","2065.688","1976.638"
"1","3","10","941","70","1","0.3","0.12","750.864","29.036","2581.845","2474.506"
"1","3","11","980","71","2","0.3","0.12","853.89","33.847","2867.029","2749.585"
"1","3","12","989","71","2","0.3","0.12","877.148","34.706","2931.588","2811.856"
"1","3","13","968","69","3","0.3","0.12","815.26","33.419","2747.679","2634.463"
"1","3","14","919","64","3","0.2","0.12","678.996","29.18","2340.893","2242.091"
"1","3","15","816","53","2","0.1","0.12","477.731","21.021","1693.087","1617.24"
"1","3","16","571","33","1","0.1","0.12","221.028","9.463","700.592","659.913"
"1","3","17","0","0","0","0.1","0.12","0","0","0","0"
"1","3","18","0","0","0","0.1","0.12","0","0","0","0"
"1","3","19","0","0","0","0.1","0.12","0","0","0","0"
"1","3","20","0","0","-1","0.1","0.12","0","-1","0","0"
"1","3","21","0","0","-1","0.3","0.12","0","-1","0","0"
"1","3","22","0","0","-1","0.4","0.12","0","-1","0","0"
"1","3","23","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","0","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","1","0","0","-1","0.5","0.12","0","-1","0","0"
"1","4","2","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","3","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","4","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","5","0","0","-1","0.5","0.12","0","-1","0","0"
"1","4","6","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","7","0","17","0","0.1","0.12","16.172","0.536","33.229","16.197"
"1","4","8","705","44","1","0","0.12","340.289","14.834","1173.661","1116.22"
"1","4","9","862","58","3","0","0.12","568.708","26.421","1985.983","1899.757"
"1","4","10","934","66","4","0.1","0.12","741.343","33.502","2505.996","2401.344"
"1","4","11","966","70","5","0.1","0.12","842.394","38.483","2777.626","2663.349"
"1","4","12","973","71","6","0.1","0.12","865.476","40.391","2828.461","2712.383"
"1","4","13","953","69","6","0.1","0.12","805.434","38.028","2665.775","2555.462"
"1","4","14","905","64","6","0.1","0.12","671.582","32.745","2283.314","2186.553"
"1","4","15","804","53","5","0.4","0.12","473.471","22.161","1671.593","1596.508"
"1","4","16","565","33","3","1","0.12","220.539","9.525","701.963","661.235"
"1","4","17","0","0","3","1.2","0.12","0","3","0","0"
"1","4","18","0","0","3","1.2","0.12","0","3","0","0"
"1","4","19","0","0","3","1.2","0.12","0","3","0","0"
"1","4","20","0","0","3","1.1","0.12","0","3","0","0"
"1","4","21","0","0","3","1.1","0.12","0","3","0","0"
"1","4","22","0","0","3","1.1","0.12","0","3","0","0"
"1","4","23","0","0","3","1.1","0.12","0","3","0","0"
"1","5","0","0","0","3","1","0.12","0","3","0","0"
"1","5","1","0","0","3","1","0.12","0","3","0","0"
"1","5","2","0","0","3","0.9","0.12","0","3","0","0"
"1","5","3","0","0","3","0.8","0.12","0","3","0","0"
"1","5","4","0","0","3","0.8","0.12","0","3","0","0"
"1","5","5","0","0","3","0.8","0.12","0","3","0","0"
"1","5","6","0","0","3","0.7","0.12","0","3","0","0"
"1","5","7","197","12","4","0.3","0.12","25.431","4.725","44.816","27.374"
"1","5","8","658","45","6","0","0.12","322.137","19.096","1091.961","1037.414"
"1","5","9","817","60","8","0","0.12","548.509","30.587","1883.671","1801.071"
"1","5","10","875","73","10","0.1","0.12","712.945","38.367","2362.966","2263.383"
"1","5","11","904","78","11","0.1","0.12","803.944","42.95","2603.434","2495.329"
"1","5","12","501","190","12","0.2","0.12","627.347","36.09","2073.032","1983.722"
"1","5","13","867","83","13","0.1","0.12","763.594","43.356","2471.983","2368.536"
"1","5","14","482","137","12","0.3","0.12","480.808","29.937","1638.367","1564.459"
"1","5","15","96","118","10","0.7","0.12","177.389","15.879","618.254","580.492"
"1","5","16","207","46","9","0.9","0.12","126.391","12.871","401.639","371.553"
