"PVWatts Hourly PV Performance Data"
"Requested Location","Wilmingtonm NC"
"Location","Lat, Lng: 34.25, -77.94"
"Latitude (DD)","34.25"
"Longitude (DD)","-77.94"
"Elevation (m)","4.4800000190735"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12","0.1","0.12","0","12","0","0"
"1","1","1","0","0","12","0.1","0.12","0","12","0","0"
"1","1","2","0","0","12","0.1","0.12","0","12","0","0"
"1","1","3","0","0","12","0.1","0.12","0","12","0","0"
"1","1","4","0","0","12","0.1","0.12","0","12","0","0"
"1","1","5","0","0","12","0.1","0.12","0","12","0","0"
"1","1","6","0","0","12","0.1","0.12","0","12","0","0"
"1","1","7","134","12","12","0.1","0.12","37.822","13.302","62.918","44.834"
"1","1","8","625","48","12","0.2","0.12","315.783","25.958","1043.404","990.578"
"1","1","9","806","63","13","0.3","0.12","548.941","36.807","1838.57","1757.568"
"1","1","10","878","73","14","0.3","0.12","717.122","45.055","2312.988","2215.176"
"1","1","11","897","81","15","0.3","0.12","802.343","49.705","2526.593","2421.212"
"1","1","12","889","86","15","0.3","0.12","821.698","50.531","2575.003","2467.906"
"1","1","13","866","84","15","0.4","0.12","761.384","46.959","2429.023","2327.099"
"1","1","14","818","75","14","0.4","0.12","629.557","40.465","2073.631","1984.3"
"1","1","15","725","59","13","0.3","0.12","437.8","31.961","1482.342","1413.963"
"1","1","16","491","33","12","0.2","0.12","195.178","20.376","586.822","550.174"
"1","1","17","0","0","10","0.2","0.12","0","10","0","0"
"1","1","18","0","0","9","0.2","0.12","0","9","0","0"
"1","1","19","0","0","8","0.3","0.12","0","8","0","0"
"1","1","20","0","0","7","0.2","0.12","0","7","0","0"
"1","1","21","0","0","6","0.2","0.12","0","6","0","0"
"1","1","22","0","0","5","0.2","0.12","0","5","0","0"
"1","1","23","0","0","4","0.2","0.12","0","4","0","0"
"1","2","0","0","0","4","0.2","0.12","0","4","0","0"
"1","2","1","0","0","3","0.2","0.12","0","3","0","0"
"1","2","2","0","0","3","0.2","0.12","0","3","0","0"
"1","2","3","0","0","3","0.2","0.12","0","3","0","0"
"1","2","4","0","0","2","0.3","0.12","0","2","0","0"
"1","2","5","0","0","1","0.3","0.12","0","1","0","0"
"1","2","6","0","0","1","0.3","0.12","0","1","0","0"
"1","2","7","122","13","0","0.3","0.12","36.332","1.182","64.338","46.204"
"1","2","8","642","54","0","0.4","0.12","331.228","13.765","1147.861","1091.333"
"1","2","9","840","68","1","0.4","0.12","573.835","25.142","2011.753","1924.614"
"1","2","10","921","76","1","0.4","0.12","751.025","32.55","2546.023","2439.953"
"1","2","11","953","80","2","0.4","0.12","845.37","37.473","2797.079","2682.113"
"1","2","12","949","83","2","0.5","0.12","860.931","37.067","2849.63","2732.802"
"1","2","13","897","90","3","0.4","0.12","792.938","36.282","2640.038","2530.636"
"1","2","14","820","87","3","0.4","0.12","645.819","30.145","2214.605","2120.279"
"1","2","15","701","71","2","0.3","0.12","443.392","21.203","1565.086","1493.775"
"1","2","16","452","39","2","0.3","0.12","193.606","10.076","611.701","574.172"
"1","2","17","0","0","1","0.3","0.12","0","1","0","0"
"1","2","18","0","0","1","0.3","0.12","0","1","0","0"
"1","2","19","0","0","1","0.3","0.12","0","1","0","0"
"1","2","20","0","0","0","0.3","0.12","0","0","0","0"
"1","2","21","0","0","0","0.3","0.12","0","0","0","0"
"1","2","22","0","0","0","0.2","0.12","0","0","0","0"
"1","2","23","0","0","0","0.2","0.12","0","0","0","0"
"1","3","0","0","0","0","0.2","0.12","0","0","0","0"
"1","3","1","0","0","0","0.2","0.12","0","0","0","0"
"1","3","2","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","3","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","4","0","0","-1","0.2","0.12","0","-1","0","0"
"1","3","5","0","0","-2","0.1","0.12","0","-2","0","0"
"1","3","6","0","0","-2","0.1","0.12","0","-2","0","0"
"1","3","7","211","12","-1","0.2","0.12","52.437","0.712","90.708","71.639"
"1","3","8","704","46","0","0.3","0.12","344.127","14.737","1187.813","1129.869"
"1","3","9","873","60","0","0.3","0.12","583.253","25.298","2044.737","1956.43"
"1","3","10","941","70","1","0.3","0.12","753.156","33.619","2543.604","2437.62"
"1","3","11","980","71","2","0.3","0.12","856.268","39.042","2816.01","2700.373"
"1","3","12","989","71","2","0.3","0.12","879.541","40.039","2877.473","2759.659"
"1","3","13","968","69","3","0.3","0.12","817.569","38.384","2701.434","2589.858"
"1","3","14","919","64","3","0.2","0.12","681.109","33.461","2308.916","2211.248"
"1","3","15","816","53","2","0.1","0.12","479.544","24.146","1679.077","1603.727"
"1","3","16","571","33","1","0.1","0.12","222.121","10.866","700.49","659.815"
"1","3","17","0","0","0","0.1","0.12","0","0","0","0"
"1","3","18","0","0","0","0.1","0.12","0","0","0","0"
"1","3","19","0","0","0","0.1","0.12","0","0","0","0"
"1","3","20","0","0","-1","0.1","0.12","0","-1","0","0"
"1","3","21","0","0","-1","0.3","0.12","0","-1","0","0"
"1","3","22","0","0","-1","0.4","0.12","0","-1","0","0"
"1","3","23","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","0","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","1","0","0","-1","0.5","0.12","0","-1","0","0"
"1","4","2","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","3","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","4","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","5","0","0","-1","0.5","0.12","0","-1","0","0"
"1","4","6","0","0","-1","0.4","0.12","0","-1","0","0"
"1","4","7","0","17","0","0.1","0.12","16.487","0.634","33.89","16.835"
"1","4","8","705","44","1","0","0.12","341.826","17.119","1168.705","1111.439"
"1","4","9","862","58","3","0","0.12","570.62","30.258","1962.905","1877.497"
"1","4","10","934","66","4","0.1","0.12","743.537","38.32","2465.406","2362.192"
"1","4","11","966","70","5","0.1","0.12","844.74","43.946","2723.996","2611.62"
"1","4","12","973","71","6","0.1","0.12","867.86","46.001","2771.579","2657.516"
"1","4","13","953","69","6","0.1","0.12","807.734","43.255","2617.041","2508.455"
"1","4","14","905","64","6","0.1","0.12","673.688","37.118","2250.71","2155.104"
"1","4","15","804","53","5","0.4","0.12","475.278","24.981","1659.62","1584.958"
"1","4","16","565","33","3","1","0.12","221.634","10.607","702.723","661.969"
"1","4","17","0","0","3","1.2","0.12","0","3","0","0"
"1","4","18","0","0","3","1.2","0.12","0","3","0","0"
"1","4","19","0","0","3","1.2","0.12","0","3","0","0"
"1","4","20","0","0","3","1.1","0.12","0","3","0","0"
"1","4","21","0","0","3","1.1","0.12","0","3","0","0"
"1","4","22","0","0","3","1.1","0.12","0","3","0","0"
"1","4","23","0","0","3","1.1","0.12","0","3","0","0"
"1","5","0","0","0","3","1","0.12","0","3","0","0"
"1","5","1","0","0","3","1","0.12","0","3","0","0"
"1","5","2","0","0","3","0.9","0.12","0","3","0","0"
"1","5","3","0","0","3","0.8","0.12","0","3","0","0"
"1","5","4","0","0","3","0.8","0.12","0","3","0","0"
"1","5","5","0","0","3","0.8","0.12","0","3","0","0"
"1","5","6","0","0","3","0.7","0.12","0","3","0","0"
"1","5","7","197","12","4","0.3","0.12","49.302","5.56","83.351","64.543"
"1","5","8","658","45","6","0","0.12","323.67","21.262","1087.916","1033.512"
"1","5","9","817","60","8","0","0.12","550.514","34.294","1862.699","1780.842"
"1","5","10","875","73","10","0.1","0.12","715.362","43.014","2326.231","2227.949"
"1","5","11","904","78","11","0.1","0.12","806.439","48.175","2555.224","2448.828"
"1","5","12","501","190","12","0.2","0.12","632.201","40.158","2054.682","1966.022"
"1","5","13","867","83","13","0.1","0.12","766.274","48.333","2429.496","2327.555"
"1","5","14","482","137","12","0.3","0.12","484.376","32.96","1630.618","1556.985"
"1","5","15","96","118","10","0.7","0.12","180.026","16.921","624.997","586.997"
"1","5","16","207","46","9","0.9","0.12","127.695","13.537","404.944","374.741"
