"PVWatts Hourly PV Performance Data"
"Requested Location","Asheville, NC"
"Location","Lat, Lng: 35.61, -82.54"
"Latitude (DD)","35.61"
"Longitude (DD)","-82.54"
"Elevation (m)","726"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","1","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","2","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","3","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","4","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","5","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","6","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","7","0","0","-5","0.2","0.1","0","-5","0","0"
"1","1","8","635","33","-2","0.3","0.1","285.93","8.616","1026.504","974.277"
"1","1","9","846","49","0","0.4","0.1","641.885","23.298","2273.557","2177.142"
"1","1","10","935","57","1","0.4","0.1","658.35","24.856","2303.966","2206.473"
"1","1","11","973","61","2","0.4","0.1","607.974","23.992","2120.157","2029.178"
"1","1","12","983","63","3","0.4","0.1","576.03","23.821","2003.961","1917.098"
"1","1","13","969","62","3","0.4","0.1","599.582","24.685","2084.069","1994.368"
"1","1","14","925","59","2","0.4","0.1","644.801","25.359","2249.933","2154.355"
"1","1","15","833","52","1","0.3","0.1","633.395","24.696","2230.765","2135.866"
"1","1","16","627","37","-1","0.3","0.1","318.892","10.869","1148.98","1092.413"
"1","1","17","0","0","-2","0.3","0.1","0","-2","0","0"
"1","1","18","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","19","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","20","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","21","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","22","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","23","0","0","-3","0.3","0.1","0","-3","0","0"
"1","2","0","0","0","-3","0.3","0.1","0","-3","0","0"
"1","2","1","0","0","-3","0.3","0.1","0","-3","0","0"
"1","2","2","0","0","-2","0.3","0.1","0","-2","0","0"
"1","2","3","0","0","-2","0.2","0.1","0","-2","0","0"
"1","2","4","0","0","-1","0.2","0.1","0","-1","0","0"
"1","2","5","0","0","0","0.3","0.1","0","0","0","0"
"1","2","6","0","0","0","0.3","0.1","0","0","0","0"
"1","2","7","0","0","0","0.4","0.1","0","0","0","0"
"1","2","8","0","16","1","0.5","0.1","11.879","1.413","38.326","21.114"
"1","2","9","0","46","2","0.5","0.1","34.329","3.203","118.08","98.042"
"1","2","10","0","48","3","0.5","0.1","35.845","4.254","122.196","102.011"
"1","2","11","259","219","4","0.5","0.1","361.461","16.654","1271.491","1210.583"
"1","2","12","408","208","5","0.5","0.1","421.558","19.741","1463.509","1395.796"
"1","2","13","204","229","6","0.4","0.1","334.634","18.057","1165.93","1108.762"
"1","2","14","259","183","6","0.4","0.1","341.625","18.344","1202.396","1143.936"
"1","2","15","202","138","5","0.3","0.1","280.952","15.485","1002.46","951.085"
"1","2","16","343","62","2","0.2","0.1","240.813","11.239","857.293","811.062"
"1","2","17","0","0","1","0.2","0.1","0","1","0","0"
"1","2","18","0","0","1","0.2","0.1","0","1","0","0"
"1","2","19","0","0","1","0.2","0.1","0","1","0","0"
"1","2","20","0","0","1","0.2","0.1","0","1","0","0"
"1","2","21","0","0","1","0.2","0.1","0","1","0","0"
"1","2","22","0","0","0","0.2","0.1","0","0","0","0"
"1","2","23","0","0","0","0.3","0.1","0","0","0","0"
"1","3","0","0","0","0","0.3","0.1","0","0","0","0"
"1","3","1","0","0","0","0.3","0.1","0","0","0","0"
"1","3","2","0","0","0","0.3","0.1","0","0","0","0"
"1","3","3","0","0","0","0.3","0.1","0","0","0","0"
"1","3","4","0","0","0","0.3","0.1","0","0","0","0"
"1","3","5","0","0","0","0.3","0.1","0","0","0","0"
"1","3","6","0","0","0","0.3","0.1","0","0","0","0"
"1","3","7","0","0","1","0.3","0.1","0","1","0","0"
"1","3","8","68","49","3","0.3","0.1","86.714","6.209","299.167","272.712"
"1","3","9","187","119","5","0.2","0.1","264.854","15.2","944.913","895.577"
"1","3","10","417","151","7","0.2","0.1","427.884","23.464","1489.928","1421.28"
"1","3","11","874","76","8","0.2","0.1","573.71","30.068","1952.151","1867.124"
"1","3","12","520","180","9","0.2","0.1","453.217","26.377","1541.174","1470.71"
"1","3","13","0","105","10","0.2","0.1","95.55","13.653","322.649","295.362"
"1","3","14","5","150","10","0.3","0.1","122.049","14.533","418.187","387.514"
"1","3","15","8","114","9","0.4","0.1","100.475","12.628","347.146","318.991"
"1","3","16","0","43","8","0.5","0.1","33.887","9.183","111.759","91.945"
"1","3","17","0","0","6","0.6","0.1","0","6","0","0"
"1","3","18","0","0","6","0.5","0.1","0","6","0","0"
"1","3","19","0","0","6","0.4","0.1","0","6","0","0"
"1","3","20","0","0","6","0.3","0.1","0","6","0","0"
"1","3","21","0","0","6","0.2","0.1","0","6","0","0"
"1","3","22","0","0","6","0.2","0.1","0","6","0","0"
"1","3","23","0","0","6","0.2","0.1","0","6","0","0"
"1","4","0","0","0","7","0.2","0.1","0","7","0","0"
"1","4","1","0","0","7","0.2","0.1","0","7","0","0"
"1","4","2","0","0","7","0.2","0.1","0","7","0","0"
"1","4","3","0","0","6","0.2","0.1","0","6","0","0"
"1","4","4","0","0","6","0.3","0.1","0","6","0","0"
"1","4","5","0","0","6","0.4","0.1","0","6","0","0"
"1","4","6","0","0","6","0.4","0.1","0","6","0","0"
"1","4","7","0","0","7","0.3","0.1","0","7","0","0"
"1","4","8","0","21","9","0.3","0.1","15.617","9.577","49.127","31.532"
"1","4","9","30","113","11","0.3","0.1","127.013","15.731","438.534","407.14"
"1","4","10","87","181","13","0.4","0.1","215.232","20.769","738.353","696.336"
"1","4","11","245","222","15","0.4","0.1","351.303","27.665","1183.545","1125.753"
"1","4","12","891","73","16","0.4","0.1","542.099","35.589","1798.841","1719.247"
"1","4","13","888","70","17","0.3","0.1","565.782","38.088","1863.991","1782.088"
"1","4","14","850","65","16","0.3","0.1","605.818","38.618","2005.343","1918.431"
"1","4","15","764","56","15","0.3","0.1","598.906","37.402","2006.048","1919.112"
"1","4","16","573","39","12","0.5","0.1","309.718","22.864","1068.261","1014.554"
"1","4","17","0","0","9","0.7","0.1","0","0","0","0"
"1","4","18","0","0","8","0.6","0.1","0","8","0","0"
"1","4","19","0","0","7","0.5","0.1","0","7","0","0"
"1","4","20","0","0","7","0.3","0.1","0","7","0","0"
"1","4","21","0","0","8","0.2","0.1","0","8","0","0"
"1","4","22","0","0","8","0.2","0.1","0","8","0","0"
"1","4","23","0","0","8","0.2","0.1","0","8","0","0"
"1","5","0","0","0","8","0.2","0.1","0","8","0","0"
"1","5","1","0","0","8","0.2","0.1","0","8","0","0"
