"PVWatts Hourly PV Performance Data"
"Requested Location","Charlotte, NC"
"Location","Lat, Lng: 35.21, -80.82"
"Latitude (DD)","35.21"
"Longitude (DD)","-80.82"
"Elevation (m)","217.16000366211"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-1","1.1","0.11","0","-1","0","0"
"1","1","1","0","0","-1","1","0.11","0","-1","0","0"
"1","1","2","0","0","-2","1","0.11","0","-2","0","0"
"1","1","3","0","0","-2","1","0.11","0","-2","0","0"
"1","1","4","0","0","-2","1","0.11","0","-2","0","0"
"1","1","5","0","0","-2","0.9","0.11","0","-2","0","0"
"1","1","6","0","0","-2","0.9","0.11","0","-2","0","0"
"1","1","7","0","0","-1","0.6","0.11","0","-1","0","0"
"1","1","8","556","41","1","0.3","0.11","305.262","12.35","1088.535","1034.109"
"1","1","9","753","61","3","0.3","0.11","597.582","25.353","2098.007","2007.812"
"1","1","10","842","71","6","0.6","0.11","614.155","26.996","2130.999","2039.635"
"1","1","11","879","77","8","0.7","0.11","570.79","26.948","1968.462","1882.858"
"1","1","12","888","79","9","0.8","0.11","547.744","26.685","1885.658","1802.987"
"1","1","13","872","76","9","0.9","0.11","571.912","26.999","1972.951","1887.187"
"1","1","14","825","70","10","0.8","0.11","610.709","29.766","2098.143","2007.943"
