"PVWatts Hourly PV Performance Data"
"Requested Location","Duram"
"Location","TABRIZ, IRAN"
"Latitude (DD)","38.05"
"Longitude (DD)","46.17"
"Elevation (m)","1361"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-3.7","0","0.2","0","-3.7","0","0"
"1","1","1","0","0","-3.7","0","0.2","0","-3.7","0","0"
"1","1","2","0","0","-3.7","0","0.2","0","-3.7","0","0"
"1","1","3","0","0","-4","1","0.2","0","-4","0","0"
"1","1","4","0","0","-3.3","0.8","0.2","0","-3.3","0","0"
"1","1","5","0","0","-2.9","0.8","0.2","0","-2.9","0","0"
"1","1","6","0","0","-2.3","1","0.2","0","-2.3","0","0"
"1","1","7","107","12","-2.1","2.2","0.2","46.023","-1.074","136.786","116.085"
"1","1","8","135","69","-1.6","2.9","0.2","159.125","1.691","585.633","549.027"
"1","1","9","154","125","-1","3","0.2","221.522","3.505","817.82","772.987"
"1","1","10","163","169","0.2","1.3","0.2","249.258","7.283","901.517","853.719"
"1","1","11","163","193","1.3","0.4","0.2","271.605","11.068","959.895","910.027"
"1","1","12","154","191","2.2","0","0.2","265.113","13.025","929.886","881.082"
"1","1","13","139","164","3","1.1","0.2","231.241","9.896","826.439","781.301"
"1","1","14","117","119","3.5","1.8","0.2","192.569","8.406","694.837","654.362"
"1","1","15","91","63","3.6","2","0.2","116.056","6.436","414.458","383.918"
"1","1","16","62","8","2.6","1.1","0.2","12.019","2.942","33.411","16.373"
"1","1","17","0","0","1.8","0.4","0.2","0","1.8","0","0"
"1","1","18","0","0","1.1","0","0.2","0","1.1","0","0"
"1","1","19","0","0","1","0","0.2","0","1","0","0"
"1","1","20","0","0","0.7","0","0.2","0","0.7","0","0"
"1","1","21","0","0","0.2","0","0.2","0","0.2","0","0"
"1","1","22","0","0","-0.9","0","0.2","0","-0.9","0","0"
"1","1","23","0","0","-1.8","0","0.2","0","-1.8","0","0"
"1","2","0","0","0","-2.6","0","0.2","0","-2.6","0","0"
"1","2","1","0","0","-2.7","0","0.2","0","-2.7","0","0"
"1","2","2","0","0","-3.2","0","0.2","0","-3.2","0","0"
"1","2","3","0","0","-3.6","0","0.2","0","-3.6","0","0"
"1","2","4","0","0","-4.5","0","0.2","0","-4.5","0","0"
"1","2","5","0","0","-4.9","0","0.2","0","-4.9","0","0"
"1","2","6","0","0","-5","0","0.2","0","-5","0","0"
"1","2","7","108","12","-4.2","0","0.2","45.985","-2.409","137.404","116.681"
"1","2","8","135","69","-3.3","0","0.2","159.179","3.234","582.5","546.005"
"1","2","9","154","125","-2.2","0","0.2","221.813","6.906","808.809","764.296"
"1","2","10","163","169","-0.4","0","0.2","249.513","9.817","894.051","846.517"
"1","2","11","162","193","1","0","0.2","271.31","12.077","955.313","905.608"
"1","2","12","154","192","2.2","0","0.2","266.321","13.074","933.952","885.005"
"1","2","13","139","165","3.2","1.3","0.2","232.353","9.802","830.646","785.358"
"1","2","14","117","119","3.7","2.2","0.2","192.427","8.221","694.711","654.241"
"1","2","15","91","64","3.6","2.5","0.2","117.591","6.21","420.628","389.869"
"1","2","16","62","9","1.8","1.3","0.2","13.155","2.156","36.834","19.675"
"1","2","17","0","0","0.3","0.4","0.2","0","0.3","0","0"
"1","2","18","0","0","-1","0","0.2","0","-1","0","0"
"1","2","19","0","0","-2.2","0.2","0.2","0","-2.2","0","0"
"1","2","20","0","0","-3.1","0.5","0.2","0","-3.1","0","0"
"1","2","21","0","0","-3.7","1","0.2","0","-3.7","0","0"
"1","2","22","0","0","-3.9","2.2","0.2","0","-3.9","0","0"
"1","2","23","0","0","-4","2.9","0.2","0","-4","0","0"
"1","3","0","0","0","-4.2","3","0.2","0","-4.2","0","0"
"1","3","1","0","0","-4.2","1.7","0.2","0","-4.2","0","0"
"1","3","2","0","0","-4.4","0.6","0.2","0","-4.4","0","0"
"1","3","3","0","0","-4.5","0","0.2","0","-4.5","0","0"
"1","3","4","0","0","-5","0","0.2","0","-5","0","0"
"1","3","5","0","0","-5.2","0","0.2","0","-5.2","0","0"
"1","3","6","0","0","-5","0","0.2","0","-5","0","0"
"1","3","7","108","12","-4","0","0.2","21.184","-3.173","62.065","44.011"
"1","3","8","136","69","-3","0","0.2","159.766","3.558","584.033","547.484"
"1","3","9","154","125","-1.8","0","0.2","222.109","7.319","808.68","764.171"
"1","3","10","163","170","0.3","0","0.2","250.764","10.568","896.082","848.476"
"1","3","11","162","194","1.8","0","0.2","272.52","12.926","956.718","906.964"
"1","3","12","154","192","2.7","0","0.2","266.554","13.583","932.925","884.014"
"1","3","13","139","166","2.5","1.1","0.2","233.484","9.462","835.676","790.21"
"1","3","14","117","120","2.2","1.8","0.2","193.394","7.127","701.034","660.34"
"1","3","15","91","64","1.8","2","0.2","117.775","4.679","423.964","393.087"
"1","3","16","62","9","1.1","0.9","0.2","13.513","1.504","38.005","20.804"
"1","3","17","0","0","0.5","0.2","0.2","0","0.5","0","0"
"1","3","18","0","0","0","0","0.2","0","0","0","0"
"1","3","19","0","0","-0.3","0.6","0.2","0","-0.3","0","0"
"1","3","20","0","0","-0.6","1.3","0.2","0","-0.6","0","0"
"1","3","21","0","0","-1","2","0.2","0","-1","0","0"
"1","3","22","0","0","-1.3","2.7","0.2","0","-1.3","0","0"
"1","3","23","0","0","-1.8","3.5","0.2","0","-1.8","0","0"
"1","4","0","0","0","-2.2","4","0.2","0","-2.2","0","0"
"1","4","1","0","0","-2.3","4.7","0.2","0","-2.3","0","0"
"1","4","2","0","0","-2.6","5","0.2","0","-2.6","0","0"
"1","4","3","0","0","-2.7","5","0.2","0","-2.7","0","0"
"1","4","4","0","0","-2.9","4.2","0.2","0","-2.9","0","0"
"1","4","5","0","0","-3","3.5","0.2","0","-3","0","0"
"1","4","6","0","0","-3","3","0.2","0","-3","0","0"
"1","4","7","108","12","-3","3.2","0.2","21.123","-2.605","61.728","43.687"
"1","4","8","136","70","-2.7","3.2","0.2","161.246","0.472","596.296","559.312"
"1","4","9","154","125","-2.6","3","0.2","222.41","1.923","825.861","780.743"
