"PVWatts Hourly PV Performance Data"
"Requested Location","Fayetteville, NC"
"Location","Lat, Lng: 35.05, -78.86"
"Latitude (DD)","35.05"
"Longitude (DD)","-78.86"
"Elevation (m)","36.240001678467"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.9","0.12","0","0","0","0"
"1","1","1","0","0","0","0.9","0.12","0","0","0","0"
"1","1","2","0","0","0","1","0.12","0","0","0","0"
"1","1","3","0","0","-1","1.1","0.12","0","-1","0","0"
"1","1","4","0","0","-2","1.5","0.12","0","-2","0","0"
"1","1","5","0","0","-2","2.1","0.12","0","-2","0","0"
"1","1","6","0","0","-2","2.7","0.12","0","-2","0","0"
"1","1","7","0","0","-1","3.5","0.12","0","0","0","0"
"1","1","8","580","50","0","4.3","0.12","357.676","5.963","1318.441","1255.869"
"1","1","9","780","69","0","4.5","0.12","621.309","10.122","2305.298","2207.758"
"1","1","10","870","78","2","4","0.12","630.06","12.987","2300.712","2203.335"
"1","1","11","909","84","3","3.6","0.12","591.268","13.925","2139.895","2048.215"
"1","1","12","919","85","4","3.3","0.12","574.548","15.122","2067.002","1977.906"
"1","1","13","906","81","5","3.1","0.12","608.436","17.179","2180.16","2087.054"
"1","1","14","860","73","5","2.8","0.12","646.918","18.648","2320.52","2222.441"
"1","1","15","755","60","4","2.1","0.12","604.546","18.538","2176.187","2083.221"
"1","1","16","501","36","1","1.3","0.12","231.176","7.518","809.829","765.28"
"1","1","17","0","0","0","1.2","0.12","0","0","0","0"
