"PVWatts Hourly PV Performance Data"
"Requested Location","raleigh"
"Location","Lat, Lng: 35.77, -78.66"
"Latitude (DD)","35.77"
"Longitude (DD)","-78.66"
"Elevation (m)","106.55999755859"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.6","0.14","0","0","0","0"
"1","1","1","0","0","0","0.6","0.14","0","0","0","0"
"1","1","2","0","0","-1","0.4","0.14","0","-1","0","0"
"1","1","3","0","0","-2","0.3","0.14","0","-2","0","0"
"1","1","4","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","5","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","6","0","0","-4","0.3","0.14","0","-4","0","0"
"1","1","7","0","0","-3","0.4","0.14","0","0","0","0"
"1","1","8","610","47","-2","0.6","0.14","360.248","10.279","1306.454","1244.307"
"1","1","9","798","66","0","0.6","0.14","625.205","21.404","2227.503","2132.719"
"1","1","10","880","77","1","0.5","0.14","628.279","23.101","2211.672","2117.45"
"1","1","11","916","83","2","0.5","0.14","584.646","22.537","2050.739","1962.219"
"1","1","12","925","83","3","0.5","0.14","566.026","22.876","1979.898","1893.889"
"1","1","13","910","79","4","0.5","0.14","601.837","25.151","2094.517","2004.446"
"1","1","14","860","72","3","0.5","0.14","641.354","25.577","2242.986","2147.654"
"1","1","15","752","59","1","0.4","0.14","597.402","22.673","2116.959","2026.093"
"1","1","16","491","34","-1","0.3","0.14","215.022","6.909","745.102","702.846"
"1","1","17","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","18","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","19","0","0","-4","0.3","0.14","0","-4","0","0"
"1","1","20","0","0","-4","0.2","0.14","0","-4","0","0"
"1","1","21","0","0","-5","0.2","0.14","0","-5","0","0"
"1","1","22","0","0","-4","0.2","0.14","0","-4","0","0"
"1","1","23","0","0","-4","0.2","0.14","0","-4","0","0"
"1","2","0","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","1","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","2","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","3","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","4","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","5","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","6","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","7","0","0","-3","0.3","0.14","0","0","0","0"
"1","2","8","0","49","-2","0.4","0.14","39.432","-0.583","136.313","115.629"
"1","2","9","366","114","-1","0.5","0.14","385.618","12.568","1405.14","1339.496"
"1","2","10","155","192","0","0.5","0.14","273.328","9.585","987.219","936.384"
"1","2","11","8","176","0","0.4","0.14","168.95","6.077","600.633","563.496"
"1","2","12","95","233","0","0.4","0.14","281.543","10.12","997.557","946.355"
"1","2","13","13","178","0","0.4","0.14","165.519","5.959","590.584","553.803"
"1","2","14","2","139","0","0.4","0.14","113.192","4.082","404.264","374.085"
"1","2","15","39","106","0","0.3","0.14","128.459","4.785","463.026","430.765"
