"PVWatts Hourly PV Performance Data"
"Requested Location","Williamston, NC"
"Location","Lat, Lng: 35.85, -77.06"
"Latitude (DD)","35.85"
"Longitude (DD)","-77.06"
"Elevation (m)","14.800000190735"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.9","0.14","0","0","0","0"
"1","1","1","0","0","0","1","0.14","0","0","0","0"
"1","1","2","0","0","0","1.1","0.14","0","0","0","0"
"1","1","3","0","0","0","1.4","0.14","0","0","0","0"
"1","1","4","0","0","-1","1.8","0.14","0","-1","0","0"
"1","1","5","0","0","-2","2.3","0.14","0","-2","0","0"
"1","1","6","0","0","-3","2.7","0.14","0","-3","0","0"
"1","1","7","117","12","-2","3.2","0.14","17.484","-1.71","37.118","19.948"
"1","1","8","606","52","-1","3.8","0.14","387.698","5.949","1435.467","1368.749"
"1","1","9","794","69","0","3.8","0.14","620.927","11.166","2295.075","2197.897"
"1","1","10","882","77","1","3.6","0.14","620.088","12.474","2268.331","2172.101"
"1","1","11","918","82","2","3.4","0.14","578.214","13.023","2100.263","2009.989"
"1","1","12","923","83","3","3.2","0.14","566.45","14.147","2047.283","1958.886"
"1","1","13","904","79","4","3.1","0.14","605.119","16.117","2179.679","2086.59"
"1","1","14","849","71","3","3","0.14","639.394","16.04","2318.467","2220.46"
"1","1","15","730","57","2","2.2","0.14","555.202","15.085","2019.437","1932.026"
"1","1","16","439","30","0","1.5","0.14","176.111","4.648","576.748","540.457"
"1","1","17","0","0","-1","1.5","0.14","0","-1","0","0"
"1","1","18","0","0","-2","1.5","0.14","0","-2","0","0"
"1","1","19","0","0","-3","1.4","0.14","0","-3","0","0"
"1","1","20","0","0","-3","1.3","0.14","0","-3","0","0"
"1","1","21","0","0","-4","1.3","0.14","0","-4","0","0"
"1","1","22","0","0","-4","1.3","0.14","0","-4","0","0"
"1","1","23","0","0","-4","1.4","0.14","0","-4","0","0"
"1","2","0","0","0","-4","1.5","0.14","0","-4","0","0"
"1","2","1","0","0","-3","1.8","0.14","0","-3","0","0"
"1","2","2","0","0","-3","2","0.14","0","-3","0","0"
"1","2","3","0","0","-3","2","0.14","0","-3","0","0"
"1","2","4","0","0","-3","2","0.14","0","-3","0","0"
"1","2","5","0","0","-3","2","0.14","0","-3","0","0"
"1","2","6","0","0","-3","2.1","0.14","0","-3","0","0"
"1","2","7","0","8","-2","2.3","0.14","6.29","-1.879","12.653","0"
"1","2","8","5","69","-1","2.6","0.14","63.545","0.379","223.927","200.138"
"1","2","9","66","138","0","2.7","0.14","171.872","3.68","628.619","590.49"
"1","2","10","109","195","0","2.7","0.14","247.66","5.295","904.45","856.547"
"1","2","11","125","229","0","2.6","0.14","292.168","6.345","1058.297","1004.943"
"1","2","12","31","206","1","2.4","0.14","220.346","5.953","786.668","742.939"
"1","2","13","6","166","1","2.3","0.14","148.123","4.4","530.203","495.562"
