"PVWatts Hourly PV Performance Data"
"Requested Location","Asheville, NC"
"Location","Lat, Lng: 35.61, -82.54"
"Latitude (DD)","35.61"
"Longitude (DD)","-82.54"
"Elevation (m)","726"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","1","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","2","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","3","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","4","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","5","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","6","0","0","-6","0.2","0.1","0","-6","0","0"
"1","1","7","0","0","-5","0.2","0.1","0","-5","0","0"
"1","1","8","635","33","-2","0.3","0.1","255.451","7.275","848.758","802.829"
"1","1","9","846","49","0","0.4","0.1","497.808","18.061","1792.497","1713.128"
"1","1","10","935","57","1","0.4","0.1","686.586","25.877","2392.661","2292.025"
"1","1","11","973","61","2","0.4","0.1","805.408","31.137","2733.481","2620.768"
"1","1","12","983","63","3","0.4","0.1","848.449","33.676","2843.843","2727.22"
"1","1","13","969","62","3","0.4","0.1","810.664","32.323","2737.245","2624.4"
"1","1","14","925","59","2","0.4","0.1","695.402","27.19","2409.085","2307.867"
"1","1","15","833","52","1","0.3","0.1","511.206","20.12","1827.203","1746.604"
"1","1","16","627","37","-1","0.3","0.1","272.628","8.974","925.528","876.878"
"1","1","17","0","0","-2","0.3","0.1","0","-2","0","0"
"1","1","18","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","19","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","20","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","21","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","22","0","0","-3","0.3","0.1","0","-3","0","0"
"1","1","23","0","0","-3","0.3","0.1","0","-3","0","0"
"1","2","0","0","0","-3","0.3","0.1","0","-3","0","0"
"1","2","1","0","0","-3","0.3","0.1","0","-3","0","0"
"1","2","2","0","0","-2","0.3","0.1","0","-2","0","0"
"1","2","3","0","0","-2","0.2","0.1","0","-2","0","0"
"1","2","4","0","0","-1","0.2","0.1","0","-1","0","0"
"1","2","5","0","0","0","0.3","0.1","0","0","0","0"
"1","2","6","0","0","0","0.3","0.1","0","0","0","0"
"1","2","7","0","0","0","0.4","0.1","0","0","0","0"
"1","2","8","0","16","1","0.5","0.1","14.802","1.514","48.006","30.451"
"1","2","9","0","46","2","0.5","0.1","42.646","3.493","147.238","126.167"
"1","2","10","0","48","3","0.5","0.1","44.513","4.556","152.307","131.056"
"1","2","11","259","219","4","0.5","0.1","443.491","19.526","1549.019","1478.277"
"1","2","12","408","208","5","0.5","0.1","556.201","24.479","1914.522","1830.829"
"1","2","13","204","229","6","0.4","0.1","405.168","20.601","1404.442","1338.823"
"1","2","14","259","183","6","0.4","0.1","383","19.83","1340.339","1276.991"
"1","2","15","202","138","5","0.3","0.1","260.576","14.715","926.974","878.274"
"1","2","16","343","62","2","0.2","0.1","202.04","9.653","687.117","646.916"
"1","2","17","0","0","1","0.2","0.1","0","1","0","0"
"1","2","18","0","0","1","0.2","0.1","0","1","0","0"
"1","2","19","0","0","1","0.2","0.1","0","1","0","0"
"1","2","20","0","0","1","0.2","0.1","0","1","0","0"
"1","2","21","0","0","1","0.2","0.1","0","1","0","0"
"1","2","22","0","0","0","0.2","0.1","0","0","0","0"
"1","2","23","0","0","0","0.3","0.1","0","0","0","0"
"1","3","0","0","0","0","0.3","0.1","0","0","0","0"
"1","3","1","0","0","0","0.3","0.1","0","0","0","0"
"1","3","2","0","0","0","0.3","0.1","0","0","0","0"
"1","3","3","0","0","0","0.3","0.1","0","0","0","0"
"1","3","4","0","0","0","0.3","0.1","0","0","0","0"
"1","3","5","0","0","0","0.3","0.1","0","0","0","0"
"1","3","6","0","0","0","0.3","0.1","0","0","0","0"
"1","3","7","0","0","1","0.3","0.1","0","1","0","0"
"1","3","8","68","49","3","0.3","0.1","77.911","5.859","259.922","234.857"
"1","3","9","187","119","5","0.2","0.1","233.332","13.976","829.894","784.633"
"1","3","10","417","151","7","0.2","0.1","455.236","24.508","1577.458","1505.708"
"1","3","11","874","76","8","0.2","0.1","755.157","37.05","2502.826","2398.287"
"1","3","12","520","180","9","0.2","0.1","624.055","32.956","2084.979","1995.246"
"1","3","13","0","105","10","0.2","0.1","98.533","13.766","332.602","304.962"
"1","3","14","5","150","10","0.3","0.1","149.272","15.539","511.148","477.182"
"1","3","15","8","114","9","0.4","0.1","115.967","13.182","400.252","370.215"
"1","3","16","0","43","8","0.5","0.1","40.582","9.415","134.213","113.603"
"1","3","17","0","0","6","0.6","0.1","0","6","0","0"
"1","3","18","0","0","6","0.5","0.1","0","6","0","0"
"1","3","19","0","0","6","0.4","0.1","0","6","0","0"
"1","3","20","0","0","6","0.3","0.1","0","6","0","0"
"1","3","21","0","0","6","0.2","0.1","0","6","0","0"
"1","3","22","0","0","6","0.2","0.1","0","6","0","0"
"1","3","23","0","0","6","0.2","0.1","0","6","0","0"
"1","4","0","0","0","7","0.2","0.1","0","7","0","0"
"1","4","1","0","0","7","0.2","0.1","0","7","0","0"
"1","4","2","0","0","7","0.2","0.1","0","7","0","0"
"1","4","3","0","0","6","0.2","0.1","0","6","0","0"
"1","4","4","0","0","6","0.3","0.1","0","6","0","0"
"1","4","5","0","0","6","0.4","0.1","0","6","0","0"
"1","4","6","0","0","6","0.4","0.1","0","6","0","0"
"1","4","7","0","0","7","0.3","0.1","0","7","0","0"
"1","4","8","0","21","9","0.3","0.1","19.441","9.717","61.492","43.458"
"1","4","9","30","113","11","0.3","0.1","132.477","15.929","455.601","423.603"
"1","4","10","87","181","13","0.4","0.1","246.441","21.887","842.184","796.488"
"1","4","11","245","222","15","0.4","0.1","426.312","30.37","1426.875","1360.461"
"1","4","12","891","73","16","0.4","0.1","790.858","44.587","2537.297","2431.536"
"1","4","13","888","70","17","0.3","0.1","762.652","45.431","2442.829","2340.416"
"1","4","14","850","65","16","0.3","0.1","656.728","40.517","2157.437","2065.137"
"1","4","15","764","56","15","0.3","0.1","487.039","33.212","1653.285","1578.848"
"1","4","16","573","39","12","0.5","0.1","259.535","20.962","847.104","801.233"
"1","4","17","0","0","9","0.7","0.1","0","0","0","0"
"1","4","18","0","0","8","0.6","0.1","0","8","0","0"
"1","4","19","0","0","7","0.5","0.1","0","7","0","0"
"1","4","20","0","0","7","0.3","0.1","0","7","0","0"
"1","4","21","0","0","8","0.2","0.1","0","8","0","0"
"1","4","22","0","0","8","0.2","0.1","0","8","0","0"
"1","4","23","0","0","8","0.2","0.1","0","8","0","0"
"1","5","0","0","0","8","0.2","0.1","0","8","0","0"
"1","5","1","0","0","8","0.2","0.1","0","8","0","0"
