"PVWatts Hourly PV Performance Data"
"Requested Location","Duram"
"Location","TABRIZ, IRAN"
"Latitude (DD)","38.05"
"Longitude (DD)","46.17"
"Elevation (m)","1361"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-3.7","0","0.2","0","-3.7","0","0"
"1","1","1","0","0","-3.7","0","0.2","0","-3.7","0","0"
"1","1","2","0","0","-3.7","0","0.2","0","-3.7","0","0"
"1","1","3","0","0","-4","1","0.2","0","-4","0","0"
"1","1","4","0","0","-3.3","0.8","0.2","0","-3.3","0","0"
"1","1","5","0","0","-2.9","0.8","0.2","0","-2.9","0","0"
"1","1","6","0","0","-2.3","1","0.2","0","-2.3","0","0"
"1","1","7","107","12","-2.1","2.2","0.2","30.24","-1.447","80.758","62.042"
"1","1","8","135","69","-1.6","2.9","0.2","138.72","1.256","500.108","466.533"
"1","1","9","154","125","-1","3","0.2","225.982","3.592","831.697","786.372"
"1","1","10","163","169","0.2","1.3","0.2","297.725","8.657","1074.471","1020.544"
"1","1","11","163","193","1.3","0.4","0.2","333.654","13.316","1181.31","1123.598"
"1","1","12","154","191","2.2","0","0.2","324.399","15.463","1138.492","1082.296"
"1","1","13","139","164","3","1.1","0.2","274.845","11.192","980.311","929.72"
"1","1","14","117","119","3.5","1.8","0.2","196.997","8.515","708.508","667.548"
"1","1","15","91","63","3.6","2","0.2","106.835","6.198","374.044","344.936"
"1","1","16","62","8","2.6","1.1","0.2","20.837","3.159","50.329","32.692"
"1","1","17","0","0","1.8","0.4","0.2","0","1.8","0","0"
"1","1","18","0","0","1.1","0","0.2","0","1.1","0","0"
"1","1","19","0","0","1","0","0.2","0","1","0","0"
"1","1","20","0","0","0.7","0","0.2","0","0.7","0","0"
"1","1","21","0","0","0.2","0","0.2","0","0.2","0","0"
"1","1","22","0","0","-0.9","0","0.2","0","-0.9","0","0"
"1","1","23","0","0","-1.8","0","0.2","0","-1.8","0","0"
"1","2","0","0","0","-2.6","0","0.2","0","-2.6","0","0"
"1","2","1","0","0","-2.7","0","0.2","0","-2.7","0","0"
"1","2","2","0","0","-3.2","0","0.2","0","-3.2","0","0"
"1","2","3","0","0","-3.6","0","0.2","0","-3.6","0","0"
"1","2","4","0","0","-4.5","0","0.2","0","-4.5","0","0"
"1","2","5","0","0","-4.9","0","0.2","0","-4.9","0","0"
"1","2","6","0","0","-5","0","0.2","0","-5","0","0"
"1","2","7","108","12","-4.2","0","0.2","30.19","-3.061","81.087","62.359"
"1","2","8","135","69","-3.3","0","0.2","138.592","2.362","497.502","464.019"
"1","2","9","154","125","-2.2","0","0.2","225.892","7.066","820.862","775.922"
"1","2","10","163","169","-0.4","0","0.2","297.689","11.786","1062.021","1008.535"
"1","2","11","162","193","1","0","0.2","332.931","14.612","1172.909","1115.494"
"1","2","12","154","192","2.2","0","0.2","325.653","15.513","1142.602","1086.261"
"1","2","13","139","165","3.2","1.3","0.2","276.129","11.042","985.376","934.606"
"1","2","14","117","119","3.7","2.2","0.2","197.101","8.327","709.315","668.326"
"1","2","15","91","64","3.6","2.5","0.2","108.1","5.988","379.228","349.936"
"1","2","16","62","9","1.8","1.3","0.2","21.923","2.362","53.737","35.978"
"1","2","17","0","0","0.3","0.4","0.2","0","0.3","0","0"
"1","2","18","0","0","-1","0","0.2","0","-1","0","0"
"1","2","19","0","0","-2.2","0.2","0.2","0","-2.2","0","0"
"1","2","20","0","0","-3.1","0.5","0.2","0","-3.1","0","0"
"1","2","21","0","0","-3.7","1","0.2","0","-3.7","0","0"
"1","2","22","0","0","-3.9","2.2","0.2","0","-3.9","0","0"
"1","2","23","0","0","-4","2.9","0.2","0","-4","0","0"
"1","3","0","0","0","-4.2","3","0.2","0","-4.2","0","0"
"1","3","1","0","0","-4.2","1.7","0.2","0","-4.2","0","0"
"1","3","2","0","0","-4.4","0.6","0.2","0","-4.4","0","0"
"1","3","3","0","0","-4.5","0","0.2","0","-4.5","0","0"
"1","3","4","0","0","-5","0","0.2","0","-5","0","0"
"1","3","5","0","0","-5.2","0","0.2","0","-5.2","0","0"
"1","3","6","0","0","-5","0","0.2","0","-5","0","0"
"1","3","7","108","12","-4","0","0.2","23.164","-3.135","60.014","42.033"
"1","3","8","136","69","-3","0","0.2","138.88","2.673","497.919","464.421"
"1","3","9","154","125","-1.8","0","0.2","225.805","7.462","819.322","774.436"
"1","3","10","163","170","0.3","0","0.2","298.832","12.532","1063.142","1009.617"
"1","3","11","162","194","1.8","0","0.2","334.135","15.46","1173.375","1115.944"
"1","3","12","154","192","2.7","0","0.2","325.739","16.016","1140.62","1084.349"
"1","3","13","139","166","2.5","1.1","0.2","277.415","10.768","990.895","939.929"
"1","3","14","117","120","2.2","1.8","0.2","198.385","7.25","716.816","675.562"
"1","3","15","91","64","1.8","2","0.2","108.147","4.431","381.954","352.566"
"1","3","16","62","9","1.1","0.9","0.2","22.059","1.725","54.349","36.569"
"1","3","17","0","0","0.5","0.2","0.2","0","0.5","0","0"
"1","3","18","0","0","0","0","0.2","0","0","0","0"
"1","3","19","0","0","-0.3","0.6","0.2","0","-0.3","0","0"
"1","3","20","0","0","-0.6","1.3","0.2","0","-0.6","0","0"
"1","3","21","0","0","-1","2","0.2","0","-1","0","0"
"1","3","22","0","0","-1.3","2.7","0.2","0","-1.3","0","0"
"1","3","23","0","0","-1.8","3.5","0.2","0","-1.8","0","0"
"1","4","0","0","0","-2.2","4","0.2","0","-2.2","0","0"
"1","4","1","0","0","-2.3","4.7","0.2","0","-2.3","0","0"
"1","4","2","0","0","-2.6","5","0.2","0","-2.6","0","0"
"1","4","3","0","0","-2.7","5","0.2","0","-2.7","0","0"
"1","4","4","0","0","-2.9","4.2","0.2","0","-2.9","0","0"
"1","4","5","0","0","-3","3.5","0.2","0","-3","0","0"
"1","4","6","0","0","-3","3","0.2","0","-3","0","0"
"1","4","7","108","12","-3","3.2","0.2","23.103","-2.586","59.674","41.705"
"1","4","8","136","70","-2.7","3.2","0.2","139.982","0.04","506.891","473.075"
"1","4","9","154","125","-2.6","3","0.2","225.723","1.987","835.485","790.026"
