"PVWatts Hourly PV Performance Data"
"Requested Location","Fayetteville, NC"
"Location","Lat, Lng: 35.05, -78.86"
"Latitude (DD)","35.05"
"Longitude (DD)","-78.86"
"Elevation (m)","36.240001678467"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.9","0.12","0","0","0","0"
"1","1","1","0","0","0","0.9","0.12","0","0","0","0"
"1","1","2","0","0","0","1","0.12","0","0","0","0"
"1","1","3","0","0","-1","1.1","0.12","0","-1","0","0"
"1","1","4","0","0","-2","1.5","0.12","0","-2","0","0"
"1","1","5","0","0","-2","2.1","0.12","0","-2","0","0"
"1","1","6","0","0","-2","2.7","0.12","0","-2","0","0"
"1","1","7","0","0","-1","3.5","0.12","0","0","0","0"
"1","1","8","580","50","0","4.3","0.12","289.824","4.775","1022.378","970.297"
"1","1","9","780","69","0","4.5","0.12","525.138","8.553","1955.597","1870.448"
"1","1","10","870","78","2","4","0.12","702.294","14.246","2551.852","2445.576"
"1","1","11","909","84","3","3.6","0.12","808.186","17.936","2882.446","2764.455"
"1","1","12","919","85","4","3.3","0.12","834.821","20.165","2949.158","2828.803"
"1","1","13","906","81","5","3.1","0.12","782.034","20.655","2766.285","2652.411"
"1","1","14","860","73","5","2.8","0.12","652.268","18.759","2337.327","2238.652"
"1","1","15","755","60","4","2.1","0.12","454.507","14.914","1645.045","1570.9"
"1","1","16","501","36","1","1.3","0.12","206.489","6.677","662.778","623.439"
"1","1","17","0","0","0","1.2","0.12","0","0","0","0"
