"PVWatts Hourly PV Performance Data"
"Requested Location","Greensboro, NC"
"Location","Lat, Lng: 36.05, -79.78"
"Latitude (DD)","36.05"
"Longitude (DD)","-79.78"
"Elevation (m)","241.83999633789"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","1","1.8","0.13","0","1","0","0"
"1","1","1","0","0","1","2.1","0.13","0","1","0","0"
"1","1","2","0","0","1","2.5","0.13","0","1","0","0"
"1","1","3","0","0","2","2.9","0.13","0","2","0","0"
"1","1","4","0","0","2","2.9","0.13","0","2","0","0"
"1","1","5","0","0","2","2.8","0.13","0","2","0","0"
"1","1","6","0","0","2","2.8","0.13","0","2","0","0"
"1","1","7","0","0","2","2.9","0.13","0","0","0","0"
"1","1","8","518","48","4","3.2","0.13","253.039","8.895","863.342","816.896"
"1","1","9","784","63","6","4","0.13","505.638","14.829","1841.281","1760.183"
"1","1","10","909","66","8","4.6","0.13","695.563","19.167","2485.907","2381.967"
"1","1","11","958","68","9","4.7","0.13","808.699","21.798","2847.025","2730.289"
"1","1","12","970","67","9","4.8","0.13","838.559","22.095","2944.024","2823.852"
"1","1","13","956","64","8","4.9","0.13","788.335","20.161","2795.467","2680.558"
"1","1","14","908","59","7","4.9","0.13","660.73","17.207","2382.575","2282.297"
"1","1","15","807","50","6","4.5","0.13","470.409","13.655","1712.81","1636.264"
"1","1","16","563","32","4","3.9","0.13","221.192","7.773","710.723","669.685"
"1","1","17","0","0","2","3.7","0.13","0","2","0","0"
"1","1","18","0","0","1","3.6","0.13","0","1","0","0"
"1","1","19","0","0","0","3.3","0.13","0","0","0","0"
"1","1","20","0","0","0","3","0.13","0","0","0","0"
"1","1","21","0","0","-1","2.9","0.13","0","-1","0","0"
"1","1","22","0","0","-1","2.9","0.13","0","-1","0","0"
"1","1","23","0","0","-2","3.1","0.13","0","-2","0","0"
"1","2","0","0","0","-2","3.4","0.13","0","-2","0","0"
"1","2","1","0","0","-2","3.7","0.13","0","-2","0","0"
"1","2","2","0","0","-3","3.9","0.13","0","-3","0","0"
"1","2","3","0","0","-3","4","0.13","0","-3","0","0"
"1","2","4","0","0","-4","4","0.13","0","-4","0","0"
"1","2","5","0","0","-4","3.9","0.13","0","-4","0","0"
"1","2","6","0","0","-5","3.9","0.13","0","-5","0","0"
"1","2","7","0","0","-4","4.2","0.13","0","-4","0","0"
"1","2","8","533","50","-3","4.7","0.13","259.949","1.041","912.705","864.51"
"1","2","9","678","87","-3","5","0.13","477.132","4.279","1799.471","1719.854"
"1","2","10","756","109","-2","5","0.13","648.763","7.884","2408.057","2306.875"
"1","2","11","809","116","-1","5","0.13","760.594","10.574","2782.511","2668.061"
"1","2","12","445","192","0","5.1","0.13","576.316","8.645","2109.183","2018.592"
"1","2","13","875","91","0","5.4","0.13","766.337","11.108","2803.639","2688.441"
"1","2","14","841","78","0","5.4","0.13","645.329","9.368","2390.025","2289.483"
"1","2","15","741","63","0","5.1","0.13","453.319","6.826","1690.221","1614.475"
"1","2","16","492","38","-2","4.4","0.13","209.145","1.334","693.141","652.726"
"1","2","17","0","0","-3","4","0.13","0","-3","0","0"
"1","2","18","0","0","-3","3.9","0.13","0","-3","0","0"
"1","2","19","0","0","-4","3.8","0.13","0","-4","0","0"
"1","2","20","0","0","-4","3.6","0.13","0","-4","0","0"
"1","2","21","0","0","-5","3.5","0.13","0","-5","0","0"
"1","2","22","0","0","-5","3.5","0.13","0","-5","0","0"
"1","2","23","0","0","-5","3.4","0.13","0","-5","0","0"
"1","3","0","0","0","-5","3.4","0.13","0","-5","0","0"
"1","3","1","0","0","-5","3.4","0.13","0","-5","0","0"
"1","3","2","0","0","-5","3.3","0.13","0","-5","0","0"
"1","3","3","0","0","-5","3.2","0.13","0","-5","0","0"
"1","3","4","0","0","-6","2.9","0.13","0","-6","0","0"
"1","3","5","0","0","-6","2.5","0.13","0","-6","0","0"
"1","3","6","0","0","-6","2.3","0.13","0","-6","0","0"
"1","3","7","0","0","-5","2.6","0.13","0","-5","0","0"
"1","3","8","622","43","-4","3.1","0.13","281.199","1.524","984.404","933.668"
"1","3","9","823","61","-2","3.1","0.13","523.696","8.507","1951.704","1866.693"
"1","3","10","915","69","-1","2.8","0.13","703.203","13.829","2561.552","2454.932"
"1","3","11","956","73","0","2.4","0.13","814.122","18.43","2900.453","2781.824"
"1","3","12","965","74","0","2.2","0.13","844.938","19.864","2989.144","2867.372"
"1","3","13","944","73","0","1.9","0.13","792.893","19.807","2813.449","2697.903"
"1","3","14","898","66","0","1.6","0.13","665.887","17.758","2395.006","2294.287"
"1","3","15","797","55","0","0.9","0.13","474.443","14.96","1721.083","1644.244"
"1","3","16","561","34","-1","0.4","0.13","225.092","6.883","732.142","690.345"
"1","3","17","0","0","-2","0.3","0.13","0","-2","0","0"
"1","3","18","0","0","-2","0.3","0.13","0","-2","0","0"
"1","3","19","0","0","-2","0.4","0.13","0","-2","0","0"
"1","3","20","0","0","-2","0.4","0.13","0","-2","0","0"
"1","3","21","0","0","-2","0.4","0.13","0","-2","0","0"
"1","3","22","0","0","-3","0.4","0.13","0","-3","0","0"
"1","3","23","0","0","-3","0.5","0.13","0","-3","0","0"
"1","4","0","0","0","-3","0.5","0.13","0","-3","0","0"
"1","4","1","0","0","-3","0.6","0.13","0","-3","0","0"
"1","4","2","0","0","-4","0.7","0.13","0","-4","0","0"
"1","4","3","0","0","-4","0.7","0.13","0","-4","0","0"
"1","4","4","0","0","-4","0.8","0.13","0","-4","0","0"
"1","4","5","0","0","-4","0.9","0.13","0","-4","0","0"
"1","4","6","0","0","-4","1","0.13","0","-4","0","0"
"1","4","7","0","0","-3","1.6","0.13","0","-3","0","0"
"1","4","8","597","41","-1","2.2","0.13","269.847","5.228","930.939","882.098"
"1","4","9","795","59","0","2.7","0.13","506.112","10.874","1869.873","1787.761"
"1","4","10","883","68","2","2.9","0.13","680.577","16.105","2458.954","2355.97"
"1","4","11","923","73","3","3","0.13","789.749","19.072","2807.407","2692.075"
"1","4","12","932","74","4","3.1","0.13","820.234","20.41","2896.387","2777.902"
"1","4","13","917","72","5","3","0.13","773.052","20.735","2733.84","2621.115"
"1","4","14","869","66","4","2.8","0.13","653.04","17.774","2347.818","2248.771"
"1","4","15","768","55","2","2","0.13","461.527","13.314","1684.522","1608.978"
"1","4","16","535","35","0","1.4","0.13","219.082","5.913","717.92","676.627"
"1","4","17","0","0","-1","1.4","0.13","0","-1","0","0"
"1","4","18","0","0","-1","1.5","0.13","0","-1","0","0"
"1","4","19","0","0","-2","1.5","0.13","0","-2","0","0"
"1","4","20","0","0","-2","1.4","0.13","0","-2","0","0"
"1","4","21","0","0","-2","1.4","0.13","0","-2","0","0"
"1","4","22","0","0","-2","1.4","0.13","0","-2","0","0"
"1","4","23","0","0","-2","1.4","0.13","0","-2","0","0"
"1","5","0","0","0","-2","1.3","0.13","0","-2","0","0"
"1","5","1","0","0","-2","1.2","0.13","0","-2","0","0"
"1","5","2","0","0","-2","1.1","0.13","0","-2","0","0"
"1","5","3","0","0","-2","1.1","0.13","0","-2","0","0"
"1","5","4","0","0","-2","1.2","0.13","0","-2","0","0"
"1","5","5","0","0","-3","1.4","0.13","0","-3","0","0"
"1","5","6","0","0","-3","1.5","0.13","0","-3","0","0"
"1","5","7","0","0","-2","1.9","0.13","0","-2","0","0"
"1","5","8","181","58","0","2.2","0.13","134.846","3.125","466.173","433.801"
"1","5","9","132","129","1","2.3","0.13","212.63","5.9","775.846","732.5"
"1","5","10","200","185","3","2.5","0.13","337.037","10.473","1218.213","1159.193"
"1","5","11","200","224","4","2.6","0.13","396.602","12.623","1418.586","1352.465"
"1","5","12","644","135","4","2.6","0.13","674.752","18.702","2391.088","2290.508"
"1","5","13","506","164","4","2.4","0.13","575.461","17.008","2050.816","1962.293"
"1","5","14","794","81","3","2.1","0.13","622.829","17.957","2235.289","2140.229"
"1","5","15","198","114","2","1.6","0.13","232.383","8.183","844.31","798.538"
"1","5","16","170","49","0","1.3","0.13","115.348","3.213","384.79","355.302"
"1","5","17","0","0","0","1.4","0.13","0","0","0","0"
"1","5","18","0","0","1","1.5","0.13","0","1","0","0"
"1","5","19","0","0","1","1.6","0.13","0","1","0","0"
"1","5","20","0","0","1","1.6","0.13","0","1","0","0"
"1","5","21","0","0","1","1.6","0.13","0","1","0","0"
"1","5","22","0","0","0","1.6","0.13","0","0","0","0"
"1","5","23","0","0","0","1.6","0.13","0","0","0","0"
"1","6","0","0","0","0","1.6","0.13","0","0","0","0"
"1","6","1","0","0","0","1.6","0.13","0","0","0","0"
"1","6","2","0","0","0","1.5","0.13","0","0","0","0"
"1","6","3","0","0","0","1.4","0.13","0","0","0","0"
"1","6","4","0","0","0","1.2","0.13","0","0","0","0"
"1","6","5","0","0","0","1.2","0.13","0","0","0","0"
"1","6","6","0","0","0","1.2","0.13","0","0","0","0"
"1","6","7","0","0","1","1.6","0.13","0","1","0","0"
"1","6","8","0","21","3","2.2","0.13","19.452","3.453","63.758","45.644"
"1","6","9","27","121","6","2.4","0.13","139.83","9.156","494.483","461.108"
"1","6","10","802","76","9","2.6","0.13","640.199","22.984","2253.505","2157.8"
"1","6","11","845","81","12","3.2","0.13","746.804","26.7","2579.555","2472.297"
"1","6","12","855","83","13","3.5","0.13","778.473","27.604","2675.091","2564.448"
"1","6","13","840","80","14","3.3","0.13","733.159","28.202","2519.797","2414.656"
"1","6","14","789","74","13","2.6","0.13","613.331","26.4","2133.293","2041.848"
"1","6","15","220","114","11","1.7","0.13","243.875","17.351","858.002","811.745"
"1","6","16","138","49","7","1.4","0.13","105.14","9.866","342.905","314.901"
"1","6","17","0","0","5","1.5","0.13","0","5","0","0"
"1","6","18","0","0","5","1.5","0.13","0","5","0","0"
"1","6","19","0","0","5","1.4","0.13","0","5","0","0"
"1","6","20","0","0","4","1.4","0.13","0","4","0","0"
"1","6","21","0","0","4","1.3","0.13","0","4","0","0"
"1","6","22","0","0","3","1.2","0.13","0","3","0","0"
"1","6","23","0","0","3","1.1","0.13","0","3","0","0"
"1","7","0","0","0","4","1","0.13","0","4","0","0"
"1","7","1","0","0","4","0.9","0.13","0","4","0","0"
"1","7","2","0","0","4","0.9","0.13","0","4","0","0"
"1","7","3","0","0","4","1","0.13","0","4","0","0"
"1","7","4","0","0","4","1.1","0.13","0","4","0","0"
"1","7","5","0","0","4","1.1","0.13","0","4","0","0"
"1","7","6","0","0","4","1","0.13","0","4","0","0"
"1","7","7","0","0","4","1.2","0.13","0","4","0","0"
"1","7","8","502","45","5","1.4","0.13","241.729","11.61","813.557","768.876"
"1","7","9","708","67","7","1.5","0.13","470.081","19.826","1678.075","1602.76"
"1","7","10","817","74","10","1.8","0.13","648.328","26.551","2251.946","2156.296"
"1","7","11","866","76","13","2.2","0.13","752.167","30.687","2559.659","2453.106"
"1","7","12","880","77","15","2.5","0.13","786.45","32.466","2653.386","2543.512"
"1","7","13","861","76","16","2.8","0.13","745.687","31.703","2528.725","2423.268"
"1","7","14","817","69","16","2.7","0.13","627.613","29.47","2158.095","2065.771"
"1","7","15","721","58","14","1.9","0.13","445.976","25.163","1558.866","1487.775"
"1","7","16","496","37","11","1.3","0.13","215.065","16.964","684.088","643.994"
"1","7","17","0","0","9","1.3","0.13","0","9","0","0"
"1","7","18","0","0","8","1.4","0.13","0","8","0","0"
"1","7","19","0","0","8","1.4","0.13","0","8","0","0"
"1","7","20","0","0","7","1.4","0.13","0","7","0","0"
"1","7","21","0","0","7","1.3","0.13","0","7","0","0"
"1","7","22","0","0","7","1.2","0.13","0","7","0","0"
"1","7","23","0","0","6","1.1","0.13","0","6","0","0"
"1","8","0","0","0","6","1.1","0.13","0","6","0","0"
"1","8","1","0","0","6","1.1","0.13","0","6","0","0"
"1","8","2","0","0","5","1.1","0.13","0","5","0","0"
"1","8","3","0","0","5","1.1","0.13","0","5","0","0"
"1","8","4","0","0","5","1.1","0.13","0","5","0","0"
"1","8","5","0","0","5","1.1","0.13","0","5","0","0"
"1","8","6","0","0","5","1.2","0.13","0","5","0","0"
"1","8","7","0","0","6","1.6","0.13","0","6","0","0"
"1","8","8","0","31","9","2.1","0.13","28.747","9.683","93.259","74.1"
"1","8","9","0","102","11","2.3","0.13","98.663","13.268","338.085","310.251"
"1","8","10","16","162","14","3.1","0.13","169.599","17.379","580.587","544.16"
"1","8","11","88","225","17","4","0.13","302.574","22.245","1033.002","980.544"
"1","8","12","21","201","18","4.3","0.13","213.715","21.546","720.3","678.923"
"1","8","13","75","218","18","4.1","0.13","284.267","22.857","966.537","916.435"
"1","8","14","0","100","17","3.4","0.13","94.388","18.791","314.16","287.173"
"1","8","15","125","121","16","2.2","0.13","197.159","20.631","678.427","638.534"
"1","8","16","38","50","14","1.7","0.13","64.864","15.664","207.168","183.973"
"1","8","17","0","0","13","1.9","0.13","0","13","0","0"
"1","8","18","0","0","13","2.3","0.13","0","13","0","0"
"1","8","19","0","0","12","2.6","0.13","0","12","0","0"
"1","8","20","0","0","11","2.7","0.13","0","11","0","0"
"1","8","21","0","0","11","2.8","0.13","0","11","0","0"
"1","8","22","0","0","11","3.3","0.13","0","11","0","0"
"1","8","23","0","0","12","3.9","0.13","0","12","0","0"
"1","9","0","0","0","12","4.1","0.13","0","12","0","0"
"1","9","1","0","0","11","4","0.13","0","11","0","0"
"1","9","2","0","0","11","4","0.13","0","11","0","0"
"1","9","3","0","0","12","4.4","0.13","0","12","0","0"
"1","9","4","0","0","12","4.3","0.13","0","12","0","0"
"1","9","5","0","0","12","4.3","0.13","0","12","0","0"
"1","9","6","0","0","12","4.5","0.13","0","12","0","0"
"1","9","7","0","0","13","4.1","0.13","0","13","0","0"
"1","9","8","84","61","14","3.3","0.13","98.453","15.884","322.801","295.509"
"1","9","9","0","109","15","3","0.13","106.149","17.152","359.043","330.467"
"1","9","10","0","76","16","3.2","0.13","70.626","17.383","233.452","209.326"
"1","9","11","382","200","16","3.1","0.13","518.103","26.344","1775.009","1696.259"
"1","9","12","146","243","17","2.8","0.13","380.897","24.984","1294.028","1232.321"
