"PVWatts Hourly PV Performance Data"
"Requested Location","Williamston, NC"
"Location","Lat, Lng: 35.85, -77.06"
"Latitude (DD)","35.85"
"Longitude (DD)","-77.06"
"Elevation (m)","14.800000190735"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.9","0.14","0","0","0","0"
"1","1","1","0","0","0","1","0.14","0","0","0","0"
"1","1","2","0","0","0","1.1","0.14","0","0","0","0"
"1","1","3","0","0","0","1.4","0.14","0","0","0","0"
"1","1","4","0","0","-1","1.8","0.14","0","-1","0","0"
"1","1","5","0","0","-2","2.3","0.14","0","-2","0","0"
"1","1","6","0","0","-3","2.7","0.14","0","-3","0","0"
"1","1","7","117","12","-2","3.2","0.14","19.465","-1.698","36.672","19.518"
"1","1","8","606","52","-1","3.8","0.14","312.125","4.539","1114.738","1059.385"
"1","1","9","794","69","0","3.8","0.14","541.902","9.742","2009.832","1922.761"
"1","1","10","882","77","1","3.6","0.14","713.548","14.203","2593.286","2485.541"
"1","1","11","918","82","2","3.4","0.14","810.451","17.453","2897.192","2778.679"
"1","1","12","923","83","3","3.2","0.14","820.782","19.157","2914.121","2795.008"
"1","1","13","904","79","4","3.1","0.14","762.84","19.276","2716.125","2604.027"
"1","1","14","849","71","3","3","0.14","623.034","15.704","2260.093","2164.154"
"1","1","15","730","57","2","2.2","0.14","417.798","11.813","1513.335","1443.857"
"1","1","16","439","30","0","1.5","0.14","167.111","4.257","489.847","456.635"
"1","1","17","0","0","-1","1.5","0.14","0","-1","0","0"
"1","1","18","0","0","-2","1.5","0.14","0","-2","0","0"
"1","1","19","0","0","-3","1.4","0.14","0","-3","0","0"
"1","1","20","0","0","-3","1.3","0.14","0","-3","0","0"
"1","1","21","0","0","-4","1.3","0.14","0","-4","0","0"
"1","1","22","0","0","-4","1.3","0.14","0","-4","0","0"
"1","1","23","0","0","-4","1.4","0.14","0","-4","0","0"
"1","2","0","0","0","-4","1.5","0.14","0","-4","0","0"
"1","2","1","0","0","-3","1.8","0.14","0","-3","0","0"
"1","2","2","0","0","-3","2","0.14","0","-3","0","0"
"1","2","3","0","0","-3","2","0.14","0","-3","0","0"
"1","2","4","0","0","-3","2","0.14","0","-3","0","0"
"1","2","5","0","0","-3","2","0.14","0","-3","0","0"
"1","2","6","0","0","-3","2.1","0.14","0","-3","0","0"
"1","2","7","0","8","-2","2.3","0.14","7.61","-1.853","15.367","0"
"1","2","8","5","69","-1","2.6","0.14","70.063","0.518","246.355","221.771"
"1","2","9","66","138","0","2.7","0.14","181.455","3.881","661.491","622.197"
"1","2","10","109","195","0","2.7","0.14","289.111","6.177","1053.592","1000.405"
"1","2","11","125","229","0","2.6","0.14","346.638","7.532","1256.864","1196.474"
"1","2","12","31","206","1","2.4","0.14","237.444","6.344","852.541","806.478"
"1","2","13","6","166","1","2.3","0.14","166.035","4.809","594.027","557.124"
