"PVWatts Hourly PV Performance Data"
"Requested Location","raleigh"
"Location","Lat, Lng: 35.77, -78.66"
"Latitude (DD)","35.77"
"Longitude (DD)","-78.66"
"Elevation (m)","106.55999755859"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.6","0.14","0","0","0","0"
"1","1","1","0","0","0","0.6","0.14","0","0","0","0"
"1","1","2","0","0","-1","0.4","0.14","0","-1","0","0"
"1","1","3","0","0","-2","0.3","0.14","0","-2","0","0"
"1","1","4","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","5","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","6","0","0","-4","0.3","0.14","0","-4","0","0"
"1","1","7","0","0","-3","0.4","0.14","0","0","0","0"
"1","1","8","610","47","-2","0.6","0.14","295.905","7.959","1028.745","976.438"
"1","1","9","798","66","0","0.6","0.14","528.232","18.079","1901.282","1818.058"
"1","1","10","880","77","1","0.5","0.14","703.126","25.732","2450.261","2347.584"
"1","1","11","916","83","2","0.5","0.14","806.387","30.331","2747.518","2634.308"
"1","1","12","925","83","3","0.5","0.14","824.618","31.965","2789.068","2674.386"
"1","1","13","910","79","4","0.5","0.14","775.303","31.25","2636.953","2527.661"
"1","1","14","860","72","3","0.5","0.14","643.718","25.656","2249.133","2153.583"
"1","1","15","752","59","1","0.4","0.14","445.202","17.119","1593.615","1521.293"
"1","1","16","491","34","-1","0.3","0.14","197.051","6.05","621.995","584.101"
"1","1","17","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","18","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","19","0","0","-4","0.3","0.14","0","-4","0","0"
"1","1","20","0","0","-4","0.2","0.14","0","-4","0","0"
"1","1","21","0","0","-5","0.2","0.14","0","-5","0","0"
"1","1","22","0","0","-4","0.2","0.14","0","-4","0","0"
"1","1","23","0","0","-4","0.2","0.14","0","-4","0","0"
"1","2","0","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","1","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","2","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","3","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","4","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","5","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","6","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","7","0","0","-3","0.3","0.14","0","0","0","0"
"1","2","8","0","49","-2","0.4","0.14","46.578","-0.327","161.304","139.734"
"1","2","9","366","114","-1","0.5","0.14","341.652","11.012","1245.898","1185.897"
"1","2","10","155","192","0","0.5","0.14","316.277","11.084","1136.953","1080.812"
"1","2","11","8","176","0","0.4","0.14","177.519","6.385","631.289","593.065"
"1","2","12","95","233","0","0.4","0.14","318.656","11.474","1134.093","1078.053"
"1","2","13","13","178","0","0.4","0.14","183.788","6.614","654.961","615.899"
"1","2","14","2","139","0","0.4","0.14","136.658","4.924","487.833","454.693"
"1","2","15","39","106","0","0.3","0.14","129.475","4.816","464.1","431.801"
