"PVWatts Hourly PV Performance Data"
"Requested Location","charlotte"
"Location","Lat, Lng: 35.21, -80.82"
"Latitude (DD)","35.21"
"Longitude (DD)","-80.82"
"Elevation (m)","217.16000366211"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-1","1.1","0.11","0","-1","0","0"
"1","1","1","0","0","-1","1","0.11","0","-1","0","0"
"1","1","2","0","0","-2","1","0.11","0","-2","0","0"
"1","1","3","0","0","-2","1","0.11","0","-2","0","0"
"1","1","4","0","0","-2","1","0.11","0","-2","0","0"
"1","1","5","0","0","-2","0.9","0.11","0","-2","0","0"
"1","1","6","0","0","-2","0.9","0.11","0","-2","0","0"
"1","1","7","0","0","-1","0.6","0.11","0","-1","0","0"
"1","1","8","556","41","1","0.3","0.11","256.819","11.899","861.285","814.912"
"1","1","9","753","61","3","0.3","0.11","486.061","24.082","1708.977","1632.566"
"1","1","10","842","71","6","0.6","0.11","663.532","32.308","2254.647","2158.902"
"1","1","11","879","77","8","0.7","0.11","766.173","37.506","2538.144","2432.353"
"1","1","12","888","79","9","0.8","0.11","799.344","38.947","2627.975","2519.001"
"1","1","13","872","76","9","0.9","0.11","754.009","36.528","2508.671","2403.925"
"1","1","14","825","70","10","0.8","0.11","640.414","34.038","2162.594","2070.11"
