"PVWatts Hourly PV Performance Data"
"Requested Location","raleigh"
"Location","Lat, Lng: 35.77, -78.66"
"Latitude (DD)","35.77"
"Longitude (DD)","-78.66"
"Elevation (m)","106.55999755859"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.6","0.14","0","0","0","0"
"1","1","1","0","0","0","0.6","0.14","0","0","0","0"
"1","1","2","0","0","-1","0.4","0.14","0","-1","0","0"
"1","1","3","0","0","-2","0.3","0.14","0","-2","0","0"
"1","1","4","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","5","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","6","0","0","-4","0.3","0.14","0","-4","0","0"
"1","1","7","0","0","-3","0.4","0.14","0","0","0","0"
"1","1","8","610","47","-2","0.6","0.14","297.524","9.615","1028.005","975.725"
"1","1","9","798","66","0","0.6","0.14","530.434","21.056","1887.598","1804.859"
"1","1","10","880","77","1","0.5","0.14","705.724","29.792","2420.805","2319.172"
"1","1","11","916","83","2","0.5","0.14","809.213","34.976","2707.06","2595.284"
"1","1","12","925","83","3","0.5","0.14","827.355","36.708","2746.093","2632.933"
"1","1","13","910","79","4","0.5","0.14","778.012","35.717","2599.666","2491.695"
"1","1","14","860","72","3","0.5","0.14","646.153","29.378","2225.088","2130.39"
"1","1","15","752","59","1","0.4","0.14","447.187","19.779","1584.435","1512.437"
"1","1","16","491","34","-1","0.3","0.14","198.212","7.227","623.102","585.168"
"1","1","17","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","18","0","0","-3","0.3","0.14","0","-3","0","0"
"1","1","19","0","0","-4","0.3","0.14","0","-4","0","0"
"1","1","20","0","0","-4","0.2","0.14","0","-4","0","0"
"1","1","21","0","0","-5","0.2","0.14","0","-5","0","0"
"1","1","22","0","0","-4","0.2","0.14","0","-4","0","0"
"1","1","23","0","0","-4","0.2","0.14","0","-4","0","0"
"1","2","0","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","1","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","2","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","3","0","0","-3","0.2","0.14","0","-3","0","0"
"1","2","4","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","5","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","6","0","0","-3","0.3","0.14","0","-3","0","0"
"1","2","7","0","0","-3","0.3","0.14","0","0","0","0"
"1","2","8","0","49","-2","0.4","0.14","47.521","-0.021","164.454","142.772"
"1","2","9","366","114","-1","0.5","0.14","344.663","13.055","1247.202","1187.155"
"1","2","10","155","192","0","0.5","0.14","320.616","13.032","1144.223","1087.824"
"1","2","11","8","176","0","0.4","0.14","180.994","7.551","641.049","602.48"
"1","2","12","95","233","0","0.4","0.14","323.659","13.518","1143.245","1086.881"
"1","2","13","13","178","0","0.4","0.14","187.321","7.819","664.748","625.339"
"1","2","14","2","139","0","0.4","0.14","139.4","5.826","496.119","462.686"
"1","2","15","39","106","0","0.3","0.14","131.725","5.683","470.738","438.204"
