Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1124127,-,-,-,34.41,-77.7,-5,14,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2015,1,1,0,30,0,0,0,-2,2,1020,74,324.1,2.5,0.117
2015,1,1,1,30,0,0,0,-1,2,1020,75.53,321.40000000000003,2.6,0.117
2015,1,1,2,30,0,0,0,-1,2,1020,76.67,323.70000000000005,2.7,0.117
2015,1,1,3,30,0,0,0,-1,2,1020,77.46000000000001,329,2.7,0.117
2015,1,1,4,30,0,0,0,-1,1,1020,83.27,332.40000000000003,2.5,0.117
2015,1,1,5,30,0,0,0,-1,1,1020,82.77,330.5,2.4000000000000004,0.117
2015,1,1,6,30,0,0,0,-1,1,1020,82.84,332.3,2.3000000000000003,0.117
2015,1,1,7,30,173,12,16,-1,3,1020,72.87,337,2.1,0.117
2015,1,1,8,30,617,48,173,0,4,1020,71,339.3,1.8,0.117
2015,1,1,9,30,784,64,340,-1,6,1020,60.53,339.1,1.5,0.117
2015,1,1,10,30,861,73,470,0,8,1020,53.19,327.20000000000005,1.5,0.117
2015,1,1,11,30,893,78,546,0,9,1020,50.69,310.8,1.6,0.117
2015,1,1,12,30,896,79,560,0,9,1020,52.9,287.3,1.8,0.117
2015,1,1,13,30,864,79,510,0,10,1020,51.370000000000005,263.3,2,0.117
2015,1,1,14,30,809,72,404,1,10,1020,54.160000000000004,245.5,2.4000000000000004,0.117
2015,1,1,15,30,694,59,252,2,9,1020,63.190000000000005,236.5,2.4000000000000004,0.117
2015,1,1,16,30,429,33,82,4,8,1020,78.01,227.9,2.4000000000000004,0.117
2015,1,1,17,30,0,0,0,3,7,1020,78.46000000000001,223.4,2.6,0.117
2015,1,1,18,30,0,0,0,3,7,1020,79.64,226.5,2.9000000000000004,0.117
2015,1,1,19,30,0,0,0,3,7,1020,80.8,234.20000000000002,3,0.117
2015,1,1,20,30,0,0,0,4,7,1020,81.96000000000001,239.3,3.1,0.117
2015,1,1,21,30,0,0,0,4,7,1020,83.72,244.70000000000002,3.2,0.117
2015,1,1,22,30,0,0,0,4,7,1020,85.3,250.20000000000002,3.2,0.117
2015,1,1,23,30,0,0,0,4,7,1020,86.57000000000001,251,3.2,0.117
2015,1,2,0,30,0,0,0,5,7,1020,88.14,253.9,3.2,0.117
2015,1,2,1,30,0,0,0,5,7,1020,89.83,256.3,3.1,0.117
2015,1,2,2,30,0,0,0,5,7,1020,91.62,260.3,3,0.117
2015,1,2,3,30,0,0,0,5,7,1020,93.10000000000001,259.6,2.9000000000000004,0.117
2015,1,2,4,30,0,0,0,6,7,1020,94.24,266.1,2.7,0.117
2015,1,2,5,30,0,0,0,6,7,1020,94.45,272.1,2.5,0.117
2015,1,2,6,30,0,0,0,6,7,1020,94.73,276.2,2.3000000000000003,0.117
2015,1,2,7,30,0,8,8,6,7,1020,95.38,275.3,2.1,0.117
2015,1,2,8,30,379,62,139,6,9,1020,86.85000000000001,274,1.9000000000000001,0.117
2015,1,2,9,30,218,143,220,7,10,1020,81.87,273,1.4000000000000001,0.117
2015,1,2,10,30,409,171,360,7,12,1020,74.64,257.3,1,0.117
