,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SiteID,2327841,Site Timezone,-5,Data Timezone,0,Longitude,-75.1303100586,Latitude,35.4215545654
Year,Month,Day,Hour,Minute,surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa),relative humidity at 2m (%),surface precipitation rate (mm/h),wind speed at 10m (m/s),wind speed at 40m (m/s),wind speed at 60m (m/s),wind speed at 80m (m/s),wind speed at 100m (m/s),wind speed at 120m (m/s),wind speed at 140m (m/s),wind speed at 160m (m/s),wind speed at 200m (m/s),wind direction at 10m (deg),wind direction at 40m (deg),wind direction at 60m (deg),wind direction at 80m (deg),wind direction at 100m (deg),wind direction at 120m (deg),wind direction at 140m (deg),wind direction at 160m (deg),wind direction at 200m (deg),air temperature at 10m (C),air temperature at 40m (C),air temperature at 60m (C),air temperature at 80m (C),air temperature at 100m (C),air temperature at 120m (C),air temperature at 140m (C),air temperature at 160m (C),air temperature at 200m (C),density - DEPRECATED,power - DEPRECATED
2010,1,1,0,30,101800,100590,99420,84.84,0,4.47,4.7,4.75,4.7700000000000005,4.78,4.79,4.8,4.8,4.8100000000000005,246.24,245.63,245.24,244.85,244.48000000000002,244.12,243.74,243.39000000000001,242.6,16.09,15.67,15.47,15.26,15.06,14.870000000000001,14.67,14.49,14.1,,
2010,1,1,1,30,101750,100550,99380,86.45,0,4.08,4.29,4.34,4.37,4.39,4.41,4.43,4.45,4.48,235.81,234.91,234.35,233.81,233.3,232.81,232.29,231.8,230.74,16.12,15.700000000000001,15.51,15.3,15.1,14.92,14.72,14.530000000000001,14.15,,
2010,1,1,2,30,101730,100520,99350,87.48,0,4.22,4.45,4.51,4.55,4.59,4.61,4.64,4.66,4.72,229.83,229.01,228.4,227.79,227.21,226.67000000000002,226.08,225.52,224.26,16.31,15.9,15.700000000000001,15.5,15.3,15.120000000000001,14.92,14.74,14.35,,
2010,1,1,3,30,101680,100480,99310,83.43,0,5.34,5.69,5.78,5.84,5.88,5.91,5.94,5.96,6,239.55,238.82,238.28,237.76,237.3,236.85,236.4,235.98000000000002,235.11,17.05,16.65,16.46,16.25,16.05,15.860000000000001,15.66,15.47,15.08,,
2010,1,1,4,30,101600,100400,99240,81.16,0,5.62,6.01,6.13,6.21,6.26,6.3100000000000005,6.34,6.37,6.42,244.22,243.33,242.74,242.20000000000002,241.72,241.28,240.84,240.45000000000002,239.66,17.27,16.88,16.69,16.48,16.28,16.080000000000002,15.89,15.700000000000001,15.31,,
2010,1,1,5,30,101560,100360,99190,83.86,0,7.59,8.17,8.34,8.43,8.49,8.540000000000001,8.57,8.6,8.65,261.05,260.27,259.73,259.21,258.75,258.3,257.84000000000003,257.4,256.43,17.05,16.62,16.42,16.21,16.02,15.83,15.63,15.450000000000001,15.06,,
2010,1,1,6,30,101490,100290,99130,90.42,1.5,6.26,6.45,6.44,6.38,6.3100000000000005,6.23,6.16,6.09,5.96,303.69,302.57,301.34000000000003,299.93,298.54,297.17,295.59000000000003,294.07,290.48,16.22,15.76,15.56,15.36,15.17,15,14.81,14.64,14.280000000000001,,
2010,1,1,7,30,101450,100250,99080,93.29,2.9000000000000004,5.51,5.8,5.83,5.83,5.82,5.8,5.78,5.76,5.7,301.79,300.89,300.39,299.84000000000003,299.28000000000003,298.72,298.01,297.32,295.43,15.55,15.08,14.88,14.67,14.48,14.3,14.1,13.92,13.56,,
2010,1,1,8,30,101390,100180,99010,92.25,0.7000000000000001,6.94,7.3,7.36,7.37,7.3500000000000005,7.33,7.29,7.25,7.13,305.69,305.41,305.16,304.92,304.68,304.45,304.15000000000003,303.88,303.19,15.23,14.71,14.5,14.290000000000001,14.09,13.91,13.71,13.530000000000001,13.17,,
2010,1,1,9,30,101340,100130,98960,91.68,0,6.13,6.4,6.43,6.42,6.390000000000001,6.36,6.3100000000000005,6.26,6.140000000000001,313.33,313.1,312.88,312.65000000000003,312.42,312.2,311.92,311.64,310.93,15,14.49,14.280000000000001,14.07,13.870000000000001,13.68,13.48,13.3,12.92,,
2010,1,1,10,30,101330,100130,98950,91.45,3.7,7.34,7.7700000000000005,7.8500000000000005,7.88,7.88,7.88,7.86,7.84,7.79,311.2,310.90000000000003,310.7,310.48,310.26,310.05,309.8,309.55,308.94,14.450000000000001,13.9,13.67,13.46,13.26,13.07,12.870000000000001,12.68,12.31,,
2010,1,1,11,30,101350,100140,98960,90.5,0.4,6.65,7.01,7.08,7.11,7.11,7.11,7.1000000000000005,7.08,7.04,311.24,311.09000000000003,310.95,310.8,310.63,310.47,310.29,310.1,309.66,14.16,13.620000000000001,13.39,13.17,12.97,12.77,12.57,12.38,12,,
2010,1,1,12,30,101290,100080,98910,87.74,0,6.87,7.2700000000000005,7.37,7.41,7.43,7.45,7.46,7.46,7.47,311.25,311.04,311.01,310.97,310.93,310.90000000000003,310.85,310.8,310.68,14.02,13.46,13.24,13.02,12.81,12.620000000000001,12.41,12.23,11.84,,
2010,1,1,13,30,101290,100080,98910,90,0.4,7.26,7.640000000000001,7.72,7.74,7.74,7.73,7.71,7.69,7.63,322.47,322.33,322.18,321.99,321.8,321.61,321.39,321.18,320.71,13.85,13.27,13.040000000000001,12.82,12.61,12.42,12.21,12.030000000000001,11.64,,
2010,1,1,14,30,101230,100010,98840,88.15,1.1,8.57,9.08,9.16,9.17,9.15,9.13,9.08,9.040000000000001,8.92,333.37,333.31,333.25,333.2,333.13,333.07,332.98,332.90000000000003,332.68,13.33,12.71,12.47,12.24,12.030000000000001,11.84,11.63,11.44,11.05,,
2010,1,1,15,30,101210,100000,98820,88.96000000000001,0.4,7.96,8.42,8.5,8.51,8.5,8.47,8.43,8.38,8.28,329.40000000000003,329.31,329.26,329.19,329.11,329.04,328.95,328.86,328.66,13.1,12.47,12.23,12,11.790000000000001,11.6,11.39,11.200000000000001,10.82,,
