SiteID,2303140,Site Timezone,-5,Data Timezone,-5,Longitude,-75.4959716797,Latitude,36.2408599854
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2009,1,1,0,30,19.34,19.47,332.34000000000003,332.34000000000003,0.16,-0.08,102180,100900,99650
2009,1,1,1,30,17.41,17.51,330.15000000000003,330.21,-0.06,-0.29,102280,101000,99750
2009,1,1,2,30,17.59,17.69,329.23,329.33,-0.25,-0.48,102340,101060,99810
2009,1,1,3,30,16.86,16.96,330.68,330.68,-0.34,-0.58,102410,101120,99870
2009,1,1,4,30,17.17,17.26,331.04,331.09000000000003,-0.41000000000000003,-0.64,102480,101190,99940
2009,1,1,5,30,16.69,16.79,336.15000000000003,336.13,-0.38,-0.62,102580,101290,100040
2009,1,1,6,30,16.43,16.53,336.64,336.63,-0.37,-0.6,102650,101360,100100
2009,1,1,7,30,15.89,15.98,338.52,338.48,-0.41000000000000003,-0.64,102690,101400,100150
2009,1,1,8,30,15.450000000000001,15.52,339.52,339.5,-0.38,-0.61,102740,101450,100200
2009,1,1,9,30,14.77,14.84,341.64,341.64,-0.31,-0.53,102780,101490,100230
2009,1,1,10,30,13.84,13.9,342.79,342.81,-0.15,-0.37,102780,101490,100230
2009,1,1,11,30,12.42,12.46,344.66,344.69,0.18,-0.05,102770,101480,100230
2009,1,1,12,30,11.63,11.67,345.59000000000003,345.67,0.47000000000000003,0.26,102760,101480,100220
2009,1,1,13,30,10.71,10.74,347.98,348.03000000000003,0.81,0.59,102770,101490,100240
2009,1,1,14,30,9.91,9.93,346.95,346.99,1.09,0.88,102760,101470,100230
2009,1,1,15,30,9.11,9.13,347.02,347.06,1.43,1.22,102740,101450,100210
2009,1,1,16,30,8.2,8.2,347.41,347.43,1.77,1.56,102730,101450,100210
2009,1,1,17,30,7.38,7.390000000000001,346.6,346.65000000000003,2,1.79,102750,101470,100230
