SiteID,2212964,Site Timezone,-5,Data Timezone,-5,Longitude,-78.162689209,Latitude,34.2804489136
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2010,1,1,0,30,3.96,4.23,297.26,293.03000000000003,10.59,10.57,101380,100160,98980
2010,1,1,1,30,5.46,6.09,291.42,290.40000000000003,10.64,10.74,101380,100150,98970
2010,1,1,2,30,7.42,8.040000000000001,300.16,299.82,10.700000000000001,10.73,101310,100090,98900
2010,1,1,3,30,7.6000000000000005,8.26,300.43,301.12,9.84,9.72,101300,100070,98880
2010,1,1,4,30,6.78,7.32,300.92,302.29,9.040000000000001,8.89,101310,100080,98890
2010,1,1,5,30,6.01,6.5,297.55,298.17,8.61,8.48,101330,100100,98900
2010,1,1,6,30,6.48,7.23,299.94,301.33,7.86,7.76,101340,100100,98900
2010,1,1,7,30,5.12,5.57,321.63,321.12,7.01,6.87,101320,100080,98880
2010,1,1,8,30,4.3100000000000005,4.64,320.04,320.44,7.18,7.04,101310,100070,98870
2010,1,1,9,30,4.92,5.04,327.59000000000003,327.93,7.26,7.08,101290,100050,98850
2010,1,1,10,30,6.13,6.24,337.16,337.48,8.33,8.14,101240,100010,98810
2010,1,1,11,30,6.69,6.83,342.62,342.83,9.19,9,101180,99960,98770
2010,1,1,12,30,6.5600000000000005,6.7,341.05,341.27,9.71,9.51,101190,99970,98780
2010,1,1,13,30,7.04,7.21,335.59000000000003,335.75,10,9.8,101180,99960,98770
2010,1,1,14,30,8.07,8.26,335.57,335.71,10.24,10.040000000000001,101110,99890,98700
2010,1,1,15,30,7.8500000000000005,8.05,334.49,334.66,10.09,9.9,101100,99880,98690
2010,1,1,16,30,7.92,8.42,327.21,327.91,9.56,9.4,101160,99930,98740
2010,1,1,17,30,10.5,11.33,334.06,334.7,8.82,8.700000000000001,101220,99980,98790
2010,1,1,18,30,11.790000000000001,12.71,333.35,334.81,7.72,7.69,101250,100010,98810
