SiteID,2208376,Site Timezone,-5,Data Timezone,-5,Longitude,-77.9873657227,Latitude,35.2429504395
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2007,1,1,0,30,12.72,13.82,170.35,171.12,17.7,17.69,101360,100170,99020
2007,1,1,1,30,12.55,13.540000000000001,174.4,174.69,17.88,17.830000000000002,101310,100120,98970
2007,1,1,2,30,12.84,13.92,173.72,174.21,17.72,17.69,101250,100060,98910
2007,1,1,3,30,12.92,13.950000000000001,175.56,176.23,17.78,17.73,101190,100000,98860
2007,1,1,4,30,12.91,14,175.85,176.52,17.77,17.740000000000002,101140,99950,98800
2007,1,1,5,30,13.24,14.33,176.96,177.56,17.73,17.71,101100,99910,98760
2007,1,1,6,30,12.700000000000001,13.77,177.87,178.56,17.8,17.76,101050,99870,98720
2007,1,1,7,30,12.76,13.69,181.8,182.12,18.14,18.06,101000,99820,98670
2007,1,1,8,30,12.32,13.22,182.9,183.71,18.25,18.17,100960,99780,98640
2007,1,1,9,30,12.47,13.14,200.29,200.72,18.68,18.57,100970,99790,98650
2007,1,1,10,30,13.280000000000001,13.92,208.64000000000001,208.93,19.11,18.97,100890,99710,98570
2007,1,1,11,30,13.1,13.82,211.65,211.61,19.44,19.28,100800,99620,98480
2007,1,1,12,30,14.9,15.450000000000001,209.1,209.34,19.01,18.85,100740,99570,98430
2007,1,1,13,30,15.530000000000001,16.21,204.96,205.51,18.14,18.03,100720,99540,98400
2007,1,1,14,30,10.61,11.18,229.24,229.64000000000001,18.12,17.990000000000002,100680,99500,98360
2007,1,1,15,30,10.05,10.67,231.29,231.64000000000001,17.62,17.490000000000002,100650,99470,98320
2007,1,1,16,30,11.21,11.91,229.78,230.19,17.77,17.66,100680,99490,98350
2007,1,1,17,30,11.07,11.67,218.6,220.05,15.88,15.780000000000001,100700,99510,98360
2007,1,1,18,30,12.530000000000001,13.6,231.13,231.62,15.33,15.31,100750,99560,98400
2007,1,1,19,30,12.72,13.93,242.51,243.57,14.85,14.9,100820,99620,98460
2007,1,1,20,30,12.65,13.65,249.62,250.9,14.48,14.52,100880,99680,98520
2007,1,1,21,30,11.64,12.71,266.28000000000003,267.67,13.61,13.61,100960,99750,98590
2007,1,1,22,30,14.56,15.32,323.22,324.16,11.3,11.18,101080,99860,98680
2007,1,1,23,30,13.57,14.46,324.56,325.1,8.71,8.57,101180,99950,98750
2007,1,2,0,30,12.51,13.450000000000001,329.41,329.89,7.3,7.16,101270,100030,98830
2007,1,2,1,30,11.49,12.42,326.62,327.44,6.19,6.05,101370,100120,98920
2007,1,2,2,30,10.86,11.83,326.33,327.01,5.32,5.2,101440,100190,98970
2007,1,2,3,30,10.92,11.91,326.45,327.34000000000003,4.79,4.69,101510,100260,99050
2007,1,2,4,30,10.64,11.61,326.79,327.72,4.54,4.48,101600,100340,99120
2007,1,2,5,30,9.81,10.83,330.74,332.26,4.09,4.07,101720,100460,99240
2007,1,2,6,30,9.89,11.05,337.11,339.09000000000003,4.17,4.25,101820,100560,99340
2007,1,2,7,30,9.81,11.1,341.62,343.95,3.97,4.1,101920,100660,99440
2007,1,2,8,30,8.08,8.74,350.49,351.34000000000003,4.18,4.19,102020,100760,99540
2007,1,2,9,30,5.1000000000000005,5.43,352.13,352.42,4.86,4.72,102090,100830,99610
2007,1,2,10,30,4.46,4.54,355.46,355.74,6.25,6.07,102130,100870,99660
2007,1,2,11,30,4.71,4.8,10.09,10.39,7.38,7.19,102160,100910,99700
2007,1,2,12,30,4.22,4.3,17.150000000000002,17.150000000000002,8.27,8.07,102190,100950,99740
2007,1,2,13,30,4.61,4.69,22.26,22.04,8.88,8.68,102220,100970,99770
2007,1,2,14,30,4.21,4.28,22.68,22.42,9.21,9.02,102240,101000,99790
2007,1,2,15,30,4.41,4.49,20.830000000000002,20.53,9.370000000000001,9.18,102250,101010,99810
2007,1,2,16,30,4.53,4.7,27.63,27.55,9.32,9.15,102280,101040,99840
2007,1,2,17,30,4.93,5,24.39,24.92,9.13,8.96,102340,101090,99890
2007,1,2,18,30,5.44,5.37,36.59,36.13,8.97,8.83,102400,101150,99940
2007,1,2,19,30,5.96,5.97,51.160000000000004,49.910000000000004,8.63,8.55,102430,101180,99970
2007,1,2,20,30,6.49,6.23,53.21,52.19,8.69,8.68,102460,101210,100000
2007,1,2,21,30,5.87,5.72,64.35,61.76,8.3,8.38,102480,101220,100010
2007,1,2,22,30,5.48,5.21,70.27,68.45,7.91,8,102480,101220,100010
2007,1,2,23,30,5.26,5.09,77.25,76.24,7.84,8.03,102480,101230,100010
2007,1,3,0,30,4.74,4.95,81.08,79.53,7.69,8.01,102510,101240,100030
2007,1,3,1,30,4.18,4.39,80.18,81.76,7.19,7.62,102530,101270,100050
2007,1,3,2,30,3.5300000000000002,3.89,86.8,90.04,6.91,7.390000000000001,102550,101280,100070
2007,1,3,3,30,3.47,3.8000000000000003,85.47,89.59,6.88,7.37,102550,101280,100070
2007,1,3,4,30,3.37,3.66,85.45,90.57000000000001,6.9,7.390000000000001,102570,101300,100090
2007,1,3,5,30,3.47,3.67,83.84,89.95,7.01,7.53,102600,101330,100120
2007,1,3,6,30,3.34,3.52,89.78,96.95,7.1000000000000005,7.62,102630,101360,100150
2007,1,3,7,30,3.2800000000000002,3.43,100.10000000000001,107.39,7.4,7.9,102640,101370,100160
2007,1,3,8,30,3.11,3.24,106.31,114.15,8.11,8.55,102650,101380,100170
2007,1,3,9,30,2.92,3.04,96.99000000000001,106.61,8.34,8.96,102660,101400,100190
2007,1,3,10,30,2.32,3.06,95.66,107.82000000000001,8.71,9.790000000000001,102600,101350,100140
2007,1,3,11,30,1.31,1.37,79.59,88.02,9.700000000000001,9.63,102540,101300,100100
2007,1,3,12,30,1.45,1.45,94.9,98.8,11.35,11.19,102490,101260,100060
2007,1,3,13,30,1.69,1.72,113.62,115.61,12.82,12.64,102450,101220,100030
2007,1,3,14,30,1.9000000000000001,1.93,130.54,131.21,13.530000000000001,13.35,102390,101170,99980
2007,1,3,15,30,2.5500000000000003,2.59,129.01,129.39000000000001,13.96,13.77,102330,101110,99930
2007,1,3,16,30,2.65,2.69,124.41,125.21000000000001,14.09,13.91,102290,101070,99890
2007,1,3,17,30,2.19,2.32,130.66,135.68,14.17,14.05,102290,101070,99890
2007,1,3,18,30,2.5100000000000002,2.85,153.63,155.62,14.38,14.4,102280,101060,99880
2007,1,3,19,30,3.86,4.26,141.54,143.73,14.55,14.620000000000001,102250,101030,99850
2007,1,3,20,30,4.33,4.72,139.52,142.19,14.21,14.43,102250,101030,99850
2007,1,3,21,30,6.92,7.33,137.96,140.38,14.92,15.1,102210,100990,99820
2007,1,3,22,30,7.42,7.4,126.27,132.7,14.61,15.030000000000001,102170,100950,99770
2007,1,3,23,30,8.26,9.09,138.32,146.71,14.27,15.15,102130,100900,99730
2007,1,4,0,30,8.88,9.31,155.89000000000001,161.19,15.55,15.950000000000001,102110,100880,99710
2007,1,4,1,30,9.07,9.31,162.27,165.18,16.22,16.54,102090,100870,99700
2007,1,4,2,30,9.73,9.88,168.88,171.03,16.75,16.82,102060,100850,99690
2007,1,4,3,30,9.42,9.55,173.72,174.95000000000002,17,17.06,102050,100840,99670
2007,1,4,4,30,9.4,9.77,174.5,174.64000000000001,16.48,16.72,102050,100830,99670
2007,1,4,5,30,10.28,10.53,167.18,167.99,17.22,17.43,102040,100830,99660
2007,1,4,6,30,10.790000000000001,11.02,161.29,162.17000000000002,17.28,17.43,102000,100790,99630
2007,1,4,7,30,11.05,11.450000000000001,155.53,156.73,17.17,17.56,101970,100760,99600
2007,1,4,8,30,11.19,11.89,162.04,163,17.080000000000002,17.54,101970,100760,99600
2007,1,4,9,30,8.92,9.78,164.43,165.15,16.46,16.830000000000002,101970,100760,99600
2007,1,4,10,30,7.66,8.290000000000001,171.88,172.09,16.68,16.67,101940,100730,99570
2007,1,4,11,30,5.87,6.34,162.95000000000002,163.05,17.63,17.53,101880,100680,99520
2007,1,4,12,30,4.17,4.86,188.38,186,18.37,18.3,101840,100640,99490
2007,1,4,13,30,6.8500000000000005,7,179.48,179.72,19.3,19.1,101770,100590,99430
2007,1,4,14,30,6.66,6.82,177.48,177.59,19.72,19.52,101720,100530,99380
2007,1,4,15,30,7.3,7.84,170.65,171.11,19.23,19.09,101680,100490,99340
2007,1,4,16,30,7.890000000000001,8.43,167.94,168.42000000000002,19.11,19,101650,100460,99310
2007,1,4,17,30,8.5,9.05,162.49,162.49,18.66,18.62,101650,100460,99310
2007,1,4,18,30,10.41,11.120000000000001,160.17000000000002,160.62,18.41,18.43,101640,100450,99290
2007,1,4,19,30,10.33,10.85,156.9,157.05,18.44,18.47,101620,100430,99270
2007,1,4,20,30,10.790000000000001,11.27,157.33,157.97,18.69,18.79,101590,100390,99240
2007,1,4,21,30,10.540000000000001,11.06,158.49,159.3,18.71,18.830000000000002,101560,100360,99210
2007,1,4,22,30,10.84,11.5,154.66,156.59,18.330000000000002,18.490000000000002,101470,100280,99130
2007,1,4,23,30,9.5,10.31,157.38,159.64000000000001,17.88,17.95,101400,100210,99060
2007,1,5,0,30,8.06,8.98,163.3,164.92000000000002,17.42,17.580000000000002,101350,100150,99000
2007,1,5,1,30,8.19,8.82,175.33,176.31,17.52,17.56,101330,100130,98980
2007,1,5,2,30,6.92,7.32,189.34,191.96,17.76,17.78,101280,100090,98940
2007,1,5,3,30,7.45,8.27,186.65,192.01,17.76,17.93,101240,100050,98900
2007,1,5,4,30,7.8,8.370000000000001,194.29,197.68,17.55,17.56,101220,100030,98880
2007,1,5,5,30,7.73,8.41,194.89000000000001,197.47,17.31,17.28,101240,100050,98890
2007,1,5,6,30,6.88,7.55,195.44,198.67000000000002,17.07,17.04,101230,100030,98880
