SiteID,2178208,Site Timezone,-5,Data Timezone,-5,Longitude,-78.3159790039,Latitude,36.2260437012
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2012,1,1,0,30,2.41,2.06,4.71,357.69,10.66,11.03,100630,99410,98230
2012,1,1,1,30,1.02,0.99,67.29,76.26,10.3,10.59,100680,99450,98270
2012,1,1,2,30,0.9500000000000001,1.37,146.6,152.70000000000002,10.88,11.26,100680,99460,98280
2012,1,1,3,30,2.8000000000000003,3.18,163.28,163.5,10.47,10.88,100680,99450,98270
2012,1,1,4,30,3.96,4.43,178.03,177.51,9.73,10.43,100700,99470,98290
2012,1,1,5,30,5.2,5.66,173.85,175.1,9.32,10.08,100700,99470,98290
2012,1,1,6,30,6.44,6.87,182.39000000000001,184.03,9.8,10.65,100690,99460,98280
2012,1,1,7,30,7.8500000000000005,8.32,183.81,184.37,9.3,10.1,100680,99440,98260
2012,1,1,8,30,8.36,9.17,186.64000000000001,188.94,8.48,9.69,100630,99400,98220
2012,1,1,9,30,7.42,8.33,185.99,187.38,8.5,9.34,100570,99340,98160
2012,1,1,10,30,5.86,6.63,187.3,188.25,9.97,9.89,100450,99230,98050
2012,1,1,11,30,5.94,6.04,189.5,189.82,11.52,11.35,100340,99140,97970
2012,1,1,12,30,8.03,8.21,194.16,194.33,13.48,13.290000000000001,100220,99030,97860
2012,1,1,13,30,8.52,8.78,194.88,195.06,14.49,14.3,100120,98930,97780
2012,1,1,14,30,9.23,9.94,188.13,189.03,13.790000000000001,13.700000000000001,100010,98820,97660
2012,1,1,15,30,10.74,11.49,192.02,192.83,13.89,13.81,99940,98740,97590
2012,1,1,16,30,10.92,11.82,196.12,196.95000000000002,13.98,13.950000000000001,99900,98710,97560
2012,1,1,17,30,8.36,9.32,221.77,221.34,13.82,13.72,99960,98770,97610
2012,1,1,18,30,7.5,8.72,238.28,236.65,13.4,13.39,99990,98790,97630
2012,1,1,19,30,9.27,10.48,234.63,237.26,12.81,12.83,99930,98730,97570
2012,1,1,20,30,11.32,12.06,243.82,245.23000000000002,13.02,13.08,99980,98780,97620
2012,1,1,21,30,12.81,13.71,274.54,277.59000000000003,11.120000000000001,11.09,100040,98840,97670
2012,1,1,22,30,11.28,12.57,302.84000000000003,303.27,8.98,8.94,100080,98870,97690
2012,1,1,23,30,11.370000000000001,12.35,302.93,302.85,7.4,7.33,100070,98840,97660
