Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1061515,-,-,-,35.69,-80.14,-5,229,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2012,1,1,0,30,0,0,0,4,5,990,94.88,314.40000000000003,0.7000000000000001,0.12
2012,1,1,1,30,0,0,0,4,4,990,100,348.40000000000003,0.5,0.12
2012,1,1,2,30,0,0,0,3,4,990,99.71000000000001,63.5,0.6000000000000001,0.12
2012,1,1,3,30,0,0,0,2,3,990,100,108.9,0.8,0.12
2012,1,1,4,30,0,0,0,2,2,990,100,136.1,0.9,0.12
2012,1,1,5,30,0,0,0,1,1,990,100,159.70000000000002,0.9,0.12
2012,1,1,6,30,0,0,0,1,1,990,100,173.70000000000002,0.7000000000000001,0.12
2012,1,1,7,30,0,0,0,2,2,990,100,180.60000000000002,0.9,0.12
2012,1,1,8,30,574,40,133,4,5,990,91.27,185.8,1.2000000000000002,0.12
2012,1,1,9,30,754,59,296,5,8,990,83.67,190.70000000000002,1.5,0.12
2012,1,1,10,30,824,71,425,6,11,990,72.01,197.10000000000002,1.7000000000000002,0.12
2012,1,1,11,30,838,82,501,6,13,980,66.76,202.3,1.9000000000000001,0.12
2012,1,1,12,30,322,220,388,7,14,980,66.35,204.9,2.1,0.12
2012,1,1,13,30,780,95,476,9,15,980,69.25,204.70000000000002,2.2,0.12
2012,1,1,14,30,700,93,380,11,15,980,77.05,207.5,2.2,0.12
2012,1,1,15,30,545,84,240,12,15,980,84.13,219.4,2.1,0.12
2012,1,1,16,30,0,19,19,13,14,980,94.42,234.8,1.9000000000000001,0.12
2012,1,1,17,30,0,0,0,13,13,980,100,250,1.9000000000000001,0.12
2012,1,1,18,30,0,0,0,11,11,980,100,273.5,1.8,0.12
2012,1,1,19,30,0,0,0,9,9,980,100,293.40000000000003,1.5,0.12
2012,1,1,20,30,0,0,0,7,7,980,100,298,1.2000000000000002,0.12
2012,1,1,21,30,0,0,0,5,6,980,93.93,298,1.1,0.12
2012,1,1,22,30,0,0,0,3,5,990,92.78,297.90000000000003,1.1,0.12
2012,1,1,23,30,0,0,0,2,4,980,92.17,297.3,1.1,0.12
2012,1,2,0,30,0,0,0,2,3,990,87.03,296.7,1.2000000000000002,0.12
2012,1,2,1,30,0,0,0,0,3,990,86.34,300.8,1.4000000000000001,0.12
2012,1,2,2,30,0,0,0,0,2,990,82.39,306,1.4000000000000001,0.12
2012,1,2,3,30,0,0,0,-2,0,990,84.33,308.5,1.2000000000000002,0.12
2012,1,2,4,30,0,0,0,-3,0,990,76.75,309.90000000000003,1,0.12
2012,1,2,5,30,0,0,0,-4,0,990,72.46000000000001,310.3,0.9,0.12
2012,1,2,6,30,0,0,0,-4,0,990,69.52,309.5,0.8,0.12
2012,1,2,7,30,0,0,0,-5,0,990,67.11,306.8,1,0.12
2012,1,2,8,30,664,37,144,-4,1,990,65.34,299.3,1.4000000000000001,0.12
2012,1,2,9,30,848,52,319,-6,3,990,51.28,295.7,1.7000000000000002,0.12
2012,1,2,10,30,935,57,459,-6,4,990,44.6,292.90000000000003,1.8,0.12
2012,1,2,11,30,970,61,547,-6,5,990,42.28,287.7,1.9000000000000001,0.12
2012,1,2,12,30,978,63,572,-6,6,980,40.57,282.2,2,0.12
2012,1,2,13,30,956,64,533,-6,6,980,41.61,278.6,2,0.12
2012,1,2,14,30,905,60,433,-5,6,980,42.61,278.40000000000003,2,0.12
2012,1,2,15,30,795,53,283,-5,5,980,46.72,284.5,1.9000000000000001,0.12
2012,1,2,16,30,520,37,106,-5,3,980,55.64,294.6,1.8,0.12
2012,1,2,17,30,0,0,0,-4,1,980,64.89,304.7,1.8,0.12
2012,1,2,18,30,0,0,0,-5,0,990,66.88,312,1.9000000000000001,0.12
2012,1,2,19,30,0,0,0,-6,0,990,61.72,315.90000000000003,1.9000000000000001,0.12
2012,1,2,20,30,0,0,0,-7,-1,990,58.76,317.90000000000003,1.7000000000000002,0.12
2012,1,2,21,30,0,0,0,-7,-2,990,60.45,321.20000000000005,1.5,0.12
