SiteID,2296536,Site Timezone,-5,Data Timezone,-5,Longitude,-75.7076416016,Latitude,36.0953674316
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2012,1,1,0,30,6.98,7.74,318.48,319.98,11.86,11.950000000000001,102040,100810,99630
2012,1,1,1,30,6.42,7.05,321.09000000000003,323.86,11.5,11.74,102100,100870,99680
2012,1,1,2,30,4.47,4.73,325.53000000000003,328.84000000000003,11.58,12.040000000000001,102130,100890,99710
2012,1,1,3,30,2.92,2.95,333.28000000000003,334.71,11,11.08,102130,100900,99710
2012,1,1,4,30,2.08,2.04,332.06,326.17,11.16,11.34,102150,100920,99730
2012,1,1,5,30,1.02,0.9500000000000001,342.76,332.97,11.17,11.200000000000001,102210,100970,99780
2012,1,1,6,30,1.6600000000000001,1.69,206.01,206.58,11.1,10.91,102230,100990,99800
2012,1,1,7,30,3.23,3.2800000000000002,208.5,210.5,11.290000000000001,11.22,102220,100980,99790
2012,1,1,8,30,3.3000000000000003,3.35,200.47,201.62,11.4,11.43,102210,100980,99790
2012,1,1,9,30,3.46,3.52,191.27,191.81,12.790000000000001,12.65,102170,100950,99760
2012,1,1,10,30,6.05,6.18,192.45000000000002,192.86,14.290000000000001,14.11,102060,100850,99670
2012,1,1,11,30,6.22,6.37,189.53,189.87,15.32,15.120000000000001,101950,100740,99560
2012,1,1,12,30,8.26,8.45,186.26,186.78,16.62,16.41,101810,100610,99450
2012,1,1,13,30,7.49,7.7,199.41,199.44,17.7,17.490000000000002,101700,100500,99340
2012,1,1,14,30,8.25,8.48,200.61,200.86,17.89,17.7,101590,100390,99230
2012,1,1,15,30,7.65,8.02,207.97,208.59,17.72,17.57,101500,100310,99150
2012,1,1,16,30,11.75,12.620000000000001,207.78,207.76,17.89,17.8,101460,100270,99110
2012,1,1,17,30,13.67,14.65,204.87,205.71,16.77,16.75,101460,100260,99100
2012,1,1,18,30,14.74,15.540000000000001,207.05,207.52,16.12,16.05,101430,100230,99060
2012,1,1,19,30,13.36,14.200000000000001,213.86,214.32,15.82,15.77,101390,100190,99020
2012,1,1,20,30,14,14.71,220.85,221.3,16.42,16.3,101380,100190,99020
2012,1,1,21,30,12.73,13.39,225.8,226.58,16.02,15.9,101370,100180,99010
2012,1,1,22,30,15.3,16.14,241.5,242.21,15.66,15.530000000000001,101330,100130,98970
2012,1,1,23,30,11.86,12.36,259.78000000000003,259.99,14.61,14.450000000000001,101300,100100,98930
2012,1,2,0,30,12.17,12.58,282.6,283.18,12.68,12.51,101310,100100,98920
2012,1,2,1,30,12.08,12.52,306.31,306.06,10.370000000000001,10.200000000000001,101360,100140,98950
2012,1,2,2,30,12.44,12.85,303.22,303.66,8.620000000000001,8.44,101410,100180,98980
2012,1,2,3,30,12.22,12.63,304.22,304.43,7.3,7.12,101440,100200,99000
2012,1,2,4,30,13.21,13.64,304.52,304.81,6.17,5.99,101480,100240,99030
2012,1,2,5,30,12.08,12.44,302.56,302.90000000000003,5.2,5.0200000000000005,101520,100270,99060
2012,1,2,6,30,11.86,12.23,302.52,302.89,4.33,4.15,101560,100310,99090
2012,1,2,7,30,12.200000000000001,12.6,305.89,306.31,3.66,3.49,101570,100310,99090
2012,1,2,8,30,10.94,11.19,305.91,306.35,3.5,3.31,101600,100340,99110
2012,1,2,9,30,8.91,9.05,305.79,306.06,3.86,3.66,101600,100340,99120
2012,1,2,10,30,7.8500000000000005,7.97,301.32,301.61,4.62,4.42,101530,100280,99060
2012,1,2,11,30,7.83,7.97,301.97,302.14,5.25,5.04,101470,100220,99000
2012,1,2,12,30,7.23,7.3500000000000005,297.5,297.5,5.59,5.38,101430,100180,98970
2012,1,2,13,30,7.04,7.16,286.45,286.53000000000003,5.74,5.53,101420,100170,98960
2012,1,2,14,30,7.22,7.36,285.22,285.03000000000003,5.7700000000000005,5.5600000000000005,101380,100130,98920
2012,1,2,15,30,7.83,8.01,283.69,283.79,5.8100000000000005,5.61,101360,100110,98900
2012,1,2,16,30,9.11,9.35,286.19,286.38,5.36,5.19,101380,100130,98920
2012,1,2,17,30,9.82,10.05,287.93,288.14,5.05,4.88,101460,100210,98990
2012,1,2,18,30,9.700000000000001,9.950000000000001,297.02,296.84000000000003,4.68,4.51,101490,100240,99020
2012,1,2,19,30,9.700000000000001,9.93,303.79,303.57,4.29,4.12,101530,100280,99060
2012,1,2,20,30,10.16,10.43,305.34000000000003,305.19,4.11,3.94,101510,100260,99040
2012,1,2,21,30,10.53,10.8,308.23,308.52,3.42,3.24,101500,100240,99020
2012,1,2,22,30,11.96,12.33,314.92,315.3,2.75,2.56,101440,100180,98950
2012,1,2,23,30,12.200000000000001,12.57,317.58,318.04,2.29,2.11,101360,100100,98880
2012,1,3,0,30,10.69,10.98,319.14,319.90000000000003,2.06,1.8800000000000001,101320,100060,98830
2012,1,3,1,30,11.15,11.450000000000001,318.56,319.48,1.73,1.56,101300,100040,98810
2012,1,3,2,30,11.35,11.68,319.92,320.88,1.7,1.53,101290,100020,98800
2012,1,3,3,30,12.08,12.43,318.26,319.18,1.2,1.03,101300,100040,98810
2012,1,3,4,30,12.780000000000001,13.14,320.07,320.83,1.3,1.12,101330,100070,98840
2012,1,3,5,30,13.370000000000001,13.75,318.28000000000003,319.01,0.8200000000000001,0.63,101410,100150,98910
2012,1,3,6,30,14.26,14.66,320.01,320.62,0.6900000000000001,0.5,101450,100180,98940
2012,1,3,7,30,15.31,15.72,318.31,318.84000000000003,0.21,0.02,101470,100200,98960
2012,1,3,8,30,16.04,16.38,317.87,318.31,-0.15,-0.36,101520,100250,99010
2012,1,3,9,30,16.330000000000002,16.66,317.21,317.56,-0.19,-0.4,101560,100280,99040
2012,1,3,10,30,15.700000000000001,16.03,315.31,315.62,0.02,-0.2,101560,100280,99050
2012,1,3,11,30,14.75,15.05,313.43,313.6,0.17,-0.05,101580,100300,99070
2012,1,3,12,30,14.55,14.84,313.48,313.61,0.06,-0.16,101630,100360,99120
2012,1,3,13,30,14.25,14.530000000000001,311.21,311.33,0.03,-0.19,101670,100390,99150
2012,1,3,14,30,14.42,14.71,312.94,312.99,-0.15,-0.37,101700,100420,99180
2012,1,3,15,30,14.33,14.61,312.76,312.83,-0.38,-0.59,101750,100470,99230
2012,1,3,16,30,13.83,14.17,305.66,305.8,-0.74,-0.9400000000000001,101860,100580,99340
2012,1,3,17,30,15.46,15.870000000000001,309.75,309.88,-1.33,-1.54,102020,100740,99490
