SiteID,2234849,Site Timezone,-5,Data Timezone,-5,Longitude,-77.6930541992,Latitude,34.4165763855
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2007,1,1,0,30,12.290000000000001,13.13,172.46,172.67000000000002,19.31,19.23,102020,100820,99670
2007,1,1,1,30,12.66,13.530000000000001,173.61,173.81,19.36,19.29,101960,100770,99620
2007,1,1,2,30,13.030000000000001,13.93,172.69,173.09,19.39,19.32,101900,100710,99560
2007,1,1,3,30,13.030000000000001,13.97,176.66,176.97,19.37,19.31,101850,100660,99510
2007,1,1,4,30,12.950000000000001,13.84,176.05,176.33,19.39,19.32,101790,100600,99450
2007,1,1,5,30,13.25,14.13,179.20000000000002,179.42000000000002,19.650000000000002,19.55,101760,100570,99420
2007,1,1,6,30,12.74,13.540000000000001,180.54,180.73,19.66,19.56,101710,100530,99380
2007,1,1,7,30,12.86,13.75,182.8,183.13,19.81,19.72,101670,100480,99340
2007,1,1,8,30,12.9,13.65,188.38,188.5,19.96,19.84,101660,100480,99330
2007,1,1,9,30,13.040000000000001,13.73,193.6,193.79,20,19.88,101610,100430,99280
2007,1,1,10,30,13.64,15.08,189.36,190.17000000000002,20.43,20.31,101500,100330,99180
2007,1,1,11,30,13.42,13.83,194.83,195.39000000000001,20.03,19.87,101450,100270,99130
2007,1,1,12,30,11.44,11.99,220.88,221.19,20.97,20.81,101410,100230,99090
2007,1,1,13,30,11.64,12.05,214.39000000000001,214.27,21.17,20.990000000000002,101360,100190,99050
2007,1,1,14,30,13.36,13.91,219.68,219.88,20.400000000000002,20.21,101330,100150,99010
2007,1,1,15,30,13.6,14.370000000000001,222.03,222.19,19.080000000000002,18.94,101290,100110,98960
2007,1,1,16,30,11.94,12.540000000000001,223.46,223.87,18.67,18.53,101280,100100,98950
2007,1,1,17,30,9.52,10.06,257.24,256.7,18.11,17.93,101370,100180,99030
2007,1,1,18,30,9.200000000000001,9.93,244.43,244.9,17.12,16.990000000000002,101380,100190,99030
2007,1,1,19,30,9.200000000000001,10.03,247.56,248.05,16.57,16.48,101410,100210,99050
2007,1,1,20,30,10.59,11.65,246.96,247.6,15.94,15.9,101480,100280,99120
2007,1,1,21,30,10.94,12.01,259.62,260.64,14.93,14.89,101550,100340,99180
2007,1,1,22,30,11.3,12.35,272.01,273.24,13.84,13.790000000000001,101580,100370,99190
2007,1,1,23,30,11.39,12.35,294.86,297.02,12.26,12.200000000000001,101630,100410,99230
2007,1,2,0,30,11.620000000000001,12.99,336.27,339.09000000000003,10.83,10.620000000000001,101740,100510,99320
2007,1,2,1,30,15.33,16.34,341.06,341.5,8.24,8.13,101870,100630,99420
2007,1,2,2,30,11.72,12.86,338.2,339.35,7.01,6.91,101970,100720,99510
2007,1,2,3,30,12.280000000000001,13.43,341.54,341.82,6.26,6.19,102050,100800,99580
2007,1,2,4,30,7.1000000000000005,8.06,324.56,329.24,5.7700000000000005,5.68,102130,100870,99660
