SiteID,2097207,Site Timezone,-5,Data Timezone,-5,Longitude,-80.1271972656,Latitude,35.6924209595
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2009,1,1,0,30,5.92,6.78,338.16,339.94,-3.42,-3.54,99880,98600,97370
2009,1,1,1,30,8.25,8.82,345.32,345.49,-3.71,-3.86,99890,98620,97380
2009,1,1,2,30,8.98,9.6,330.52,331.69,-4.07,-4.22,99890,98620,97380
2009,1,1,3,30,4.3100000000000005,5.22,337.79,339.56,-4.4,-4.53,99930,98660,97420
2009,1,1,4,30,5.84,6.33,348.06,348.54,-4.48,-4.61,99960,98680,97450
2009,1,1,5,30,6.17,6.42,352.5,353.61,-4.54,-4.7,99980,98700,97460
2009,1,1,6,30,5.2700000000000005,5.79,10.88,10.790000000000001,-4.68,-4.8100000000000005,100040,98760,97520
2009,1,1,7,30,6.62,7.140000000000001,15.32,16.23,-4.79,-4.94,100080,98790,97550
2009,1,1,8,30,4.97,5.49,36.480000000000004,36,-4.96,-5.1000000000000005,100090,98810,97570
2009,1,1,9,30,4.45,4.55,42.34,42.12,-4.0600000000000005,-4.25,100120,98850,97610
2009,1,1,10,30,3.95,4.03,51.03,50.88,-2.79,-2.99,100110,98840,97610
2009,1,1,11,30,3.22,3.27,50.050000000000004,50.11,-1.59,-1.79,100060,98800,97570
2009,1,1,12,30,2.6,2.64,55.660000000000004,55.83,-0.47000000000000003,-0.67,100010,98750,97530
2009,1,1,13,30,1.94,1.96,92.06,92.11,0.43,0.23,100000,98740,97520
2009,1,1,14,30,1.94,1.95,124.82000000000001,124.72,0.99,0.79,99950,98700,97490
2009,1,1,15,30,2.08,2.11,149.79,149.99,1.24,1.05,99900,98650,97440
2009,1,1,16,30,2.88,2.94,142.8,143.78,1.25,1.06,99860,98610,97400
2009,1,1,17,30,4.2700000000000005,4.32,179.71,180.52,0.9400000000000001,0.8,99850,98600,97380
2009,1,1,18,30,5.74,5.67,175.47,175.59,0.8200000000000001,0.6900000000000001,99840,98590,97370
2009,1,1,19,30,5.73,5.78,183.21,184,0.61,0.49,99810,98550,97340
2009,1,1,20,30,5.63,5.91,179.98,181.19,0.03,0.05,99770,98510,97300
2009,1,1,21,30,7.22,7.43,182.59,185.1,-0.43,-0.28,99740,98470,97260
2009,1,1,22,30,7.49,7.86,189.34,190.15,-0.58,-0.51,99680,98420,97200
2009,1,1,23,30,6.5,7.38,191.01,192.86,-1.19,-0.88,99610,98350,97140
2009,1,2,0,30,7.51,7.59,192.44,192.68,-0.28,-0.31,99550,98290,97070
2009,1,2,1,30,6.65,7.34,193.19,196.16,-1.46,-1.34,99510,98250,97030
2009,1,2,2,30,8.78,9.040000000000001,204.57,206.13,-0.34,-0.16,99460,98200,96990
2009,1,2,3,30,8.81,9.22,215.54,217.62,0.19,0.36,99410,98150,96950
