Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,Tract_1,f10yr,f20yr,f50yr,f100yr,f200yr,f500yr,f1000yr
37001020200,37001,NC1,020200,3.4548421,60.7319717,115,36.091932000000000,-79.419557999999995,782,37001020200,38.7999992,49.7000008,64.0999985,72.6999969,80.3000031,89.3000031,96.5999985
37001020300,37001,NC1,020300,11.3843851,122.3619614,180,36.097698999999999,-79.396490999999997,924,37001020300,38.9000015,49.7000008,64.0000000,72.8000031,80.4000015,89.3000031,96.3000031
37001020501,37001,NC1,020501,7.2172518,107.5391998,92,36.123165000000000,-79.478190999999995,576,37001020501,38.2000008,49.0999985,63.5999985,72.0999985,79.6999969,88.8000031,96.5000000
37001020602,37001,NC1,020602,2.8128350,46.1317368,66,36.095804000000001,-79.462179000000006,284,37001020602,38.5000000,49.4000015,63.9000015,72.3000031,79.9000015,89.0999985,96.6999969
37001020702,37001,NC1,020702,7.5933676,100.5363235,91,36.063412000000000,-79.465731000000005,508,37001020702,38.7999992,49.7000008,64.1999969,72.6999969,80.3000031,89.5999985,97.0999985
37001020801,37001,NC1,020801,12.0480108,97.3712769,53,36.049180000000000,-79.449374000000006,554,37001020801,39.0000000,49.9000015,64.3000031,72.9000015,80.5000000,89.9000015,97.0999985
37001020902,37001,NC1,020902,10.4608889,75.9172974,88,36.030569999999997,-79.414068000000000,391,37001020902,39.4000015,50.2999992,64.6999969,73.4000015,81.0000000,90.0000000,97.1999969
37001021102,37001,NC1,021102,10.9895906,103.4751892,98,36.036765000000003,-79.376146000000006,7,37001021102,39.5999985,50.5000000,64.8000031,73.4000015,81.1999969,90.1999969,97.0999985
37001021201,37001,NC1,021201,37.2963943,223.4804840,258,36.105854000000001,-79.353834000000006,295,37001021201,39.0999985,49.9000015,64.0999985,73.0999985,80.6999969,89.5000000,95.9000015
37001021204,37001,NC1,021204,33.5636368,191.6476440,113,36.044536000000001,-79.319046999999998,13,37001021204,39.9000015,50.5999985,64.8000031,73.6999969,81.3000031,90.5000000,96.5000000
37001021206,37001,NC1,021206,13.0703049,119.4170456,92,36.086666999999998,-79.297276999999994,96,37001021206,39.5999985,50.2999992,64.5000000,73.3000031,81.1999969,90.4000015,95.8000031
37001021300,37001,NC1,021300,139.5576477,437.8290100,175,36.185118000000003,-79.310783999999998,33,37001021300,38.7000008,49.5000000,63.7000008,72.5000000,80.0999985,89.0999985,94.6999969
37001021400,37001,NC1,021400,70.2279510,272.7002258,98,36.186399999999999,-79.406675000000007,769,37001021400,38.0000000,48.9000015,63.2000008,72.0999985,79.5999985,88.5000000,95.1999969
37001021600,37001,NC1,021600,34.1550827,212.0598602,146,36.139398999999997,-79.521052999999995,555,37001021600,37.7999992,48.7000008,63.2000008,71.8000031,79.1999969,88.5000000,96.5000000
37001021701,37001,NC1,021701,4.3005528,62.2782402,108,36.092778000000003,-79.529104000000004,45,37001021701,38.2000008,49.0999985,63.5999985,72.1999969,79.5999985,88.9000015,96.9000015
37001021703,37001,NC1,021703,25.6966820,194.3570557,247,36.054062999999999,-79.517984999999996,448,37001021703,38.5000000,49.5000000,64.0000000,72.5000000,79.9000015,89.3000031,97.0000000
37001021801,37001,NC1,021801,82.9435425,316.1091614,149,35.986958000000001,-79.482224000000002,230,37001021801,39.4000015,50.2999992,64.6999969,73.3000031,80.6999969,90.1999969,98.5999985
37001021803,37001,NC1,021803,96.2323380,355.8079529,113,35.887844000000001,-79.466309999999993,371,37001021803,40.4000015,51.2999992,65.6999969,74.5000000,82.0000000,91.3000031,99.4000015
37001021901,37001,NC1,021901,56.7715378,285.6671143,109,35.981645000000000,-79.370097999999999,197,37001021901,40.0999985,51.0000000,65.3000031,74.0000000,81.8000031,91.0000000,97.4000015
37001021902,37001,NC1,021902,123.7707214,415.5366516,124,35.892057999999999,-79.332599999999999,818,37001021902,41.2000008,52.0000000,66.3000031,75.0000000,82.6999969,92.1999969,98.3000031
37001022001,37001,NC1,022001,30.5608959,148.9723358,102,35.997138000000000,-79.334204000000000,20,37001022001,40.2000008,51.0000000,65.3000031,74.0999985,81.9000015,90.8000031,97.3000031
37007920100,37007,NC1,920100,274.4282227,631.2954712,324,34.987392000000000,-79.933002000000002,626,37007920100,44.5999985,55.9000015,70.9000015,80.5000000,88.4000015,99.4000015,106.1999969
37007920300,37007,NC1,920300,317.5766907,1103.7864990,404,35.037508000000003,-80.237336999999997,742,37007920300,42.2000008,53.2000008,67.6999969,77.0999985,85.3000031,95.5000000,102.6999969
37007920500,37007,NC1,920500,92.0919571,397.7975464,234,34.947209000000001,-80.108743000000004,993,37007920500,43.7000008,54.9000015,69.6999969,79.3000031,87.1999969,97.9000015,104.9000015
37007920600,37007,NC1,920600,422.8121643,1093.8127441,346,34.857368000000001,-80.119157000000001,999,37007920600,44.2999992,55.5999985,70.5999985,80.1999969,88.3000031,98.9000015,105.8000031
37013930100,37013,NC1,930100,483.3182068,923.3060303,299,35.605356999999998,-76.691492999999994,788,37013930100,62.7000008,74.9000015,91.0999985,98.8000031,105.6999969,114.4000015,119.8000031
37013930200,37013,NC1,930200,360.0923767,887.4658203,400,35.629803000000003,-77.019300999999999,220,37013930200,59.7000008,71.9000015,88.0000000,96.0999985,102.5000000,110.6999969,115.5000000
37013930300,37013,NC1,930300,9.6147604,121.0705490,211,35.555278999999999,-77.065055000000001,282,37013930300,60.0999985,72.5000000,88.9000015,97.0999985,103.6999969,111.1999969,116.6999969
37013930400,37013,NC1,930400,15.1016884,120.2648849,190,35.565767000000001,-77.043338000000006,53,37013930400,60.2000008,72.5999985,88.9000015,97.0999985,103.6999969,111.5000000,116.8000031
37013930501,37013,NC1,930501,19.1460819,153.8692474,122,35.508865000000000,-76.994659999999996,519,37013930501,61.5000000,74.1999969,91.0000000,99.1999969,105.8000031,113.8000031,119.0000000
37013930600,37013,NC1,930600,160.0299225,416.5884399,166,35.511952999999998,-76.874224999999996,253,37013930600,62.2999992,74.8000031,91.3000031,99.6999969,106.3000031,113.8000031,119.5000000
37013930700,37013,NC1,930700,196.8159637,533.4682617,195,35.443731999999997,-76.685575999999998,955,37013930700,65.1999969,77.9000015,94.8000031,103.0000000,109.6999969,118.0999985,123.6999969
37013930800,37013,NC1,930800,360.3092651,754.9143677,429,35.304999000000002,-76.756067000000002,199,37013930800,65.5999985,78.6999969,96.0000000,104.8000031,111.3000031,119.4000015,125.1999969
37013930900,37013,NC1,930900,330.5293579,890.7626953,305,35.394053000000000,-76.961406999999994,968,37013930900,62.9000015,75.9000015,93.0999985,101.6999969,108.4000015,116.0999985,121.0000000
37015960200,37015,NC1,960200,332.7518921,749.7014160,180,36.146349999999998,-77.043049999999994,403,37015960200,53.9000015,64.8000031,79.3000031,87.5000000,94.3000031,103.3000031,108.8000031
37015960300,37015,NC1,960300,529.2048950,995.4945679,255,36.071852999999997,-77.162018000000003,358,37015960300,54.0000000,65.0000000,79.5000000,87.5999985,94.4000015,103.4000015,108.8000031
37015960400,37015,NC1,960400,545.7773438,1091.8350830,319,35.962001000000001,-76.852999999999994,979,37015960400,57.4000015,68.8000031,83.9000015,91.9000015,98.4000015,107.4000015,112.8000031
37017950100,37017,NC1,950100,835.4141846,1340.6341553,526,34.625709000000001,-78.397963000000004,898,37017950100,59.7999992,74.4000015,93.6999969,103.0000000,111.0000000,119.9000015,125.6999969
37017950200,37017,NC1,950200,367.9986267,670.0893555,201,34.751533999999999,-78.671646999999993,672,37017950200,56.4000015,70.0999985,88.1999969,97.3000031,104.5000000,114.3000031,120.3000031
37017950500,37017,NC1,950500,217.8958282,700.8944702,313,34.542541999999997,-78.777590000000004,882,37017950500,57.4000015,71.6999969,90.5999985,100.1999969,108.0000000,118.0000000,124.5000000
37017950600,37017,NC1,950600,508.6425476,1236.6258545,535,34.477894999999997,-78.515373999999994,55,37017950600,60.2999992,75.3000031,95.0999985,104.8000031,113.0999985,123.3000031,128.8000031
37019020101,37019,NC1,020101,80.8163757,192.9641266,110,34.318212000000003,-78.075382000000005,800,37019020101,64.9000015,80.5999985,101.3000031,111.8000031,120.3000031,130.3000031,136.6999969
37019020103,37019,NC1,020103,44.9970551,265.7885437,157,34.229894999999999,-78.067941000000005,386,37019020103,65.8000031,81.5000000,102.3000031,113.0000000,121.5000000,131.6999969,138.6999969
37019020201,37019,NC1,020201,9.2124748,80.2827682,60,34.215046000000001,-78.001272999999998,522,37019020201,66.4000015,82.1999969,103.0999985,113.1999969,121.5999985,132.3000031,139.6999969
